week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Garrett Bradbury,46013,C,NE,1,100.0,0,19,63.0,85.9,51.2,0,0,53,100.0,100.0,100.0,0,0,0,71,71,0,0,71,54,54,0,0,17,0
1,Jared Wilson,146717,G,NE,1,100.0,0,19,51.8,33.8,60.2,2,4,53,100.0,100.0,94.3,1,6,0,71,0,71,0,71,54,54,0,0,17,0
1,Morgan Moses,8701,T,NE,1,100.0,0,19,57.6,52.0,61.3,2,3,53,100.0,100.0,95.3,0,5,0,71,0,0,0,71,54,54,0,71,17,0
1,Tyler Biadasz,41178,C,WAS,1,100.0,0,32,56.1,47.4,57.9,0,2,37,100.0,100.0,97.3,0,2,0,70,70,0,0,70,41,41,0,0,29,0
1,Brandon Coleman,123068,T,WAS,1,100.0,0,32,42.2,20.8,51.9,0,2,37,100.0,100.0,97.3,0,2,0,70,0,70,0,70,41,41,0,0,29,0
1,Laremy Tunsil,10647,T,WAS,1,100.0,1,32,79.0,84.1,71.5,0,0,37,100.0,100.0,97.3,1,1,1,70,0,0,69,70,41,41,0,0,29,1
1,Nick Allegretti,39268,G,WAS,1,100.0,0,32,62.5,84.8,59.6,0,0,37,100.0,100.0,100.0,1,0,0,70,0,0,0,70,41,41,70,0,29,0
1,Josh Conerly Jr.,163291,T,WAS,1,100.0,0,32,53.4,60.3,45.2,0,1,37,100.0,100.0,95.9,1,2,1,70,0,0,0,70,41,41,0,70,29,0
1,Greg Van Roten,7746,G,NYG,1,100.0,0,21,61.2,74.7,51.6,0,1,45,100.0,100.0,98.9,0,1,0,68,0,0,0,68,51,51,68,0,17,0
1,James Hudson III,59854,T,NYG,1,100.0,0,21,55.0,47.2,58.3,2,4,45,100.0,100.0,93.3,1,6,0,68,0,0,68,68,51,51,0,0,17,0
1,Jermaine Eluemunor,11914,T,NYG,1,100.0,0,21,52.5,77.2,43.1,0,1,45,100.0,100.0,98.9,2,1,0,68,0,0,0,68,51,51,0,68,17,0
1,John Michael Schmitz Jr.,55238,C,NYG,1,100.0,0,21,58.1,67.3,52.5,0,2,45,100.0,100.0,97.8,0,2,0,68,68,0,0,68,51,51,0,0,17,0
1,Jon Runyan,36661,G,NYG,1,100.0,0,21,63.5,68.8,58.7,0,2,45,100.0,100.0,95.6,0,3,1,68,0,68,0,68,51,51,0,0,17,0
1,Graham Glasgow,10729,C,DET,1,100.0,0,11,43.6,71.9,34.4,1,1,43,100.0,100.0,97.7,0,2,0,67,67,0,0,67,44,44,0,0,23,0
1,Christian Mahogany,98261,G,DET,1,100.0,0,11,54.4,43.9,58.1,0,2,43,100.0,100.0,93.0,0,4,2,67,0,67,0,67,44,44,0,0,23,0
1,Taylor Decker,10650,T,DET,1,100.0,0,11,55.2,73.5,36.6,0,1,43,100.0,100.0,96.5,0,2,1,67,0,0,67,67,44,44,0,0,23,0
1,Braden Smith,46794,T,IND,1,100.0,0,14,67.9,80.7,59.0,0,1,32,100.0,100.0,98.4,0,1,0,67,0,0,0,67,33,33,0,67,34,0
1,Tate Ratledge,124034,G,DET,1,100.0,0,11,57.5,39.2,64.1,1,1,43,100.0,100.0,95.3,0,3,1,67,0,0,0,67,44,44,67,0,23,0
1,Drew Dalman,52270,C,CHI,1,100.0,0,6,60.4,58.7,59.8,0,3,44,100.0,100.0,94.3,0,4,1,67,67,0,0,67,47,47,0,0,20,0
1,Quenton Nelson,12954,G,IND,1,100.0,0,14,77.2,48.8,79.7,0,1,32,100.0,100.0,98.4,0,1,0,67,0,67,0,67,33,33,0,0,34,0
1,Penei Sewell,81788,T,DET,1,100.0,0,11,71.9,72.1,68.4,0,1,43,100.0,100.0,98.8,0,1,0,67,0,0,0,67,44,44,0,67,23,0
1,Walker Little,52287,T,JAX,1,100.0,0,15,59.0,66.9,59.2,0,2,32,100.0,100.0,96.9,1,2,0,66,0,0,66,66,34,34,0,0,32,0
1,Isaiah Adams,158192,G,ARZ,1,100.0,0,1,41.6,61.3,43.1,0,2,38,100.0,100.0,97.4,1,2,0,66,0,0,0,66,42,42,66,0,24,0
1,Paris Johnson Jr.,129749,T,ARZ,1,100.0,0,1,71.2,88.4,55.8,0,0,38,100.0,100.0,100.0,0,0,0,66,0,0,66,66,42,42,0,0,24,0
1,Joe Thuney,10712,G,CHI,1,100.0,0,6,58.9,70.9,51.4,1,3,43,100.0,100.0,95.3,0,4,0,66,0,66,0,66,46,46,0,0,20,0
1,Darnell Wright,98480,T,CHI,1,100.0,0,6,77.9,86.0,76.5,0,0,43,100.0,100.0,100.0,2,0,0,66,0,0,0,66,46,46,0,66,20,0
1,Evan Brown,38709,G,ARZ,1,100.0,0,1,48.0,73.4,39.6,0,0,38,100.0,100.0,100.0,2,0,0,66,0,66,0,66,42,42,0,0,24,0
1,Robert Hainsey,59980,C,JAX,1,100.0,0,15,78.0,84.1,74.7,0,0,32,100.0,100.0,100.0,1,0,0,66,66,0,0,66,34,34,0,0,32,0
1,Hjalte Froholdt,44959,C,ARZ,1,100.0,0,1,68.4,62.8,69.4,0,1,38,100.0,100.0,98.7,1,1,0,66,66,0,0,66,42,42,0,0,24,0
1,Jonah Williams,41651,T,ARZ,1,100.0,0,1,53.8,66.9,40.2,0,1,38,100.0,100.0,98.7,0,1,0,66,0,0,0,66,42,42,0,66,24,0
1,Jonah Jackson,37070,G,CHI,1,100.0,0,6,31.0,22.6,44.8,0,5,43,100.0,100.0,94.2,2,5,0,66,0,0,0,66,46,46,66,0,20,0
1,Braxton Jones,60092,T,CHI,1,100.0,0,6,58.7,56.2,57.1,2,4,43,100.0,100.0,93.0,0,6,0,66,0,0,66,66,46,46,0,0,20,0
1,Ezra Cleveland,41973,G,JAX,1,100.0,1,15,67.0,53.1,68.5,0,3,32,100.0,100.0,95.3,1,3,0,66,0,66,0,66,34,34,0,0,32,0
1,Zion Johnson,99681,G,LAC,1,100.0,0,27,60.9,55.3,61.5,0,1,41,100.0,100.0,98.8,0,1,0,65,0,65,0,65,43,43,0,0,22,0
1,Trey Pipkins III,91462,T,LAC,1,100.0,0,27,58.8,49.8,64.7,0,4,41,100.0,100.0,95.1,0,4,0,65,0,0,0,65,43,43,0,65,22,0
1,Joe Alt,147481,T,LAC,1,100.0,0,27,74.9,91.4,54.8,0,0,41,100.0,100.0,100.0,0,0,0,65,0,0,64,65,43,43,0,0,22,1
1,Bradley Bozeman,27934,C,LAC,1,100.0,0,27,52.4,56.2,49.7,0,3,41,100.0,100.0,96.3,0,3,0,65,65,0,0,65,43,43,0,0,22,0
1,Josh Myers,59992,C,NYJ,1,100.0,0,22,64.5,64.3,63.2,0,1,25,100.0,100.0,98.0,0,1,0,64,64,0,0,64,26,26,0,0,38,0
1,Taylor Moton,11819,T,CAR,1,100.0,0,5,65.4,80.8,48.8,1,0,40,100.0,100.0,98.7,0,1,0,64,0,0,0,64,43,43,0,64,21,0
1,Austin Corbett,46290,C,CAR,1,100.0,0,5,64.8,27.7,78.2,0,1,40,100.0,100.0,98.7,1,1,0,64,64,0,0,64,43,43,0,0,21,0
1,Olumuyiwa Fashanu,129777,T,NYJ,1,100.0,0,22,66.2,56.8,67.1,0,2,25,100.0,100.0,92.0,0,3,1,64,0,0,64,64,26,26,0,0,38,0
