week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
0,Tyrin Smith,145487,WR,UTEP,1,14.5,0,46.7,0.0,0,2,0,30.0,3,4,330,0,25.5,67.8,59.6,,58.4,0.0,0,0,49,0.0,0,54,0,7,94.4,51,72.2,39,98.5,15,1,27.8,15,127,43,6.1,18.1,2.49
0,Trey Palmer,99248,WR,NEBRASKA,1,14.8,2,61.5,25.0,1,4,0,20.0,2,3,238,0,41.6,71.5,66.2,,64.9,0.0,0,0,16,0.0,0,34,0,8,97.1,33,64.7,22,75.2,13,0,35.3,12,68,20,2.5,8.5,2.06
0,Josh Downs,122832,WR,N CAROLINA,1,10.2,0,75.0,100.0,2,2,0,0.0,0,4,245,0,80.1,70.2,72.6,,74.1,0.0,0,0,27,0.0,0,40,0,9,95.0,38,77.5,31,131.3,12,2,22.5,9,78,14,1.6,8.7,2.05
0,Malik Washington,97108,WR,NWESTERN,1,8.3,2,72.7,25.0,1,4,0,0.0,0,4,256,0,79.3,67.1,75.9,,74.1,0.0,0,0,39,0.0,0,34,0,8,100.0,34,76.5,26,99.4,11,0,23.5,8,97,44,5.5,12.1,2.85
0,Kelly Akharaiyi,157878,WR,UTEP,1,16.3,3,27.3,0.0,0,1,0,40.0,2,1,330,0,21.7,64.1,47.4,,49.4,0.0,0,0,15,0.0,0,46,1,3,93.5,43,6.5,3,39.6,11,0,93.5,43,29,7,2.3,9.7,0.67
0,James Phillips,98731,WR,HAWAII,1,5.3,0,63.6,100.0,1,1,0,12.5,1,0,180,0,56.4,66.7,50.1,,54.0,2.6,1,0,12,0.0,0,38,0,7,97.4,37,97.4,37,67.6,11,0,0.0,0,33,21,3.0,4.7,0.89
0,Reynaldo Flores,83794,WR,UTEP,1,15.3,0,80.0,66.7,4,6,0,11.1,1,6,330,0,58.9,67.1,75.7,,75.0,0.0,0,0,38,0.0,0,56,0,8,94.6,53,28.6,16,117.5,10,0,71.4,40,122,17,2.1,15.3,2.3
0,Isaiah Williams,97156,WR,ILLINOIS,1,0.6,3,77.8,,0,0,0,0.0,0,1,187,0,78.5,72.0,78.2,,76.9,0.0,0,0,13,0.0,0,26,0,7,96.2,25,80.8,21,79.2,9,0,19.2,5,26,38,5.4,3.7,1.04
0,Jonah Panoke,97798,WR,HAWAII,1,9.4,0,77.8,,0,0,0,0.0,0,5,180,0,78.5,66.7,71.3,,70.2,0.0,0,0,28,0.0,0,28,0,7,96.4,27,7.1,2,113.4,9,0,92.9,26,101,52,7.4,14.4,3.74
0,Brian Cobbs,84285,WR,UTAH ST,1,10.0,1,100.0,100.0,1,1,0,0.0,0,6,329,0,79.3,67.3,77.4,,81.3,0.0,0,0,30,0.0,0,37,0,8,91.9,34,2.7,1,158.3,8,1,97.3,36,108,35,4.4,13.5,3.18
0,Daewood Davis,61584,WR,W KENTUCKY,1,16.0,1,75.0,100.0,1,1,0,14.3,1,5,346,0,53.8,67.4,67.0,,66.5,0.0,0,0,48,0.0,0,33,0,6,87.9,29,3.0,1,156.3,8,1,97.0,32,124,36,6.0,20.7,4.28
0,Ricky White,129639,WR,UNLV,1,13.6,1,100.0,,0,0,0,0.0,0,5,325,0,79.3,67.1,89.2,,87.5,0.0,0,0,72,0.0,0,30,0,8,93.3,28,13.3,4,158.3,8,2,86.7,26,182,75,9.4,22.8,6.5
0,Jalen Walthall,146075,WR,HAWAII,1,7.9,1,62.5,100.0,1,1,0,0.0,0,2,180,0,76.3,65.7,65.1,,64.5,0.0,0,0,31,0.0,0,32,0,5,100.0,32,0.0,0,85.9,8,0,100.0,32,61,25,5.0,12.2,1.91
0,Isaiah Garcia-Castaneda,138481,WR,NEBRASKA,1,16.3,1,57.1,50.0,1,2,0,0.0,0,2,238,1,74.9,16.8,70.2,,69.5,0.0,0,0,58,0.0,0,24,0,4,100.0,24,20.8,5,141.4,7,1,79.2,19,120,39,9.8,30.0,5.0
0,Jamaal Bell,128222,WR,NEVADA,1,4.6,0,42.9,0.0,0,1,0,0.0,0,0,239,0,73.1,66.4,54.8,,54.6,10.5,2,0,6,0.0,0,19,0,3,100.0,19,89.5,17,50.3,7,0,0.0,0,11,2,0.7,3.7,0.58
0,Malachi Corley,66272,WR,W KENTUCKY,1,9.2,0,83.3,0.0,0,1,0,0.0,0,3,346,0,77.5,66.2,76.5,,75.7,0.0,0,0,25,0.0,0,29,0,5,86.2,25,96.6,28,148.6,6,3,3.4,1,61,29,5.8,12.2,2.44
