week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Zion Webb,63555,QB,JVILLE ST,1,0,196,60.0,77.8,7,24.1,9,60.0,0,72.5,29,40,60.0,88.0,22,75.9,25
0,Shiyazh Pete,147455,T,NEW MEX ST,1,0,242,70.1,100.0,13,46.4,13,63.2,0,100.0,28,28,54.6,100.0,14,50.0,14
0,Amin Hassan,144313,WR,NAVY,1,0,237,70.9,100.0,11,39.3,11,65.0,0,100.0,28,28,,,0,0.0,0
0,Cyrus Allen,156582,WR,LA TECH,1,0,208,62.1,100.0,10,35.7,10,61.6,0,100.0,28,28,61.3,100.0,17,60.7,17
0,Holden Staes,156971,TE,NOTRE DAME,1,0,258,53.3,100.0,16,57.1,16,57.0,0,100.0,28,28,67.9,100.0,11,39.3,11
0,Lirion Murtezi,121861,C,NAVY,1,0,237,59.0,100.0,14,50.0,14,57.5,0,100.0,28,28,60.0,100.0,1,3.6,1
0,Canaan Yarro,72292,C,NEW MEX ST,1,0,242,66.0,100.0,13,46.4,13,69.7,0,100.0,28,28,67.9,100.0,14,50.0,14
0,Sean Brown,99181,TE,JVILLE ST,1,0,196,48.6,100.0,7,25.0,7,41.0,0,100.0,28,28,45.4,100.0,15,53.6,15
0,AJ Vaipulu,74652,G,NEW MEX ST,1,0,242,53.6,100.0,13,46.4,13,49.5,0,100.0,28,28,50.6,100.0,14,50.0,14
0,Zeke Correll,53431,C,NOTRE DAME,1,0,258,67.7,100.0,13,48.1,13,63.3,0,100.0,27,27,63.4,100.0,14,51.9,14
0,Mitchell Evans,147486,TE,NOTRE DAME,1,0,258,53.8,100.0,13,48.1,13,41.5,1,100.0,27,27,51.0,100.0,14,51.9,14
0,John Bock II,156549,C,FIU,1,0,166,56.0,100.0,7,25.9,7,71.1,0,100.0,27,27,73.6,100.0,17,63.0,17
0,Blake Fisher,147479,T,NOTRE DAME,1,0,258,76.7,100.0,13,48.1,13,84.2,0,100.0,27,27,90.5,100.0,14,51.9,14
0,Pat Coogan,147482,G,NOTRE DAME,1,0,258,50.2,100.0,13,48.1,13,61.9,0,100.0,27,27,72.4,100.0,14,51.9,14
0,Mekhi Shaw,128315,WR,S DIEGO ST,1,0,284,78.2,100.0,17,63.0,17,75.6,0,100.0,27,27,61.2,100.0,9,33.3,9
0,Sam Hartman,77618,QB,NOTRE DAME,1,0,258,60.0,100.0,13,48.1,13,60.2,0,100.0,27,27,60.1,100.0,14,51.9,14
0,Rocco Spindler,147478,G,NOTRE DAME,1,0,258,69.4,100.0,13,48.1,13,70.8,0,100.0,27,27,66.6,100.0,14,51.9,14
0,Joe Alt,147481,T,NOTRE DAME,1,0,258,60.1,100.0,13,48.1,13,80.5,0,100.0,27,27,90.3,100.0,14,51.9,14
0,Sterling Galban,78150,WR,JVILLE ST,1,0,196,58.9,83.3,5,19.2,6,60.5,0,92.9,26,28,60.3,94.1,16,61.5,17
0,Parker Titsworth,97656,C,OHIO,1,0,259,68.5,100.0,9,34.6,9,62.9,1,100.0,26,26,60.5,100.0,15,57.7,15
0,Christophe Atkinson,98064,G,OHIO,1,0,259,64.9,100.0,9,34.6,9,59.6,0,100.0,26,26,55.4,100.0,15,57.7,15
0,Jay Amburgey,98250,T,OHIO,1,0,259,75.4,100.0,9,34.6,9,66.8,0,100.0,26,26,57.5,100.0,15,57.7,15
0,Kurt Danneker,77443,G,OHIO,1,0,259,65.8,100.0,9,34.6,9,68.2,0,100.0,26,26,67.6,100.0,15,57.7,15
0,Joshua Pena,121864,G,NAVY,1,0,237,57.8,100.0,11,42.3,11,57.1,0,100.0,26,26,60.0,100.0,1,3.8,1
0,Miles Cross,145887,WR,OHIO,1,0,259,61.1,100.0,8,32.0,8,57.5,0,100.0,25,25,60.1,100.0,15,60.0,15
0,Kordell David,156921,WR,NEW MEX ST,1,0,242,60.6,100.0,12,48.0,12,61.2,0,100.0,25,25,61.1,100.0,13,52.0,13
0,Kris Mitchell,97659,WR,FIU,1,0,166,60.4,100.0,5,20.8,5,62.5,0,100.0,24,24,61.9,100.0,16,66.7,16
0,Gunnar Hansen,146959,T,VANDERBILT,1,0,333,53.9,100.0,5,20.8,5,34.6,0,100.0,24,24,31.0,100.0,13,54.2,13
0,Tyler Walton,78201,WR,OHIO,1,0,259,51.0,100.0,8,34.8,8,55.3,0,95.8,23,24,62.7,100.0,14,60.9,14
0,Junior Uzebu,77471,T,VANDERBILT,1,0,333,57.8,100.0,5,21.7,5,52.9,0,100.0,23,23,53.4,100.0,13,56.5,13
0,Smoke Harris,78918,WR,LA TECH,1,0,208,59.4,100.0,7,30.4,7,61.0,0,95.8,23,24,61.5,100.0,14,60.9,14
0,Sam Wiglusz,88315,WR,OHIO,1,0,259,60.3,100.0,8,34.8,8,58.3,0,100.0,23,23,57.5,100.0,15,65.2,15
0,Julian Hernandez,98570,C,VANDERBILT,1,0,333,59.1,100.0,5,21.7,5,55.1,0,100.0,23,23,54.0,100.0,13,56.5,13
0,Phillip Houston,162943,T,FIU,1,0,166,62.3,100.0,6,26.1,6,52.8,0,100.0,23,23,48.8,100.0,15,65.2,15
