week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
1,Darrell Taylor,36001,ED,TENNESSEE,1,0,0,307,76.0,0,3,18,91.3,27.8,5,0,8.3,0,23,21,3,0,82.9,0,3,8,90.0,62.5,5,18.8,0,10,9,3
1,Trent Sellers,36003,ED,NEW MEXICO,1,0,0,241,67.6,2,2,31,100.0,12.9,4,0,6.5,0,34,34,4,0,82.7,2,2,8,100.0,50.0,4,25.0,0,9,9,4
1,Bryan Wright,36004,LB,CINCINNATI,1,0,0,138,53.0,0,1,7,25.9,0.0,0,0,7.1,0,27,7,1,0,57.4,0,0,2,16.7,0.0,0,0.0,0,12,2,0
1,Deandre Kelly,36042,ED,TEMPLE,1,0,0,306,53.4,0,0,14,100.0,0.0,0,1,0.0,0,15,15,0,0,55.9,0,0,4,100.0,0.0,0,0.0,0,4,4,0
1,Kirk Louis,36045,LB,ARK STATE,1,0,0,113,60.0,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,2,0,0
1,Chukwudi Chukwu,36110,ED,OHIO,1,0,0,259,59.8,0,1,12,92.9,8.3,1,0,4.2,0,14,13,1,0,55.9,0,0,4,80.0,0.0,0,0.0,0,5,4,0
1,Willie Hibbler,36113,LB,OLE MISS,1,0,0,226,59.2,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
1,Josh Thomas,36116,S,APP STATE,1,0,0,108,59.2,0,0,1,3.7,0.0,0,0,0.0,0,27,1,0,0,,0,0,0,0.0,,0,,0,7,0,0
1,Cristian Williams,36151,S,TULSA,1,0,0,320,59.2,0,0,1,6.3,0.0,0,0,0.0,0,16,1,0,0,,0,0,0,0.0,,0,,0,4,0,0
1,Fua Leilua,36156,DI,UTAH ST,1,0,0,329,64.5,1,1,30,100.0,6.7,2,1,3.3,0,31,31,2,0,66.7,0,1,9,100.0,11.1,1,5.6,0,9,9,1
1,Jacob White,36168,LB,BALL ST,1,0,0,117,59.1,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,,0,0,0,0.0,,0,,0,10,0,0
1,Tristan Brock,36210,DI,WASH STATE,1,0,0,341,56.0,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
1,Boosie Whitlow,36263,ED,LOUISVILLE,1,0,0,210,58.6,0,0,3,75.0,0.0,0,0,0.0,0,4,3,0,0,,0,0,0,0.0,,0,,0,1,0,0
1,Shameik Blackshear,36281,ED,TCU,1,0,0,305,61.5,1,0,19,95.0,5.3,1,0,2.6,0,20,19,1,0,60.9,0,0,8,100.0,12.5,1,0.0,0,8,8,0
1,Derek Wilder,36300,ED,DOMINION,1,0,0,263,63.9,0,0,6,100.0,16.7,1,0,0.0,0,6,6,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
1,Brian Arp,36301,DI,OHIO,1,0,0,259,55.3,1,0,18,100.0,0.0,0,0,2.8,0,20,20,1,0,58.1,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Willington Previlon,36337,DI,RUTGERS,1,0,0,278,54.8,0,1,21,100.0,0.0,0,0,2.4,0,24,24,1,0,54.8,0,0,6,100.0,0.0,0,0.0,0,8,8,0
1,Myles Cheatum,36338,ED,S DIEGO ST,1,1,0,284,59.2,1,0,30,90.9,0.0,0,0,1.7,0,33,30,1,0,58.7,1,0,10,83.3,0.0,0,5.0,0,12,10,1
1,Jamario Bell,36361,ED,ARKANSAS,1,0,1,111,55.3,0,3,23,100.0,4.3,1,1,6.5,0,24,24,3,0,58.2,0,0,10,100.0,10.0,1,0.0,0,11,11,0
1,Milan Lanier,36387,DI,MARSHALL,1,0,0,214,55.7,0,0,19,100.0,0.0,0,0,0.0,0,20,20,0,0,57.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Mike Scott,36450,ED,OKLA STATE,1,0,0,262,66.2,1,3,20,84.0,20.0,4,0,10.0,0,25,21,4,0,68.9,1,3,14,88.2,28.6,4,14.3,0,17,15,4
1,Ty Tyler,36451,DI,LOUISVILLE,1,0,0,210,61.0,0,2,12,100.0,8.3,1,0,8.3,0,12,12,2,0,57.4,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,David Pfaff,36454,DI,WISCONSIN,1,0,0,349,56.1,0,0,8,100.0,0.0,0,0,0.0,0,9,9,0,0,58.4,0,0,2,100.0,0.0,0,0.0,0,2,2,0
1,Qaadir Sheppard,36471,ED,OLE MISS,1,0,0,226,59.9,0,2,14,60.0,7.1,1,0,7.1,0,25,15,2,0,67.4,0,1,2,66.7,50.0,1,25.0,0,3,2,1
1,Eli Howard,36472,ED,TEXAS TECH,1,0,0,315,59.6,0,0,12,100.0,8.3,1,0,0.0,0,12,12,0,0,55.8,0,0,4,100.0,0.0,0,0.0,0,4,4,0
1,Sam Renner,36482,DI,MINNESOTA,1,1,1,225,74.5,0,0,23,100.0,13.0,3,2,0.0,0,23,23,0,0,57.2,0,0,5,100.0,0.0,0,0.0,0,5,5,0
1,Malik Manciel,36502,DI,MIDDLE TN,1,0,0,224,56.9,0,0,26,96.8,0.0,0,0,0.0,0,31,30,0,0,56.1,0,0,7,87.5,0.0,0,0.0,0,8,7,0
1,Jeffery Whatley,36506,DI,S ALABAMA,1,0,0,288,61.8,0,0,19,100.0,10.5,2,0,5.3,1,21,21,1,0,58.0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
1,Alex Hoag,36544,DI,KENT STATE,1,0,0,201,71.1,0,0,9,100.0,22.2,2,0,0.0,0,11,11,0,0,65.8,0,0,2,100.0,50.0,1,0.0,0,2,2,0
1,La'Dante Davenport,36553,ED,LA TECH,1,0,0,208,55.8,0,0,14,100.0,0.0,0,0,0.0,0,14,14,0,0,56.4,0,0,7,100.0,0.0,0,0.0,0,7,7,0
1,Sam McKnight,36620,ED,OHIO,1,0,0,259,62.9,1,2,16,94.1,6.3,1,0,9.4,0,17,16,3,0,54.8,0,1,7,100.0,0.0,0,7.1,0,7,7,1
1,Brentavious Glanton,36642,DI,GA TECH,1,0,0,176,73.3,1,0,12,100.0,16.7,2,0,4.2,0,13,13,1,0,66.3,1,0,3,100.0,33.3,1,16.7,0,3,3,1
