week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
0,Patrick Worstell,22577,WR,CAL,1,35.3,0,130,53.4,,60.7,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,17,0,11,0,0,6,0
0,Bug Rivera,47469,WR,CAL,1,27.3,0,130,79.6,,77.6,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,22,0,16,0,0,6,0
0,J.D. Hinnant,47036,TE,CAL,1,100.0,0,130,73.0,69.6,71.6,0,0,1,100.0,100.0,100.0,0,0,0,5,0,0,0,5,2,2,0,0,3,5
0,Kaiwi Chung,47355,TE,HAWAII,1,100.0,0,180,68.3,,71.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
0,Jack Austin,47752,WR,CAL,1,60.0,0,130,59.6,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
0,Tre Watson,45730,HB,CAL,1,13.6,0,130,52.0,76.6,,0,0,3,27.3,27.3,100.0,0,0,0,3,0,0,0,22,3,11,0,0,0,0
0,Jordan Duncan,38485,WR,CAL,1,50.0,0,130,59.6,,59.7,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,2,0,0,2,0
0,Matt Rockett,47707,WR,CAL,1,50.0,0,130,56.1,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,2,0,0,2,0
0,Makoa Camanse-Stevens,38581,WR,HAWAII,1,20.0,0,180,55.0,,59.1,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,5,0,4,0,0,1,0
0,Steven Lakalaka,45793,HB,HAWAII,1,5.3,0,180,62.2,71.8,,0,0,1,12.5,12.5,100.0,0,0,0,1,0,0,0,19,1,8,0,0,0,0
week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Kevin Pendleton,46119,G,MISSOURI,1,100.0,0,229,60.1,72.4,59.5,0,2,59,100.0,100.0,98.3,1,2,0,103,0,103,0,103,62,62,0,0,41,0
1,Paul Adams,46846,T,MISSOURI,1,100.0,0,229,61.4,60.5,59.8,0,0,59,100.0,100.0,100.0,0,0,0,103,0,0,0,103,62,62,0,92,41,11
1,Tyler Howell,27437,T,MISSOURI,1,100.0,0,229,60.9,77.4,51.2,0,0,59,100.0,100.0,100.0,0,0,0,103,0,0,96,103,62,62,0,7,41,0
1,Samson Bailey,39521,C,MISSOURI,1,100.0,0,229,67.7,72.1,64.1,1,1,59,100.0,100.0,98.3,0,2,0,103,103,0,0,103,62,62,0,0,41,0
