week,player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
0,Alii Matau,52219,LB,S JOSE ST,1,3,0,285,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,,0,0,,,33.3,,,0,0,,60.9,0,,,0,0,0.0,0,2,66.7,6,0,0,0,0,0,0,0.0,
0,Hadari Darden,52234,LB,S JOSE ST,1,13,0,285,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,5.0,0.0,100.0,,10.0,0,0,0.0,65.0,0,,,0,0,39.6,0,13,100.0,13,0,0,1,0,0,0,0.0,
0,Rico Tolefree,52250,LB,S JOSE ST,1,3,0,285,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,
0,Tre White,52261,S,S JOSE ST,1,18,0,285,1,,,100.0,,,0,0,,64.4,0,,0.0,0,0,0.0,0,3,16.7,3,0,0,0,0,0,0,0.0,,0,0,,,90.0,,,0,0,,65.8,0,,0.0,0,0,0.0,0,9,50.0,10,0,1,0,0,0,0,0.0,
0,Tysyn Parker,52264,LB,S JOSE ST,1,8,0,285,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,4.3,66.7,88.9,3.0,2.0,1,1,33.3,53.9,0,12,,0,1,84.0,2,8,100.0,9,0,0,3,0,19,16,3.2,9.5
0,Omar Fortt,55100,LB,UCONN,1,17,0,146,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,15.0,50.0,93.3,14.0,7.0,0,0,0.0,39.0,0,61,0.0,0,0,135.4,1,14,82.4,15,1,1,2,1,61,43,4.4,61.0
0,Ian Swenson,55104,LB,UCONN,1,18,0,146,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.6,2,0,0,0,0,0,0,0.0,,0,0,5.0,33.3,82.4,14.0,4.7,0,1,33.3,58.9,0,1,,0,1,42.4,1,14,77.8,17,0,0,3,0,1,5,0.1,1.0
0,Wylan Free,55596,CB,FRESNO ST,1,19,0,169,0,,,66.7,,,0,0,,63.3,0,,,0,0,0.0,0,4,21.1,6,0,0,0,0,0,0,0.0,,0,0,5.5,100.0,100.0,5.0,5.0,0,0,0.0,67.4,0,6,0.0,0,0,89.6,2,12,63.2,12,2,2,2,0,11,0,1.1,5.5
0,Tony Adams,55953,CB,ILLINOIS,1,45,0,187,0,6.7,83.3,97.0,6.0,5.0,0,0,0.0,60.0,0,18,0.0,0,0,103.5,5,32,71.1,33,3,6,6,0,53,24,1.8,10.6,0,0,21.5,50.0,100.0,11.0,5.5,0,0,0.0,51.8,0,28,0.0,0,0,95.8,1,12,26.7,12,0,1,2,0,28,4,2.5,28.0
0,Walter Neil,55982,CB,UTEP,1,25,0,330,0,19.0,0.0,100.0,,8.0,0,1,100.0,74.7,0,,,0,1,39.6,0,8,32.0,8,0,0,1,0,0,0,0.0,,0,0,12.0,50.0,100.0,12.0,6.0,0,0,0.0,52.5,0,15,50.0,1,0,75.0,1,14,56.0,14,0,1,2,0,15,0,1.3,15.0
