week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
0,Calvin Tyler Jr.,52133,HB,UTAH ST,1,33,8,2,24.2,39,0,161,0,0,8,84,58.2,4,8,329,1,12,49.3,73.5,76.8,,51.4,33.4,76.0,60.0,22,0,19,2,9,37,0,0,2,35,0,161,84,2.55,4.9,2.11,21
0,Evan Hull,97302,HB,NWESTERN,1,22,6,3,43.7,52,0,119,0,1,6,83,97.8,5,7,256,0,14,77.6,77.0,77.7,,0.0,86.0,71.8,60.0,21,0,55,5,23,27,0,0,5,27,1,119,83,3.77,5.4,2.39,8
0,Nate Carter,147376,HB,UCONN,1,19,5,4,69.6,133,0,191,0,0,5,82,107.9,7,7,146,1,10,31.0,76.5,77.3,,78.7,57.4,76.7,57.8,52,0,10,1,12,28,0,0,2,20,0,191,82,4.32,10.1,0.83,9
0,Cam Porter,129732,HB,NWESTERN,1,19,3,1,20.7,19,0,92,0,0,3,60,47.4,2,5,256,1,5,31.0,60.9,76.2,,,53.7,62.2,60.0,19,1,5,1,19,20,0,0,1,20,1,92,60,3.16,4.8,0.26,13
0,Toa Taua,83722,HB,NEVADA,1,19,6,1,22.0,24,0,109,1,0,6,59,84.7,3,4,239,0,7,76.5,64.4,77.4,,54.5,48.4,68.9,59.0,24,0,4,3,16,26,0,0,4,22,0,109,59,3.11,5.7,0.25,12
0,Chase Brown,77787,HB,ILLINOIS,1,19,6,5,74.8,113,0,151,0,0,6,66,94.7,6,7,187,0,5,76.5,79.4,0.0,,79.4,63.4,82.7,60.0,38,1,16,3,21,20,0,0,3,22,2,151,66,3.47,7.9,0.76,13
0,Ayo Adeyi,145320,HB,N TEXAS,1,17,3,2,42.5,34,0,80,0,0,3,54,56.1,4,5,251,0,6,75.8,63.9,72.8,,70.3,58.1,63.3,60.0,18,0,0,0,3,18,0,0,0,17,0,80,54,3.18,4.7,0.0,11
0,Titus Swen,97314,HB,WYOMING,1,17,5,1,25.5,25,0,98,1,0,5,63,109.0,5,5,351,1,1,28.7,58.8,76.8,,75.3,36.3,63.5,58.8,25,0,0,0,13,23,0,0,1,17,0,98,63,3.71,5.8,0.0,16
0,Anthony Grant,77701,HB,NEBRASKA,1,17,2,1,48.4,46,0,95,1,1,2,68,66.7,1,4,238,0,5,76.0,71.3,76.3,,64.4,53.7,75.3,59.2,46,0,16,1,24,20,0,0,2,18,2,95,68,4.0,5.6,0.67,12
0,Davion Ervin-Poindexter,101653,HB,W KENTUCKY,1,15,2,0,0.0,0,0,49,1,0,2,39,32.5,0,3,346,0,10,75.2,63.5,75.6,,79.3,41.9,66.3,60.0,9,0,19,1,11,17,0,0,2,16,0,49,39,2.6,3.3,1.73,5
0,Larry McCammon III,97309,HB,FAU,1,14,5,2,63.6,75,0,118,0,0,5,71,158.5,2,2,165,0,9,75.2,84.4,74.7,,79.1,74.0,81.1,59.6,52,0,16,2,6,18,0,0,2,16,1,118,71,5.07,8.4,2.67,5
0,Omarion Hampton,162750,HB,N CAROLINA,1,14,3,2,42.6,43,0,101,0,0,3,44,67.3,6,7,245,0,4,75.4,71.1,72.6,,67.5,57.4,70.0,60.0,25,0,0,0,4,16,0,0,0,14,2,101,44,3.14,7.2,0.0,8
0,Shadrick Byrd,101661,HB,CHARLOTTE,1,14,1,1,35.3,18,0,51,0,0,1,49,21.9,1,1,136,0,3,75.5,58.8,75.5,,23.8,59.2,61.7,60.0,18,0,9,2,18,17,0,0,2,16,0,51,49,3.5,3.6,0.5,11
