week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
0,Chad Hansen,11896,WR,CAL,1,7.4,1,87.5,,0,0,0,0.0,0,7,130,0,83.3,69.0,77.5,,75.3,0.0,0,0,34,0.0,0,42,0,14,95.2,40,0.0,0,147.9,16,2,100.0,42,160,80,5.7,11.4,4.0
0,John Ursua,26586,WR,HAWAII,1,10.7,1,45.5,,0,0,0,28.6,2,3,180,0,29.1,67.7,61.8,,61.4,0.0,0,1,32,0.0,0,29,0,5,93.1,27,100.0,29,28.6,11,0,0.0,0,70,21,4.2,14.0,2.59
0,Marcus Kemp,12137,WR,HAWAII,1,18.0,2,44.4,,0,0,0,0.0,0,3,180,0,74.9,65.0,65.4,,64.7,0.0,0,0,39,0.0,0,39,0,4,92.3,36,0.0,0,110.0,9,1,100.0,39,73,39,9.8,18.3,2.03
0,Melquise Stovall,38411,WR,CAL,1,10.4,0,57.1,,0,0,0,20.0,1,2,130,0,45.4,65.0,57.8,,56.3,0.0,0,0,32,0.0,0,31,0,4,93.5,29,100.0,31,125.6,7,1,0.0,0,61,25,6.3,15.3,2.1
0,Bug Rivera,47469,WR,CAL,1,3.5,5,83.3,,0,0,0,16.7,1,4,130,0,50.3,65.7,79.6,,76.1,0.0,0,0,16,0.0,0,16,0,5,93.8,15,100.0,16,104.2,6,0,0.0,0,54,31,6.2,10.8,3.6
0,Vic Wharton III,47751,WR,CAL,1,7.0,3,75.0,,0,0,0,0.0,0,2,130,0,73.1,70.3,67.8,,73.5,0.0,0,0,28,0.0,0,15,1,3,100.0,15,0.0,0,113.5,4,0,100.0,15,47,28,9.3,15.7,3.13
0,Brandon Singleton,48317,WR,CAL,1,6.7,1,66.7,,0,0,0,0.0,0,0,130,0,70.7,62.9,54.7,,54.7,0.0,0,0,9,0.0,0,37,0,2,91.9,34,0.0,0,77.1,3,0,100.0,37,14,18,9.0,7.0,0.41
0,Jordan Veasy,38435,WR,CAL,1,10.7,0,66.7,,0,0,0,0.0,0,1,130,0,70.7,62.9,64.0,,63.4,0.0,0,0,33,0.0,0,20,0,2,95.0,19,100.0,20,149.3,3,1,0.0,0,41,24,12.0,20.5,2.16
0,Demetris Robertson,38547,WR,CAL,1,13.0,0,66.7,,0,0,0,0.0,0,0,130,0,70.7,62.9,52.3,,55.7,0.0,0,0,7,0.0,0,13,0,2,100.0,13,15.4,2,74.3,3,0,84.6,11,12,8,4.0,6.0,0.92
0,Diocemy Saint Juste,45726,HB,HAWAII,1,0.3,3,66.7,,0,0,0,0.0,0,1,180,0,70.7,16.6,65.8,56.4,77.2,0.0,0,0,34,50.0,11,22,0,2,45.5,10,13.6,3,106.3,3,0,0.0,0,35,36,18.0,17.5,3.5
0,Kanawai Noa,47501,WR,CAL,1,15.0,0,33.3,,0,0,0,0.0,0,1,130,0,66.7,61.0,53.6,,59.9,0.0,0,0,18,0.0,0,16,0,1,100.0,16,100.0,16,54.9,3,0,0.0,0,18,3,3.0,18.0,1.13
0,Dylan Collie,47705,WR,HAWAII,1,4.3,0,100.0,,0,0,0,0.0,0,2,180,0,73.1,64.1,64.7,,64.1,0.0,0,0,17,0.0,0,10,0,3,90.0,9,100.0,10,102.8,3,0,0.0,0,26,13,4.3,8.7,2.89
0,Ammon Barker,48282,WR,HAWAII,1,14.7,0,33.3,,0,0,0,0.0,0,1,180,0,66.7,61.0,56.2,,54.3,0.0,0,0,7,0.0,0,39,0,1,92.3,36,2.6,1,42.4,3,0,97.4,38,7,4,4.0,7.0,0.19
0,Dakota Torres,47245,TE,HAWAII,1,12.0,0,50.0,,0,0,0,0.0,0,0,180,0,66.7,61.0,67.2,67.9,47.5,100.0,22,0,4,9.1,2,22,0,1,81.8,18,0.0,0,56.3,2,0,0.0,0,4,1,1.0,4.0,0.22
0,Davasyia Hagger,47671,WR,HAWAII,1,23.0,0,50.0,,0,0,0,50.0,1,1,180,0,24.5,61.0,54.2,,54.5,0.0,0,0,19,0.0,0,13,0,1,100.0,13,100.0,13,83.3,2,0,0.0,0,19,3,3.0,19.0,1.46
0,Ray Hudson,47739,WR,CAL,1,12.0,0,50.0,,0,0,0,0.0,0,1,130,0,66.7,61.0,62.2,72.1,58.6,13.0,3,0,22,13.0,3,23,0,1,82.6,19,78.3,18,89.6,2,0,0.0,0,22,12,12.0,22.0,1.16
0,Vic Enwere,45746,HB,CAL,1,-0.5,0,100.0,,0,0,0,0.0,0,1,130,0,70.7,73.2,75.0,78.5,64.2,0.0,0,0,3,25.0,6,24,0,2,66.7,16,4.2,1,79.2,2,0,0.0,0,5,6,3.0,2.5,0.31
0,Steven Lakalaka,45793,HB,HAWAII,1,21.0,0,0.0,,0,0,0,,0,0,180,0,,73.5,62.2,71.8,55.9,0.0,0,0,0,12.5,1,8,0,0,87.5,7,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
