week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
0,Hank Bachmeier,101284,QB,LA TECH,1,83.3,42,45,4.7,2.51,0,0,0.0,75.6,34,0,12,2.9,51,1,19,208,70.8,66.7,66.5,59.4,2,1,52,1,8.3,93.9,2.0,1,3,0,1,1,1,1.9,332,7.4
0,CJ Harris,130594,QB,OHIO,1,55.6,36,41,12.3,2.58,2,1,2.3,43.9,18,0,14,10.0,46,2,15,259,71.1,60.9,55.4,70.7,2,3,48,0,7.1,37.0,2.2,1,4,0,1,1,3,6.3,204,5.0
0,Chevan Cordeiro,75886,QB,S JOSE ST,1,70.6,34,39,7.4,2.67,1,2,4.8,53.8,21,0,13,12.5,46,3,14,285,40.5,62.7,64.4,56.5,1,0,49,0,7.7,93.8,2.2,1,6,1,2,3,2,4.1,198,5.1
0,Brayden Schager,146078,QB,HAWAII,1,81.8,33,35,10.9,2.92,1,2,5.4,77.1,27,0,16,0.0,40,0,14,180,69.6,74.9,77.1,53.5,0,2,42,0,18.8,112.8,7.5,3,2,0,1,3,1,2.4,350,10.0
0,AJ Swann,157186,QB,VANDERBILT,1,66.7,30,30,11.2,2.4,0,3,8.8,63.3,19,0,10,5.0,33,1,12,333,70.2,73.3,74.2,60.8,0,0,37,2,30.0,124.0,9.1,3,0,0,0,3,1,2.7,258,8.6
0,Gavin Hardison,100827,QB,UTEP,1,70.4,27,29,11.1,2.77,0,3,9.7,58.6,17,0,9,10.5,32,2,9,330,70.8,71.3,70.6,65.7,0,2,34,1,22.2,63.6,6.3,2,1,0,2,1,2,5.9,208,7.2
0,Jalen Mayden,83520,QB,S DIEGO ST,1,75.0,24,28,10.8,2.71,0,1,3.6,64.3,18,0,15,0.0,30,0,11,284,71.9,65.4,65.9,59.4,0,0,31,0,6.7,103.9,3.3,1,1,0,4,2,2,6.5,164,5.9
0,Diego Pavia,156927,QB,NEW MEX ST,1,70.8,24,27,12.3,3.58,0,3,10.7,59.3,16,0,12,5.9,36,1,12,242,22.9,47.3,51.4,50.3,1,2,37,0,25.0,95.9,8.3,3,6,0,2,3,4,10.8,248,9.2
0,Caleb Williams,144622,QB,USC,1,87.0,23,26,8.3,3.19,0,1,3.8,69.2,18,0,9,10.0,30,2,11,326,32.0,74.8,73.4,64.7,0,0,31,1,11.1,143.9,3.3,1,2,0,3,4,1,3.2,278,10.7
0,Sam Hartman,77618,QB,NOTRE DAME,1,90.9,22,24,8.6,2.46,1,2,8.0,79.2,19,0,5,5.0,24,1,13,258,67.7,89.7,89.3,,0,0,25,0,0.0,149.8,0.0,0,0,1,0,4,0,0.0,251,10.5
0,Zion Webb,63555,QB,JVILLE ST,1,55.0,20,20,10.7,2.01,0,0,0.0,50.0,10,0,1,9.1,21,1,4,196,72.9,59.8,53.4,66.1,0,0,23,0,100.0,57.7,4.8,1,0,0,0,0,0,0.0,67,3.4
0,Taisun Phommachanh,99577,QB,UMASS,1,66.7,15,17,8.9,2.99,1,1,5.9,58.8,10,0,6,0.0,21,0,8,216,73.3,66.7,66.3,62.2,1,0,21,0,0.0,98.2,0.0,0,4,0,0,0,1,4.8,192,11.3
0,Grayson James,145214,QB,FIU,1,61.5,13,14,9.5,2.46,0,0,0.0,35.7,5,0,7,37.5,17,3,0,166,70.7,60.1,54.2,65.1,0,1,19,0,28.6,14.6,11.8,2,1,0,1,0,0,0.0,4,0.3
0,Kurtis Rourke,97998,QB,OHIO,1,80.0,10,10,5.5,2.05,0,0,0.0,80.0,8,0,2,0.0,11,0,4,259,66.0,53.6,53.1,,0,0,13,0,50.0,97.9,9.1,1,0,0,0,0,0,0.0,75,7.5
0,Miller Moss,70727,QB,USC,1,71.4,7,7,7.4,2.2,0,1,14.3,71.4,5,0,1,0.0,7,0,4,326,65.9,83.0,79.3,62.9,0,0,7,0,0.0,99.1,0.0,0,0,0,0,0,0,0.0,63,9.0
0,Tai Lavatai,121854,QB,NAVY,1,50.0,6,6,18.2,2.53,0,1,16.7,50.0,3,0,5,0.0,7,0,1,237,28.1,67.5,69.6,60.6,0,0,7,0,20.0,73.6,14.3,1,0,0,0,0,0,0.0,43,7.2
0,Malachi Nelson,174203,QB,USC,1,66.7,3,3,5.3,1.9,0,0,0.0,33.3,1,0,0,50.0,3,1,0,326,62.7,60.5,60.3,,0,0,3,0,,42.4,0.0,0,0,0,0,0,0,0.0,0,0.0
0,Steve Angeli,156966,QB,NOTRE DAME,1,100.0,1,1,-2.0,2.3,0,0,0.0,100.0,1,0,0,0.0,1,0,0,258,60.3,61.8,60.4,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0
0,Xavier Arline,121831,QB,NAVY,1,,0,1,,2.85,0,0,0.0,0.0,0,0,2,,2,0,0,237,61.8,55.3,55.4,,0,0,2,0,50.0,39.6,50.0,1,0,0,1,0,0,0.0,0,0.0
0,Reese Poffenbarger,145346,QB,ALBANY,1,61.5,39,40,10.9,2.8,1,1,2.5,57.5,23,0,7,4.2,46,1,16,106,70.6,74.0,73.7,62.1,0,0,46,0,14.3,109.7,2.2,1,5,0,0,4,2,4.3,253,6.3
0,Jason Brown,109060,QB,JACKSON ST,1,81.8,33,33,8.6,2.13,0,1,2.6,78.8,26,0,13,3.7,36,1,13,194,69.5,70.5,71.2,60.0,0,0,41,1,23.1,142.6,8.3,3,0,0,0,3,0,0.0,361,10.9
0,CJ Montes,146114,QB,FORDHAM,1,64.3,28,31,13.4,2.75,1,0,0.0,58.1,18,0,16,0.0,43,0,10,168,70.1,45.2,50.2,44.9,0,0,45,0,50.0,87.8,18.6,8,4,0,2,1,0,0.0,198,6.4
0,Corey Fields Jr.,78539,QB,SCAR STATE,1,38.9,18,20,9.7,2.49,0,0,0.0,35.0,7,0,10,0.0,21,0,5,290,70.4,30.9,26.1,76.0,2,1,23,0,10.0,39.6,4.8,1,0,0,0,1,4,17.4,59,3.0
0,Noah Walters,164315,QB,N ALABAMA,1,64.7,17,18,8.1,2.48,0,0,0.0,61.1,11,0,6,0.0,20,0,2,389,69.3,49.8,52.2,52.9,0,0,22,0,0.0,69.9,0.0,0,2,0,1,0,1,4.5,73,4.1
0,Carter Peevy,129563,QB,MERCER,1,81.3,16,17,6.3,3.37,0,3,16.7,70.6,12,0,8,7.7,23,1,9,219,71.8,90.4,90.6,70.0,0,0,24,0,12.5,108.7,4.3,1,5,0,1,1,0,0.0,115,6.8
0,T.J. Smith,156533,QB,N ALABAMA,1,25.0,4,6,11.3,3.87,1,0,0.0,16.7,1,0,6,0.0,10,0,2,389,68.5,60.1,51.4,66.3,0,0,11,0,33.3,40.3,20.0,2,2,0,1,0,0,0.0,19,3.2
0,Andre Washington,165436,QB,SCAR STATE,1,33.3,3,3,12.0,2.83,0,0,0.0,33.3,1,0,1,0.0,3,0,0,290,68.8,51.3,48.3,58.7,0,0,3,0,0.0,42.4,0.0,0,0,0,0,0,0,0.0,4,1.3
week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Brayden Schager,146078,QB,HAWAII,1,75.0,48,53,12.2,3.27,1,3,5.5,56.6,30,0,27,16.7,63,6,19,180,70.5,72.0,72.5,58.3,1,0,66,0,22.2,96.0,9.5,6,4,0,3,3,0,0.0,355,6.7
1,E.J. Warner,156185,QB,TEMPLE,1,62.0,50,50,7.5,2.23,0,1,1.8,58.0,29,0,17,6.5,51,2,15,306,71.1,60.8,62.1,57.4,0,0,58,1,0.0,88.7,0.0,0,1,0,0,2,1,1.7,299,6.0
1,Austin Reed,111760,QB,W KENTUCKY,1,70.2,47,50,8.6,2.52,1,1,1.9,58.0,29,0,13,12.1,52,4,15,346,70.3,66.7,62.4,72.9,1,0,55,0,0.0,91.7,0.0,0,2,0,1,2,0,0.0,335,6.7
1,Cam Ward,133244,QB,WASH STATE,1,80.4,46,49,6.6,2.24,0,2,4.0,75.5,37,0,15,0.0,54,0,22,341,19.9,78.6,77.1,66.0,2,0,55,0,20.0,123.8,5.6,3,2,0,1,3,2,3.6,451,9.2
1,Cooper Legas,101286,QB,UTAH ST,1,79.5,44,48,4.8,2.43,2,1,2.0,66.7,32,0,14,8.6,49,3,12,329,71.8,68.7,64.3,70.8,1,1,51,0,7.1,74.4,2.0,1,0,0,1,1,2,3.9,213,4.4
1,Shedeur Sanders,131396,QB,COLORADO,1,83.0,47,47,10.5,2.74,0,3,5.9,80.9,38,0,18,2.6,52,1,21,143,70.7,86.3,86.4,57.5,0,0,56,0,27.8,140.2,9.6,5,0,0,0,4,1,1.8,510,10.9
1,Tyler Shough,83537,QB,TEXAS TECH,1,75.0,44,47,9.0,2.58,2,4,8.3,66.0,31,0,14,6.1,55,2,21,315,72.3,69.5,64.2,70.6,1,1,56,0,21.4,99.4,5.5,3,5,0,0,3,3,5.4,338,7.2
1,Graham Mertz,97994,QB,FLORIDA,1,85.0,40,44,6.5,2.36,2,1,2.1,70.5,31,0,13,8.8,51,3,15,163,41.3,61.8,71.4,36.6,1,1,55,1,38.5,90.4,9.8,5,2,0,1,1,1,1.8,333,7.6
1,Mikey Keene,70961,QB,FRESNO ST,1,75.6,41,44,10.2,2.62,0,2,4.3,70.5,31,0,14,0.0,46,0,19,169,70.7,84.8,83.8,61.4,1,1,48,0,14.3,116.3,4.3,2,0,0,2,4,1,2.1,366,8.3
