week,player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
0,Zeno Choi,38635,ED,HAWAII,1,2,0,180,0,-4.0,100.0,10.0,1.0,1.0,0,0,0.0,60.0,0,3,,0,0,79.2,1,1,50.0,10,0,0,1,0,3,7,3.0,3.0,0,0,,,4.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,22,0,0,0,0,0,0,0.0,
0,Kaimana Padello,38636,ED,HAWAII,1,7,0,180,0,,,16.7,,,0,0,,60.5,0,,,0,0,0.0,0,2,28.6,12,0,0,0,0,0,0,0.0,,0,0,10.0,100.0,17.4,4.0,4.0,0,0,0.0,51.6,0,12,,0,0,116.7,1,4,57.1,23,0,0,1,0,12,2,3.0,12.0
0,Ikem Okeke,38639,S,HAWAII,1,62,0,180,0,2.0,100.0,100.0,4.0,4.0,0,0,0.0,74.9,0,4,0.0,0,0,79.2,3,15,24.2,15,1,4,3,0,9,3,0.8,3.0,0,0,8.3,66.7,100.0,16.0,10.7,0,0,0.0,67.3,0,25,33.3,1,0,104.9,2,35,56.5,35,1,2,3,0,34,13,1.1,17.0
0,Manly Williams,38651,ED,HAWAII,1,4,0,180,0,,,33.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,3,0,0,0,0,0,0,,,0,0,,,75.0,,,0,0,,61.6,0,,,0,0,0.0,0,3,75.0,4,0,0,0,0,0,0,0.0,
0,Chavez Pownell Jr.,38987,LB,WYOMING,1,21,0,351,0,8.5,0.0,100.0,,1.5,1,1,50.0,75.6,0,,,0,1,39.6,0,3,14.3,3,0,0,2,0,0,0,0.0,,0,0,7.2,40.0,100.0,9.0,3.6,0,2,40.0,75.3,0,9,0.0,0,2,47.9,2,18,85.7,18,1,1,5,0,14,18,0.8,7.0
0,Dylan Silcox,42991,LB,RICE,1,29,0,275,0,,,50.0,,,0,0,,80.5,0,,0.0,0,0,0.0,0,6,20.7,12,2,1,0,0,0,0,0.0,,0,0,3.0,100.0,93.8,15.0,15.0,0,0,0.0,58.9,0,7,100.0,1,0,95.8,1,15,51.7,16,0,0,1,0,7,4,0.5,7.0
0,Jamal Hicks,43062,S,COLO STATE,1,35,0,144,0,2.5,100.0,100.0,7.0,7.0,0,0,0.0,52.6,0,10,50.0,2,0,102.1,2,16,45.7,16,0,2,2,0,17,12,1.2,8.5,0,0,15.3,100.0,100.0,3.8,3.8,0,0,0.0,29.4,0,22,0.0,0,0,158.3,4,15,42.9,15,0,2,4,1,64,5,4.3,16.0
0,Martin Mangram,43114,S,UMASS,1,5,0,216,0,5.0,0.0,100.0,,2.0,0,0,0.0,73.3,0,,0.0,0,0,39.6,0,2,40.0,2,0,1,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,1,0,0,0,0,0,0,0.0,
0,Alijah Halliburton,43139,S,WYOMING,1,9,0,351,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,1,0,0,0,0,0,0,0.0,,0,0,3.0,100.0,100.0,4.0,4.0,0,0,0.0,73.6,0,9,0.0,0,0,89.6,2,8,88.9,8,1,2,2,0,11,5,1.4,5.5
0,Max McDonald,43210,LB,COLO STATE,1,9,0,144,0,,,50.0,,,0,0,,60.4,0,,,0,0,0.0,0,2,22.2,4,0,0,0,0,0,0,0.0,,0,0,,,75.0,,,0,0,,58.1,0,,50.0,1,0,0.0,0,6,66.7,8,0,1,0,0,0,0,0.0,
0,Anthony Ekpe,43280,LB,RICE,1,9,0,275,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,4,1,0,0,0,0,0,,,0,0,,,66.7,,,0,0,,64.2,0,,0.0,0,0,0.0,0,6,66.7,9,0,1,0,0,0,0,0.0,
0,Braden Smith,43298,S,WYOMING,1,9,0,351,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.1,0,,,0,0,0.0,0,8,88.9,8,0,0,0,0,0,0,0.0,
0,Tyshaun Ingram,43391,ED,UMASS,1,2,0,216,0,2.0,0.0,40.0,,2.0,0,1,100.0,76.6,0,,,0,1,39.6,0,2,100.0,5,0,0,1,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,
0,Cassh Maluia,43524,LB,WYOMING,1,27,0,351,0,,,100.0,,,0,0,,62.1,0,,,0,0,0.0,0,4,14.8,4,0,0,0,0,0,0,0.0,,0,0,9.5,25.0,100.0,23.0,5.8,0,1,25.0,63.7,0,1,0.0,0,1,39.6,1,23,85.2,23,1,1,4,0,1,2,0.0,1.0
0,Tyler Hall,43958,CB,WYOMING,1,17,0,351,0,,,100.0,,,0,0,,62.7,0,,,0,0,0.0,0,3,17.6,3,0,0,0,0,0,0,0.0,,0,0,9.7,33.3,100.0,14.0,4.7,1,1,33.3,80.4,0,1,0.0,0,1,42.4,1,14,82.4,14,2,2,3,0,1,-1,0.1,1.0
0,Bakhari Goodson,43978,CB,UMASS,1,21,0,216,0,,,100.0,,,0,0,,50.9,0,,,0,0,0.0,0,8,38.1,8,0,0,0,0,0,0,0.0,,0,0,5.3,66.7,100.0,5.0,3.3,0,0,0.0,71.9,1,11,0.0,0,0,41.7,2,10,47.6,10,0,2,3,0,17,10,1.7,8.5
0,Graysen Schantz,44893,ED,RICE,1,2,0,275,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,7,0,0,0,0,0,0,0.0,
0,Anthony Hawkins,47922,CB,COLO STATE,1,32,0,144,0,5.3,33.3,88.2,13.0,4.3,0,0,0.0,61.1,0,16,0.0,0,0,52.1,1,15,46.9,17,0,1,3,0,16,6,1.2,16.0,0,0,-2.0,100.0,100.0,14.0,14.0,0,0,0.0,57.0,0,8,0.0,0,0,100.0,1,14,43.8,14,0,1,1,0,8,10,0.6,8.0
0,Kevin Prosser,48474,ED,WYOMING,1,1,0,351,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,5.9,,,0,0,,65.7,0,,0.0,0,0,0.0,0,1,100.0,17,1,1,0,0,0,0,0.0,
