Rk,Team,Year,G#,,Opp.,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PM,Sfty,KRTD,PRTD,INTD,FRTD,OppKRTD,OppPRTD,OppINTD,OppFRTD
53,FRESNO ST,2014,1,@,USC,13,52,-39,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
54,GEORGIA,2014,1,,CLEMSON,45,21,24,6,6,6,1,1,0,0,1,0,0,0,0,0,0,0
55,GA SOUTHRN,2014,1,@,NC STATE,23,24,-1,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0
56,GA TECH,2014,1,,WOFFORD,38,19,19,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
57,HAWAII,2014,1,,WASHINGTON,16,17,-1,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0
58,ILLINOIS,2014,1,,YNGTOWN ST,28,17,11,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
59,INDIANA ,2014,1,,INDIANA ST,28,10,18,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0
60,IOWA,2014,1,,0,31,23,8,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0
61,IOWA STATE,2014,1,,N DAK ST,14,34,-20,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
62,KANSAS ST,2014,1,,STF AUSTIN,55,16,39,7,7,7,3,2,0,0,0,0,0,0,0,0,0,0
63,KENT STATE,2014,1,,OHIO,14,17,-3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
64,KENTUCKY,2014,1,,0,59,14,45,7,8,8,2,1,0,0,0,0,0,0,0,0,0,0
65,LA LAFAYET,2014,1,,SOUTHERN U,45,6,39,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0
66,LSU,2014,1,N,WISCONSIN,28,24,4,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0
67,LA TECH,2014,1,@,OKLAHOMA,16,48,-32,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0
68,MARSHALL,2014,1,@,MIAMI OH,42,27,15,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
69,MARYLAND,2014,1,,JAMES MAD,52,7,45,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0
70,UMASS,2014,1,N,BOSTON COL,7,30,-23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
71,MEMPHIS,2014,1,,AUSTINPEAY,63,0,63,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
72,MIAMI OH,2014,1,,MARSHALL,27,42,-15,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
73,MICHIGAN,2014,1,,APP STATE,52,14,38,7,7,7,2,1,0,0,0,1,0,0,0,0,0,0
74,MIDDLE TN,2014,1,,SVANNAH ST,61,7,54,8,7,7,0,0,0,0,0,1,0,0,0,0,0,0
75,MISS STATE,2014,1,,SO MISS,49,0,49,6,7,7,1,0,0,0,0,0,0,0,0,0,0,0
76,MISSOURI,2014,1,,S DAK ST,38,18,20,5,5,5,3,1,0,0,1,0,0,0,0,0,0,0
77,NAVY,2014,1,N,OHIO STATE,17,34,-17,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
78,NEBRASKA,2014,1,,FAU,55,7,48,7,7,7,2,2,0,0,0,0,0,0,0,0,0,0
79,NEVADA,2014,1,,SO UTAH,28,19,9,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
80,NEW MEXICO,2014,1,,UTEP,24,31,-7,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0
