week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
0,Walter Neil,55982,CB,UTEP,1,0,14.3,33.3,100.0,22.0,7.3,0,0,1,33.3,330,63.7,59.8,0.0,,61.9,33.6,0,15,50.0,1,1,1,50.7,1,25,25,0,1,3,0,15,0,0.7,15.0
0,Derrick Smith,56050,S,ILLINOIS,1,1,22.0,0.0,95.5,,19.0,0,0,0,0.0,187,59.6,60.0,73.9,59.7,60.5,74.8,0,,0.0,0,0,0,39.6,0,21,22,0,0,1,0,0,0,0.0,
0,Cam Johnson,56122,CB,UCLA,1,0,11.5,50.0,100.0,13.0,6.5,0,0,1,50.0,324,69.8,70.2,73.7,,60.0,74.2,0,-2,0.0,0,0,0,56.3,1,13,13,1,1,2,0,-2,1,-0.2,-2.0
0,DaRon Bland,56158,CB,FRESNO ST,1,0,10.5,50.0,93.3,13.0,6.5,0,0,0,0.0,169,51.5,49.8,74.2,58.3,55.6,78.5,0,8,0.0,0,0,1,60.4,1,14,15,1,2,2,0,8,0,0.6,8.0
0,Shea Pitts,56242,LB,UCLA,1,0,,,100.0,,,0,0,0,,324,64.1,64.6,73.7,,,,0,,,0,0,0,0.0,0,7,7,0,0,0,0,0,0,0.0,
0,Elijah Gates,56243,S,FRESNO ST,1,0,14.8,40.0,100.0,10.0,4.0,0,0,1,20.0,169,30.0,36.9,77.7,,76.7,80.5,0,7,0.0,0,0,0,47.9,2,21,21,1,2,5,0,12,5,0.6,6.0
0,Jay Shaw,56244,CB,UCLA,1,0,13.0,0.0,100.0,,22.0,0,0,0,0.0,324,66.2,69.6,74.9,,68.7,73.5,1,,,0,0,0,0.0,0,24,24,0,0,1,0,0,0,0.0,
0,Quentin Lake,56245,S,UCLA,1,0,14.5,25.0,100.0,36.0,9.0,0,0,1,25.0,324,70.8,71.1,78.6,,64.7,53.8,0,-1,25.0,1,1,0,39.6,1,37,37,1,3,4,0,-1,0,0.0,-1.0
0,Mo Osling III,56246,CB,UCLA,1,1,15.0,40.0,93.8,7.3,2.9,0,0,2,20.0,324,52.1,54.5,75.8,70.0,60.0,80.7,0,49,0.0,0,2,0,75.4,4,30,32,1,4,10,0,96,14,3.3,24.0
0,Isaiah Gay,56635,ED,ILLINOIS,1,0,6.0,100.0,7.0,3.0,3.0,0,0,0,0.0,187,49.9,68.3,81.5,81.7,47.0,34.2,0,9,0.0,0,0,0,104.2,1,3,43,0,1,1,0,9,3,3.0,9.0
