week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
0,Tyler Hall,43958,CB,WYOMING,1,0,5.0,0,0,351,79.8,79.6,77.5,,65.0,77.7,0.0,0,0,9,10,11.1,1,1
0,Bakhari Goodson,43978,CB,UMASS,1,0,,0,0,216,63.8,60.0,75.3,,47.1,37.1,100.0,1,1,15,15,0.0,0,0
0,Elijah Garcia,44498,DI,RICE,1,0,0.0,1,0,275,60.0,56.0,0.0,59.6,61.4,30.0,50.0,1,1,11,11,9.1,1,1
0,Graysen Schantz,44893,ED,RICE,1,0,7.2,0,0,275,58.0,69.0,77.8,76.4,60.6,79.9,0.0,0,0,13,13,15.4,2,5
0,Austin Walter,45038,HB,RICE,1,0,,0,0,275,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
0,Anthony Hawkins,47922,CB,COLO STATE,1,0,,0,0,144,62.3,62.4,79.8,55.5,63.7,51.2,,0,0,26,26,0.0,0,0
0,Kevin Prosser,48474,ED,WYOMING,1,0,2.0,0,0,351,65.7,78.1,76.7,68.8,67.4,75.7,0.0,0,0,6,7,33.3,2,2
0,Carl Granderson,48500,ED,WYOMING,1,0,-3.0,0,0,351,,74.0,77.4,73.2,63.7,24.5,50.0,1,0,7,8,14.3,1,1
0,Brady Wright,48554,TE,RICE,1,0,,0,0,275,60.0,59.1,72.0,57.1,60.1,,,0,0,2,2,0.0,0,0
0,Conner Cain,48793,DI,WYOMING,1,0,,0,0,351,,59.1,71.5,56.4,61.6,,,0,0,4,4,0.0,0,0
0,Joe Previte,48844,DI,UMASS,1,0,0.7,0,0,216,,74.2,76.4,65.8,73.9,72.2,0.0,0,0,15,15,20.0,3,3
0,Lee Moses,49062,CB,UMASS,1,0,19.0,0,0,216,85.6,80.6,75.4,,47.4,79.8,0.0,0,0,17,17,0.0,0,1
0,Andrew Wingard,49268,S,WYOMING,1,0,,0,0,351,65.6,65.8,74.8,,62.3,27.4,,0,0,10,11,0.0,0,0
0,Antonio Hull,49427,CB,WYOMING,1,0,,0,0,351,75.1,75.1,76.3,,61.6,76.2,,0,0,10,11,0.0,0,0
0,Brandon Douglas-Dotson,49502,CB,RICE,1,0,,0,0,275,39.9,41.7,75.8,,62.3,74.2,,0,0,15,15,0.0,0,0
0,Josh Watson,49722,LB,COLO STATE,1,1,2.2,0,0,144,56.6,64.8,78.6,57.0,75.8,84.7,0.0,0,0,31,31,19.4,6,6
0,Tre Thomas,49844,LB,COLO STATE,1,1,3.8,0,0,144,56.3,56.9,82.4,54.6,60.1,80.8,0.0,0,0,30,30,10.0,3,4
0,Sidney Malauulu,49923,DI,WYOMING,1,1,5.0,0,0,351,,67.2,74.6,60.2,71.0,73.8,0.0,0,0,6,7,0.0,0,1
0,Zach Abercrumbia,49996,DI,RICE,1,1,,1,0,275,62.9,61.9,0.0,59.0,63.0,72.1,0.0,0,1,13,13,0.0,0,0
0,V.J. Banks,50366,CB,COLO STATE,1,0,,0,0,144,66.0,66.5,77.5,,64.1,78.8,,0,0,30,30,0.0,0,0
0,Parker Hanusa,50596,DI,RICE,1,0,,0,0,275,,63.4,72.3,62.7,60.0,,,0,0,2,2,0.0,0,0
0,Bryton Barr,50761,LB,UMASS,1,0,-0.3,0,0,216,75.0,75.7,73.9,64.3,68.2,79.9,0.0,0,0,15,15,26.7,4,4
0,Jorian Clark,51075,CB,RICE,1,1,,0,0,275,41.0,44.7,78.8,,65.9,49.8,0.0,0,1,18,18,0.0,0,0
0,Braylin Scott,51229,S,COLO STATE,1,0,10.0,0,1,144,63.2,67.5,77.2,59.8,72.5,85.3,0.0,0,0,14,14,7.1,1,5
0,Martin Nwakamma,51235,LB,RICE,1,1,,0,0,275,66.4,56.8,76.0,59.2,40.2,73.6,0.0,0,0,18,18,0.0,0,0
0,Brice McAllister,51375,S,UMASS,1,0,-1.0,0,1,216,92.6,94.8,76.2,57.7,91.0,80.0,0.0,0,0,15,15,13.3,2,2
0,Marcus Epps,51391,S,WYOMING,1,0,8.0,0,0,351,71.9,71.4,77.2,58.6,64.2,79.8,0.0,0,0,10,11,0.0,0,1
0,Ellison Hubbard,52025,DI,COLO STATE,1,2,4.0,0,0,144,,60.3,77.3,63.3,56.8,44.2,25.0,1,0,25,25,4.0,1,1
0,Manny Jones,52026,ED,COLO STATE,1,1,1.0,1,0,144,,62.7,0.0,67.1,73.2,76.7,0.0,0,2,10,10,30.0,3,3
0,Livingston Paogofie,52039,DI,COLO STATE,1,0,,0,0,144,,54.5,73.4,56.1,56.4,,,0,0,6,6,0.0,0,0
0,Eugene Ford,52061,CB,HAWAII,1,0,,0,0,180,40.5,42.1,77.2,,63.5,60.2,,0,1,21,22,0.0,0,0
