week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,Brock Sturges,83614,HB,TEXAS ST,1,14,6,2,65.3,62,0,95,0,0,6,71,202.9,2,3,314,1,8,27.7,67.8,75.7,,74.4,55.5,69.1,60.0,35,0,5,1,24,16,0,0,2,15,1,95,71,5.07,6.8,0.21,4
1,Calvin Hill,97069,HB,TEXAS ST,1,13,4,1,19.0,19,0,100,0,1,4,58,159.3,3,7,314,0,1,74.4,79.7,73.4,,25.5,61.3,80.0,,19,0,-1,1,7,13,0,0,1,14,0,100,58,4.46,7.7,-0.14,9
1,Frank Gore Jr.,121457,HB,SO MISS,1,12,1,0,0.0,0,0,32,0,0,1,31,21.5,1,2,296,0,1,74.0,62.3,73.6,,77.1,55.3,62.2,,11,0,0,0,7,12,0,0,0,12,0,32,31,2.58,2.7,0.0,11
1,Ulysses Bentley IV,97200,HB,SMU,1,11,1,0,0.0,0,0,49,1,1,1,13,19.7,2,3,287,0,2,73.6,64.6,73.7,,78.6,37.2,68.8,60.0,12,0,2,1,6,12,0,0,2,12,2,49,13,1.18,4.5,0.33,9
1,DeAndre Torrey,83728,HB,N TEXAS,1,11,4,2,52.9,45,0,85,0,0,4,51,168.6,4,6,251,0,4,73.5,79.0,74.8,,76.6,52.8,81.2,60.0,25,0,0,0,11,13,0,0,1,11,0,85,51,4.64,7.7,0.0,7
1,Christian Anderson,60339,QB,ARMY,1,10,1,1,47.1,24,0,41,0,0,1,13,16.0,2,2,114,0,0,72.2,47.1,75.6,39.1,,,56.1,60.0,24,0,0,0,0,45,10,1,0,9,1,51,14,1.4,5.1,,4
1,Desmond Trotter,83552,QB,S ALABAMA,1,10,2,0,0.0,0,0,29,0,0,2,24,75.0,2,4,288,0,3,71.9,65.0,76.5,60.3,,,66.6,60.0,11,0,0,0,0,33,10,2,0,8,0,39,33,3.3,3.9,,2
1,Brady White,25506,QB,MEMPHIS,1,10,1,0,0.0,0,0,9,0,0,0,1,0.0,3,4,218,2,1,71.1,84.4,2.7,85.8,,,68.0,60.2,18,2,0,0,0,44,30,3,0,7,0,39,13,1.3,3.9,,1
1,Jakobi Buchanan,102884,HB,ARMY,1,9,1,0,0.0,0,0,33,0,0,1,19,23.5,0,6,114,0,2,72.5,73.3,73.6,,67.5,,70.9,59.6,6,0,0,0,0,11,0,0,0,9,0,33,19,2.11,3.7,,0
1,Tyrell Robinson,121607,FB,ARMY,1,9,6,1,39.4,37,0,94,0,0,6,58,429.6,3,5,114,0,4,73.3,90.8,73.7,,,59.6,80.8,60.4,37,0,0,0,1,15,0,0,0,9,0,94,58,6.44,10.4,0.0,1
1,Asher O'Hara,78529,QB,MIDDLE TN,1,9,2,0,0.0,0,0,9,0,0,2,21,65.6,1,2,224,1,6,71.2,35.6,74.5,28.5,,,61.7,60.0,11,0,0,0,0,17,11,1,0,8,0,20,27,3.0,2.2,,2
1,Josh Fields,57459,HB,UTEP,1,9,0,0,0.0,0,0,23,0,1,0,14,15.6,0,1,330,0,4,72.6,56.6,74.1,,65.8,68.4,54.6,60.0,9,0,11,1,4,10,0,0,1,10,0,23,14,1.56,2.6,2.75,5
