week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
0,Mike Epstein,57237,HB,ILLINOIS,1,16,3,1,60.0,45,0,75,0,0,3,76,83.8,1,4,187,0,2,75.5,68.3,75.9,,54.8,61.8,67.8,60.0,45,0,2,1,6,17,0,0,1,17,1,75,76,4.75,4.7,0.33,13
0,Ronnie Rivers,57208,HB,FRESNO ST,1,14,8,1,26.7,16,0,60,0,0,8,42,150.0,1,5,169,0,6,78.6,83.4,0.0,,77.2,71.2,81.9,89.0,16,1,66,2,15,15,0,0,3,16,0,60,42,3.0,4.3,4.4,8
0,Brittain Brown,40399,HB,UCLA,1,13,3,2,47.4,37,0,78,0,0,3,39,60.0,2,4,324,0,6,74.5,73.6,73.4,,,84.5,65.0,60.0,22,0,21,2,8,14,0,0,2,15,1,78,39,3.0,6.0,2.63,7
0,Adrian Martinez,83522,QB,NEBRASKA,1,13,2,0,0.0,0,0,15,0,0,1,14,38.9,3,4,238,2,1,40.8,62.3,77.1,60.4,,,62.1,60.0,75,0,0,0,0,27,133,7,0,6,1,148,52,4.0,11.4,,3
0,Reggie Love III,129418,HB,ILLINOIS,1,12,2,0,0.0,0,0,45,0,0,2,24,33.3,0,2,187,0,3,74.0,58.7,75.2,,,56.6,59.2,59.7,9,0,0,0,6,14,0,0,0,12,0,45,24,2.0,3.8,0.0,9
0,Deion Hankins,97310,HB,UTEP,1,12,3,1,36.5,19,0,52,0,0,3,26,54.2,1,3,330,0,4,74.0,69.8,72.0,,75.9,58.1,68.1,60.0,19,0,0,0,2,13,0,0,0,12,1,52,26,2.17,4.3,0.0,8
0,Gabe Ervin Jr.,144996,HB,NEBRASKA,1,12,1,0,0.0,0,0,33,0,0,1,21,14.6,1,3,238,0,3,74.0,63.4,77.4,,31.2,53.2,68.0,59.4,11,0,0,0,22,16,0,0,0,12,0,33,21,1.75,2.8,0.0,9
0,Tyler Nevens,52262,HB,S JOSE ST,1,12,6,3,68.1,62,0,91,0,0,6,65,232.1,4,5,285,0,3,74.1,85.9,72.7,,72.9,81.3,82.4,60.0,27,0,33,2,7,14,0,0,2,14,1,91,65,5.42,7.6,4.71,9
0,Kevin Mensah,55106,HB,UCONN,1,11,1,0,0.0,0,0,31,0,0,1,37,30.6,1,1,146,0,5,73.5,62.3,74.6,,51.4,53.6,64.2,60.0,13,0,0,0,9,12,0,0,0,11,0,31,37,3.36,2.8,0.0,5
0,Ronald Awatt,57461,HB,UTEP,1,10,3,1,47.2,34,0,72,0,0,3,61,183.0,2,2,330,0,4,73.5,68.5,73.9,,12.3,57.4,72.3,,34,0,0,0,3,11,0,0,0,10,1,72,61,6.1,7.2,0.0,6
0,Keegan Jones,100594,HB,UCLA,1,8,0,0,0.0,0,0,26,0,0,0,19,0.0,1,2,324,0,1,71.9,60.8,70.7,,,58.0,60.9,,13,0,0,0,3,8,0,0,0,8,0,26,19,2.38,3.3,0.0,7
0,Nate Carter,147376,HB,UCONN,1,8,3,0,0.0,0,0,10,0,0,3,18,84.4,0,0,146,0,5,71.9,55.2,74.2,,17.0,52.7,58.8,,4,0,0,0,15,8,0,0,2,8,0,10,18,2.25,1.3,0.0,2
0,Jordan Mims,57209,HB,FRESNO ST,1,7,0,0,0.0,0,0,38,0,1,0,14,22.2,0,3,169,0,4,72.1,65.6,0.0,,69.3,68.6,67.7,60.0,9,1,22,2,14,9,0,0,2,9,1,38,14,2.0,5.4,1.57,3
0,Dae Hunter,128200,HB,HAWAII,1,7,1,1,80.0,16,0,20,1,2,1,17,52.0,1,1,180,0,1,72.1,52.7,77.4,,77.6,43.0,63.9,59.7,16,0,19,7,34,10,0,0,10,14,0,20,17,2.43,2.9,0.56,5
