week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
0,Keldric Moody,156567,HB,LA TECH,1,1.6,0,80.0,,0,0,0,0.0,0,1,208,0,74.9,72.8,56.2,9.1,68.7,0.0,0,0,8,8.3,2,24,1,4,91.7,22,0.0,0,89.2,5,0,0.0,0,27,13,3.3,6.8,1.23
0,Alex Perry,158184,WR,HAWAII,1,10.2,1,80.0,0.0,0,1,0,0.0,0,2,180,0,74.9,65.0,79.5,,77.9,0.0,0,0,17,0.0,0,16,0,4,100.0,16,0.0,0,109.2,5,0,100.0,16,51,15,3.8,12.8,3.19
0,Trent Hudson,175674,WR,NEW MEX ST,1,17.6,0,40.0,0.0,0,1,0,33.3,1,2,242,0,31.6,62.9,67.7,,66.8,0.0,0,0,42,0.0,0,20,0,2,95.0,19,0.0,0,110.8,5,2,100.0,20,43,0,0.0,21.5,2.26
0,Dean Patterson,145224,WR,FIU,1,21.0,0,25.0,0.0,0,2,0,50.0,1,0,166,0,24.5,68.0,51.7,,48.9,0.0,0,1,-2,0.0,0,15,0,1,86.7,13,0.0,0,0.0,4,0,100.0,15,-2,0,0.0,-2.0,-0.15
0,Mario Williams,144620,WR,USC,1,5.8,0,50.0,0.0,0,1,0,33.3,1,1,326,0,31.6,62.9,55.5,65.1,53.3,4.3,1,0,23,8.7,2,23,0,2,91.3,21,95.7,22,70.8,4,0,0.0,0,26,9,4.5,13.0,1.24
0,Mekhi Shaw,128315,WR,S DIEGO ST,1,12.0,0,50.0,,0,0,0,0.0,0,1,284,0,70.7,70.1,63.5,,61.2,0.0,0,0,22,0.0,0,29,0,2,96.6,28,62.1,18,70.8,4,0,37.9,11,26,0,0.0,13.0,0.93
0,Jayden Thomas,147485,WR,NOTRE DAME,1,10.5,1,100.0,100.0,1,1,0,0.0,0,4,258,0,74.9,65.0,78.1,,78.5,0.0,0,0,19,0.0,0,18,0,4,94.4,17,5.6,1,158.3,4,1,94.4,17,63,27,6.8,15.8,3.71
0,Quincy Skinner Jr.,146965,WR,VANDERBILT,1,9.5,1,25.0,0.0,0,2,0,0.0,0,1,333,0,70.7,62.9,64.8,,67.7,0.0,0,0,10,0.0,0,15,0,1,93.3,14,13.3,2,39.6,4,0,86.7,13,10,5,5.0,10.0,0.71
0,Gamarion Carter,146964,WR,VANDERBILT,1,18.5,0,25.0,,0,0,0,0.0,0,1,333,0,66.7,61.0,64.4,,64.3,0.0,0,0,41,0.0,0,16,0,1,75.0,12,12.5,2,69.8,4,0,87.5,14,41,4,4.0,41.0,3.42
0,Jonathan Brady,156940,WR,NEW MEX ST,1,12.8,0,50.0,0.0,0,1,0,0.0,0,2,242,0,70.7,65.3,66.4,,66.3,0.0,0,2,24,0.0,0,23,0,2,100.0,23,100.0,23,54.2,4,0,0.0,0,48,13,6.5,24.0,2.09
0,Dorian Singer,146243,WR,USC,1,9.0,0,100.0,,0,0,0,0.0,0,2,326,0,74.9,65.0,66.9,,64.4,0.0,0,0,17,0.0,0,20,0,4,95.0,19,5.0,1,149.0,4,1,95.0,19,41,5,1.3,10.3,2.16
0,Chris Tyree,122913,WR,NOTRE DAME,1,5.8,1,75.0,,0,0,0,0.0,0,1,258,0,73.1,69.7,70.0,,77.6,0.0,0,0,20,0.0,0,10,0,3,90.0,9,100.0,10,102.1,4,0,0.0,0,36,20,6.7,12.0,4.0
0,Zachariah Branch,174142,WR,USC,1,2.0,0,100.0,,0,0,0,0.0,0,3,326,0,74.9,70.9,85.7,,89.5,18.8,3,0,25,0.0,0,16,0,4,100.0,16,75.0,12,158.3,4,1,0.0,0,58,50,12.5,14.5,3.63
0,Zach Fryar,122015,TE,UTEP,1,8.3,0,50.0,0.0,0,1,0,0.0,0,1,330,0,70.7,62.9,38.2,68.4,60.8,100.0,29,0,19,37.9,11,29,0,2,62.1,18,0.0,0,69.8,4,0,0.0,0,25,4,2.0,12.5,1.39
0,Chris Bellamy,156923,WR,NEW MEX ST,1,10.7,0,66.7,,0,0,0,0.0,0,0,242,0,70.7,62.9,55.2,,54.8,0.0,0,0,8,0.0,0,17,0,2,100.0,17,5.9,1,72.9,3,0,94.1,16,11,4,2.0,5.5,0.65
0,Malik Jackson,84267,HB,JVILLE ST,1,8.0,0,33.3,,0,0,0,0.0,0,1,196,0,66.7,74.4,72.1,29.1,77.3,0.0,0,0,16,22.2,2,9,0,1,66.7,6,11.1,1,52.1,3,0,0.0,0,16,7,7.0,16.0,2.67
0,Quali Conley,141259,HB,S JOSE ST,1,7.0,2,66.7,,0,0,0,0.0,0,1,285,0,70.7,70.9,76.1,79.7,73.1,0.0,0,0,13,38.9,7,18,0,2,61.1,11,11.1,2,81.3,3,0,5.6,1,17,19,9.5,8.5,1.55
0,Sterling Galban,78150,WR,JVILLE ST,1,9.0,0,66.7,50.0,1,2,0,0.0,0,1,196,0,70.7,68.9,54.0,,52.6,0.0,0,0,5,0.0,0,18,0,2,94.4,17,100.0,18,71.5,3,0,0.0,0,10,2,1.0,5.0,0.59
0,George Johnson III,101696,WR,UMASS,1,11.7,0,33.3,0.0,0,1,0,0.0,0,1,216,0,66.7,61.0,61.4,,59.4,0.0,0,0,22,0.0,0,17,0,1,100.0,17,11.8,2,60.4,3,0,88.2,15,22,9,9.0,22.0,1.29
0,Michael Pettway,142023,WR,JVILLE ST,1,4.3,0,100.0,,0,0,0,0.0,0,0,196,0,73.1,65.4,52.2,,51.2,0.0,0,0,5,0.0,0,19,0,3,89.5,17,10.5,2,84.7,3,0,89.5,17,13,0,0.0,4.3,0.76
0,Malikhi Miller,101353,WR,S JOSE ST,1,10.3,0,33.3,50.0,1,2,0,0.0,0,1,285,0,66.7,61.0,55.7,,55.6,0.0,0,0,18,0.0,0,34,0,1,94.1,32,20.6,7,54.9,3,0,79.4,27,18,0,0.0,18.0,0.56
0,Jaden Greathouse,171085,WR,NOTRE DAME,1,19.3,0,100.0,100.0,1,1,0,0.0,0,3,258,0,73.1,64.1,91.3,,89.0,0.0,0,0,35,0.0,0,7,0,3,100.0,7,100.0,7,158.3,3,2,0.0,0,68,14,4.7,22.7,9.71
0,Kenan Christon II,100601,HB,S DIEGO ST,1,1.3,0,100.0,,0,0,0,0.0,0,2,284,0,73.1,73.7,66.3,14.6,73.5,0.0,0,0,9,17.4,4,23,0,3,82.6,19,8.7,2,93.1,3,0,4.3,1,19,15,5.0,6.3,1.0
0,Will Kacmarek,145896,TE,OHIO,1,9.7,0,66.7,0.0,0,1,0,0.0,0,2,259,0,70.7,62.9,61.5,30.5,60.3,5.4,2,0,20,16.2,6,37,0,2,75.7,28,78.4,29,104.9,3,0,0.0,0,34,13,6.5,17.0,1.21
0,Tru Edwards,146058,WR,LA TECH,1,10.3,0,33.3,0.0,0,1,0,0.0,0,1,208,0,66.7,61.0,49.4,67.9,51.4,0.0,0,1,9,3.3,1,30,0,1,96.7,29,6.7,2,2.8,3,0,90.0,27,9,4,4.0,9.0,0.31
