week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Dorian Thompson-Robinson,83574,QB,UCLA,1,0,324,60.0,100.0,9,42.9,9,60.0,0,95.5,21,22,60.0,92.3,12,57.1,13
0,Adrian Martinez,83522,QB,NEBRASKA,1,0,238,60.0,75.0,3,14.3,4,60.0,0,77.8,21,27,60.0,85.0,17,81.0,20
0,Christian Haynes,77339,G,UCONN,1,0,146,62.1,100.0,10,47.6,10,78.6,0,100.0,21,21,85.6,100.0,8,38.1,8
0,Sidney Walker,147381,C,UCONN,1,0,146,54.2,100.0,12,60.0,12,54.3,0,100.0,20,20,58.6,100.0,5,25.0,5
0,Jack Snyder,41119,T,S JOSE ST,1,0,285,57.1,100.0,3,15.0,3,57.2,0,100.0,20,20,58.5,100.0,17,85.0,17
0,Zane Pope,61265,WR,FRESNO ST,1,0,169,59.3,100.0,7,35.0,7,61.6,0,100.0,20,20,61.5,100.0,10,50.0,10
0,Logan Fife,128176,QB,FRESNO ST,1,0,169,60.0,100.0,8,40.0,8,60.0,0,80.0,20,25,60.0,100.0,12,60.0,12
0,Tyrone Sampson Jr.,81646,C,FRESNO ST,1,0,169,59.2,100.0,5,26.3,5,52.8,1,100.0,19,19,51.0,100.0,10,52.6,10
0,Jack Zergiotis,97603,QB,UCONN,1,0,146,60.0,100.0,12,63.2,12,60.0,0,95.0,19,20,60.0,100.0,5,26.3,5
0,Mose Vavao,74174,G,FRESNO ST,1,0,169,61.3,100.0,8,42.1,8,51.4,0,100.0,19,19,53.3,100.0,10,52.6,10
0,Jalen Guerrero,59926,T,FRESNO ST,1,0,169,45.6,100.0,5,26.3,5,49.9,0,100.0,19,19,57.8,100.0,10,52.6,10
0,Raymond Pauwels Jr.,101331,TE,FRESNO ST,1,0,169,72.2,100.0,8,42.1,8,82.9,0,100.0,19,19,84.8,100.0,11,57.9,11
0,Jay Rose,55118,TE,UCONN,1,0,146,40.7,100.0,10,52.6,10,43.2,0,100.0,19,19,57.2,100.0,7,36.8,7
0,Greg Dulcich,84068,TE,UCLA,1,0,324,55.9,100.0,7,38.9,7,56.8,0,100.0,18,18,58.7,100.0,9,50.0,9
0,Bula Schmidt,97646,C,FRESNO ST,1,0,169,66.0,100.0,7,38.9,7,60.8,0,100.0,18,18,56.1,100.0,10,55.6,10
