Week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
1,J.R. Sweezy,7209,G,ARZ,1,0,1,80.5,1,0,59,100.0,100.0,99.2,0,1,0,64,64,71.9,1,0,27,100.0,100.0,98.1,1,0,30,30
1,D.J. Humphries,9457,T,ARZ,1,1,1,61.0,0,2,59,100.0,100.0,98.3,1,2,0,64,64,66.6,0,2,27,100.0,100.0,96.3,2,0,30,30
1,A.Q. Shipley,5150,C,ARZ,1,0,1,86.6,0,0,59,100.0,100.0,100.0,0,0,0,64,64,85.0,0,0,27,100.0,100.0,100.0,0,0,30,30
1,Justin Pugh,7800,G,ARZ,1,0,1,74.4,0,3,59,100.0,100.0,97.5,0,3,0,64,64,74.4,0,2,27,100.0,100.0,96.3,2,0,30,30
1,Justin Murray,11022,T,ARZ,1,0,1,58.2,0,5,59,100.0,100.0,94.1,0,6,1,64,64,49.5,0,4,27,100.0,100.0,88.9,5,1,30,30
1,Bobby Hart,9659,T,CIN,1,0,7,64.2,0,5,56,100.0,100.0,93.7,0,6,1,59,59,52.4,0,4,22,100.0,100.0,86.4,5,1,24,24
1,John Miller,9514,G,CIN,1,0,7,69.9,0,0,56,100.0,100.0,100.0,0,0,0,59,59,80.0,0,0,22,100.0,100.0,100.0,0,0,24,24
1,Andre Smith,4929,T,CIN,1,0,7,61.4,1,3,56,100.0,100.0,94.6,0,5,1,59,59,54.7,1,2,22,100.0,100.0,93.2,3,0,24,24
1,Michael Jordan,28021,G,CIN,1,0,7,58.3,0,3,56,100.0,100.0,95.5,0,4,1,59,59,36.6,0,3,22,100.0,100.0,88.6,4,1,24,24
1,Alex Mack,4944,C,ATL,1,0,2,76.9,0,1,52,100.0,100.0,99.0,0,1,0,59,59,83.3,0,0,29,100.0,100.0,100.0,0,0,32,32
1,Jake Matthews,8641,T,ATL,1,0,2,47.1,1,2,52,100.0,100.0,93.3,0,5,2,59,59,36.3,1,1,29,100.0,100.0,93.1,3,1,32,32
1,Trey Hopkins,9276,C,CIN,1,0,7,82.3,0,1,56,100.0,100.0,99.1,0,1,0,59,59,74.4,0,1,22,100.0,100.0,97.7,1,0,24,24
1,James Carpenter,6177,G,ATL,1,0,2,68.3,0,2,52,100.0,100.0,98.1,1,2,0,59,59,58.6,0,2,29,100.0,100.0,96.6,2,0,32,32
1,James Daniels,45576,C,CHI,1,0,6,76.8,0,0,53,100.0,100.0,100.0,0,0,0,57,57,70.9,0,0,29,100.0,100.0,100.0,0,0,31,31
1,Kyle Long,7801,G,CHI,1,0,6,50.0,1,5,53,100.0,100.0,94.3,0,6,0,57,57,29.4,1,5,29,100.0,100.0,89.7,6,0,31,31
1,Cody Whitehair,10690,G,CHI,1,0,6,44.1,2,3,53,100.0,100.0,93.4,0,6,1,57,57,51.9,1,2,29,100.0,100.0,91.4,4,1,31,31
1,Bobby Massie,7112,T,CHI,1,0,6,66.4,0,2,53,100.0,100.0,98.1,0,2,0,57,57,57.1,0,2,29,100.0,100.0,96.6,2,0,31,31
1,Charles Leno Jr.,8880,T,CHI,1,0,6,64.6,1,4,53,100.0,100.0,95.3,2,5,0,57,57,50.1,1,4,29,100.0,100.0,91.4,5,0,31,31
1,David DeCastro,7640,G,PIT,1,0,25,83.6,0,0,49,100.0,100.0,100.0,1,0,0,55,55,75.3,0,0,20,100.0,100.0,100.0,0,0,24,24
1,Matt Feiler,9289,T,PIT,1,0,25,80.5,1,1,49,100.0,100.0,98.0,0,2,0,55,55,74.1,1,1,20,100.0,100.0,95.0,2,0,24,24
1,Alejandro Villanueva,9091,T,PIT,1,1,25,65.4,0,2,49,100.0,100.0,98.0,2,2,0,55,55,48.0,0,0,20,100.0,100.0,100.0,0,0,24,24
1,Ramon Foster,5229,G,PIT,1,0,25,60.5,0,4,49,100.0,100.0,95.9,0,4,0,55,55,53.6,0,3,20,100.0,100.0,92.5,3,0,24,24
1,Taylor Decker,10650,T,DET,1,1,11,30.8,1,4,49,100.0,100.0,90.8,2,7,2,53,53,28.9,0,2,22,100.0,100.0,86.4,4,2,24,24
1,Mike Remmers,7431,T,NYG,1,0,21,57.9,0,4,51,100.0,100.0,96.1,0,4,0,53,53,51.1,0,4,21,100.0,100.0,90.5,4,0,22,22
1,Frank Ragnow,39137,C,DET,1,0,11,30.9,1,2,49,100.0,100.0,96.9,0,3,0,53,53,25.2,1,2,22,100.0,100.0,93.2,3,0,24,24
1,Jon Halapio,8814,C,NYG,1,0,21,71.6,1,0,51,100.0,100.0,99.0,0,1,0,53,53,74.8,0,0,21,100.0,100.0,100.0,0,0,22,22
1,Will Hernandez,46180,G,NYG,1,0,21,72.2,0,0,51,100.0,100.0,100.0,1,0,0,53,53,53.7,0,0,21,100.0,100.0,100.0,0,0,22,22
1,Kevin Zeitler,7032,G,NYG,1,0,21,45.0,1,3,51,100.0,100.0,96.1,0,4,0,53,53,37.1,1,2,21,100.0,100.0,92.9,3,0,22,22
1,Rick Wagner,7950,T,DET,1,0,11,50.3,2,4,49,100.0,100.0,91.8,0,7,1,53,53,64.2,2,1,22,100.0,100.0,93.2,3,0,24,24
1,Nate Solder,6169,T,NYG,1,0,21,79.1,1,1,51,100.0,100.0,98.0,0,2,0,53,53,64.5,1,1,21,100.0,100.0,95.2,2,0,22,22
1,Ryan Kalil,3675,C,NYJ,1,1,22,71.6,0,3,47,100.0,100.0,96.8,1,3,0,50,50,64.0,0,2,19,100.0,100.0,94.7,2,0,20,20
1,Chris Hubbard,8051,T,CLV,1,0,8,66.1,0,0,44,100.0,100.0,95.5,1,2,2,50,50,51.3,0,0,19,100.0,100.0,94.7,1,1,21,21
1,Kelechi Osemele,7062,G,NYJ,1,0,22,47.2,1,2,47,100.0,100.0,96.8,0,3,0,50,50,41.5,0,2,19,100.0,100.0,94.7,2,0,20,20
1,Eric Kush,7952,G,CLV,1,0,8,62.5,0,0,44,100.0,100.0,100.0,0,0,0,50,50,70.0,0,0,19,100.0,100.0,100.0,0,0,21,21
1,J.C. Tretter,7904,C,CLV,1,0,8,85.5,0,1,44,100.0,100.0,98.9,0,1,0,50,50,82.3,0,0,19,100.0,100.0,100.0,0,0,21,21
1,Brian Winters,7853,G,NYJ,1,0,22,36.9,1,1,47,100.0,100.0,97.9,0,2,0,50,50,41.5,0,1,19,100.0,100.0,97.4,1,0,20,20
1,Joel Bitonio,8670,G,CLV,1,0,8,74.0,0,2,44,100.0,100.0,97.7,0,2,0,50,50,87.2,0,0,19,100.0,100.0,100.0,0,0,21,21
1,Brandon Shell,10792,T,NYJ,1,0,22,65.0,0,3,47,100.0,100.0,96.8,0,3,0,50,50,66.4,0,1,19,100.0,100.0,97.4,1,0,20,20
1,Kelvin Beachum,7229,T,NYJ,1,1,22,66.1,0,2,47,100.0,100.0,97.9,1,2,0,50,50,62.1,0,1,19,100.0,100.0,97.4,1,0,20,20
1,Ereck Flowers,9442,G,WAS,1,0,32,63.0,0,2,44,100.0,100.0,97.7,1,2,0,49,49,50.4,0,1,21,100.0,100.0,97.6,1,0,24,24
1,Brandon Scherff,9438,G,WAS,1,0,32,77.9,0,1,44,100.0,100.0,98.9,0,1,0,49,49,81.3,0,0,21,100.0,100.0,100.0,0,0,24,24
1,Chase Roullier,11954,C,WAS,1,0,32,72.3,1,2,44,100.0,100.0,96.6,0,3,0,49,49,68.6,1,1,21,100.0,100.0,95.2,2,0,24,24
1,Morgan Moses,8701,T,WAS,1,0,32,57.8,1,4,44,100.0,100.0,92.0,0,6,1,49,49,51.2,1,2,21,100.0,100.0,88.1,4,1,24,24
1,Donald Penn,3459,T,WAS,1,0,32,48.3,2,1,44,100.0,100.0,96.6,2,3,0,49,49,49.1,1,1,21,100.0,100.0,95.2,2,0,24,24
1,Jon Feliciano,9561,G,BUF,1,0,4,79.4,1,0,44,100.0,100.0,98.9,1,1,0,47,47,74.4,1,0,29,100.0,100.0,98.3,1,0,30,30
1,Dion Dawkins,11818,T,BUF,1,0,4,63.2,0,3,44,100.0,100.0,94.3,0,4,1,47,47,51.0,0,3,29,100.0,100.0,91.4,4,1,30,30
1,Joe Dahl,10785,G,DET,1,0,11,90.1,0,0,43,100.0,100.0,100.0,0,0,0,47,47,87.4,0,0,19,100.0,100.0,100.0,0,0,21,21
1,Quinton Spain,10110,G,BUF,1,0,4,49.0,1,2,44,100.0,100.0,96.6,0,3,0,47,47,32.8,1,2,29,100.0,100.0,94.8,3,0,30,30
1,Mitch Morse,9482,C,BUF,1,0,4,75.8,1,0,44,100.0,100.0,98.9,1,1,0,47,47,70.7,1,0,29,100.0,100.0,98.3,1,0,30,30
1,Ali Marpet,9494,G,TB,1,1,30,71.7,0,0,42,100.0,100.0,100.0,1,0,0,45,45,86.8,0,0,20,100.0,100.0,100.0,0,0,23,23
1,Alex Cappa,66578,G,TB,1,0,30,58.1,1,2,42,100.0,100.0,94.0,0,4,1,45,45,48.6,1,1,20,100.0,100.0,90.0,3,1,23,23
1,Larry Warford,7846,G,NO,1,0,20,79.8,0,1,42,100.0,100.0,98.8,0,1,0,45,45,62.4,0,1,14,100.0,100.0,96.4,1,0,15,15
1,Ryan Jensen,7985,C,TB,1,0,30,81.1,0,1,42,100.0,100.0,98.8,0,1,0,45,45,82.2,0,0,20,100.0,100.0,100.0,0,0,23,23
1,Donovan Smith,9467,T,TB,1,0,30,49.3,2,2,42,100.0,100.0,92.9,0,5,1,45,45,43.9,2,1,20,100.0,100.0,87.5,4,1,23,23
1,Erik McCoy,37347,C,NO,1,0,20,71.9,0,2,42,100.0,100.0,97.6,0,2,0,45,45,70.3,0,1,14,100.0,100.0,96.4,1,0,15,15
1,Graham Glasgow,10729,G,DET,1,0,11,58.6,1,4,41,100.0,100.0,93.9,0,5,0,45,45,41.9,1,3,20,100.0,100.0,90.0,4,0,22,22
1,Andrus Peat,9446,G,NO,1,0,20,52.4,1,1,42,100.0,100.0,97.6,0,2,0,45,45,44.2,0,1,14,100.0,100.0,96.4,1,0,15,15
1,Ryan Ramczyk,11787,T,NO,1,0,20,77.6,0,0,42,100.0,100.0,100.0,1,0,0,45,45,69.1,0,0,14,100.0,100.0,100.0,0,0,15,15
1,Terron Armstead,7856,T,NO,1,0,20,78.2,1,1,42,100.0,100.0,97.6,0,2,0,45,45,81.3,0,1,14,100.0,100.0,96.4,1,0,15,15
1,Demar Dotson,5410,T,TB,1,0,30,68.6,0,1,42,100.0,100.0,98.8,2,1,0,45,45,61.8,0,0,20,100.0,100.0,100.0,0,0,23,23
1,Austin Blythe,10882,C,LA,1,0,26,77.5,0,1,41,100.0,100.0,98.8,0,1,0,44,44,63.5,0,1,14,100.0,100.0,96.4,1,0,16,16
1,Andrew Whitworth,3000,T,LA,1,0,26,87.6,0,0,41,100.0,100.0,100.0,0,0,0,44,44,87.0,0,0,14,100.0,100.0,100.0,0,0,16,16
1,Rob Havenstein,9490,T,LA,1,0,26,39.9,1,4,41,100.0,100.0,93.9,1,5,0,44,44,39.4,1,1,14,100.0,100.0,92.9,2,0,16,16
1,Joe Noteboom,46249,G,LA,1,0,26,58.4,0,3,41,100.0,100.0,96.3,0,3,0,44,44,46.4,0,3,14,100.0,100.0,89.3,3,0,16,16
1,Brian Allen,46104,C,LA,1,0,26,33.4,2,2,41,100.0,100.0,95.1,0,4,0,44,44,46.7,0,2,14,100.0,100.0,92.9,2,0,16,16
1,Greg Van Roten,7746,G,CAR,1,0,5,43.1,1,2,41,100.0,100.0,93.9,0,4,1,43,43,60.4,1,1,18,100.0,100.0,94.4,2,0,19,19
1,Trai Turner,8727,G,CAR,1,0,5,68.6,0,2,41,100.0,100.0,97.6,0,2,0,43,43,49.2,0,2,18,100.0,100.0,94.4,2,0,19,19
1,Matt Paradis,8841,C,CAR,1,0,5,26.6,0,2,41,100.0,100.0,97.6,0,2,0,43,43,11.5,0,1,18,100.0,100.0,97.2,1,0,19,19
1,Daryl Williams,9535,T,CAR,1,0,5,56.9,0,2,41,100.0,100.0,95.1,0,3,1,43,43,61.6,0,1,18,100.0,100.0,91.7,2,1,19,19
1,Taylor Moton,11819,T,CAR,1,1,5,59.5,0,0,41,100.0,100.0,100.0,1,0,0,43,43,51.0,0,0,18,100.0,100.0,100.0,0,0,19,19
1,Michael Schofield III,8730,G,LAC,1,0,27,63.2,1,2,39,100.0,100.0,96.2,0,3,0,42,42,45.2,1,2,20,100.0,100.0,92.5,3,0,22,22
1,Mike Pouncey,6167,C,LAC,1,0,27,76.4,0,1,39,100.0,100.0,98.7,0,1,0,42,42,67.8,0,1,20,100.0,100.0,97.5,1,0,22,22
1,Dan Feeney,11826,G,LAC,1,0,27,81.6,1,0,39,100.0,100.0,96.2,0,2,1,42,42,87.8,0,0,20,100.0,100.0,100.0,0,0,22,22
1,Sam Tevi,11945,T,LAC,1,0,27,49.5,1,1,39,100.0,100.0,97.4,0,2,0,42,42,37.9,1,1,20,100.0,100.0,95.0,2,0,22,22
1,Trent Scott,24481,T,LAC,1,0,27,48.3,1,1,39,100.0,100.0,92.3,1,4,2,42,42,31.6,1,1,20,100.0,100.0,90.0,3,1,22,22
1,Andrew Wylie,12333,G,KC,1,0,16,72.1,1,0,34,100.0,100.0,98.5,0,1,0,41,41,44.2,1,0,7,100.0,100.0,92.9,1,0,12,12
1,Laurent Duvernay-Tardif,8834,G,KC,1,0,16,44.3,0,2,34,100.0,100.0,97.1,0,2,0,41,41,71.7,0,0,7,100.0,100.0,100.0,0,0,12,12
1,Zach Fulton,8828,G,HST,1,0,13,80.0,1,2,38,100.0,100.0,96.1,0,3,0,41,41,71.7,1,1,16,100.0,100.0,93.7,2,0,18,18
1,Maurkice Pouncey,5543,C,PIT,1,0,25,38.3,0,0,36,100.0,100.0,100.0,0,0,0,41,41,15.0,0,0,16,100.0,100.0,100.0,0,0,19,19
1,Lane Johnson,7786,T,PHI,1,0,24,72.4,1,2,41,100.0,100.0,96.3,0,3,0,41,41,74.9,0,1,12,100.0,100.0,95.8,1,0,12,12
1,Eric Fisher,7783,T,KC,1,0,16,71.1,0,2,34,100.0,100.0,97.1,0,2,0,41,41,58.3,0,2,7,100.0,100.0,85.7,2,0,12,12
1,Jason Peters,2148,T,PHI,1,0,24,90.0,0,0,41,100.0,100.0,100.0,0,0,0,41,41,86.0,0,0,12,100.0,100.0,100.0,0,0,12,12
1,Mitchell Schwartz,7041,T,KC,1,0,16,77.6,0,2,34,100.0,100.0,97.1,0,2,0,41,41,79.8,0,0,7,100.0,100.0,100.0,0,0,12,12
1,Isaac Seumalo,10713,G,PHI,1,0,24,72.4,1,0,41,100.0,100.0,98.8,0,1,0,41,41,84.2,0,0,12,100.0,100.0,100.0,0,0,12,12
1,Nick Martin,10684,C,HST,1,0,13,67.2,0,0,38,100.0,100.0,100.0,0,0,0,41,41,73.1,0,0,16,100.0,100.0,100.0,0,0,18,18
1,Laremy Tunsil,10647,T,HST,1,0,13,63.3,0,3,38,100.0,100.0,90.8,0,5,2,41,41,73.1,0,1,16,100.0,100.0,90.6,2,1,18,18
1,Senio Kelemete,7144,G,HST,1,0,13,62.1,1,1,38,100.0,100.0,94.7,0,3,1,41,41,41.3,1,1,16,100.0,100.0,87.5,3,1,18,18
1,Jason Kelce,6343,C,PHI,1,0,24,84.5,0,1,41,100.0,100.0,98.8,0,1,0,41,41,79.4,0,1,12,100.0,100.0,95.8,1,0,12,12
1,Austin Reiter,9655,C,KC,1,0,16,66.6,0,0,34,100.0,100.0,100.0,1,0,0,41,41,79.0,0,0,7,100.0,100.0,100.0,0,0,12,12
1,Seantrel Henderson,8871,T,HST,1,1,13,58.3,0,3,38,100.0,100.0,96.1,1,3,0,41,41,52.4,0,2,16,100.0,100.0,93.7,2,0,18,18
1,Ted Karras,10855,C,NE,1,0,19,67.4,0,2,38,100.0,100.0,97.4,0,2,0,40,40,73.0,0,1,17,100.0,100.0,97.1,1,0,18,18
1,Bryan Bulaga,5548,T,GB,1,1,12,70.7,0,1,36,100.0,100.0,98.6,1,1,0,40,40,72.7,0,1,13,100.0,100.0,96.2,1,0,15,15
1,David Bakhtiari,7891,T,GB,1,0,12,76.6,0,1,36,100.0,100.0,95.8,2,2,1,40,40,61.5,0,1,13,100.0,100.0,88.5,2,1,15,15
1,Lane Taylor,8365,G,GB,1,1,12,71.9,0,1,36,100.0,100.0,95.8,1,2,1,40,40,54.7,0,1,13,100.0,100.0,88.5,2,1,15,15
1,Billy Turner,8702,G,GB,1,0,12,37.3,0,2,36,100.0,100.0,94.4,0,3,1,40,40,8.4,0,2,13,100.0,100.0,84.6,3,1,15,15
1,Corey Linsley,8796,C,GB,1,0,12,40.4,0,2,36,100.0,100.0,94.4,0,3,1,40,40,26.6,0,1,13,100.0,100.0,88.5,2,1,15,15
1,Shaq Mason,9564,G,NE,1,0,19,26.1,1,7,38,100.0,100.0,89.5,0,8,0,40,40,7.1,1,6,17,100.0,100.0,79.4,7,0,18,18
1,Joe Thuney,10712,G,NE,1,0,19,65.6,0,1,38,100.0,100.0,98.7,0,1,0,40,40,52.3,0,1,17,100.0,100.0,97.1,1,0,18,18
