Week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,Christian McCaffrey,11763,HB,SF,1,22,5,2,53.9,82,0,152,0,0,5,125,113.6,4,7,28,1,8,27.9,74.6,78.7,,58.7,56.1,78.6,59.2,65,0,17,3,27,27,0,0,4,25,1,152,125,5.68,6.9,0.63,14
1,Cam Akers,57206,HB,LA,1,22,5,0,0.0,0,0,29,0,0,5,37,38.2,1,4,26,0,19,77.7,64.3,71.8,,68.5,56.4,63.7,60.0,12,0,0,0,2,23,0,0,0,22,1,29,37,1.68,1.3,0.0,3
1,David Montgomery,45719,HB,DET,1,21,4,0,0.0,0,0,74,0,0,4,49,44.4,0,4,11,0,12,77.4,55.4,0.0,,49.3,51.6,60.3,60.0,8,1,0,0,19,26,0,0,0,21,1,74,49,2.33,3.5,0.0,9
1,Brian Robinson,57120,HB,WAS,1,19,3,0,0.0,0,0,59,1,0,3,36,28.4,0,5,32,0,7,76.7,66.5,78.9,,71.3,38.2,69.9,60.0,7,0,7,1,17,19,0,0,2,20,0,59,36,1.89,3.1,0.41,11
1,Josh Jacobs,45953,HB,LV,1,19,5,0,0.0,0,0,48,0,2,5,43,75.4,0,3,23,0,15,77.4,65.5,74.8,,40.9,70.7,65.2,60.0,7,0,23,2,14,25,0,0,3,21,0,48,43,2.26,2.5,1.64,3
1,Miles Sanders,40555,HB,CAR,1,18,1,0,0.0,0,0,72,0,1,1,39,19.7,2,2,5,1,7,26.3,47.7,77.0,,18.5,65.3,46.4,60.0,10,0,26,4,20,20,0,0,4,22,0,72,39,2.17,4.0,1.3,10
1,Travis Etienne Jr.,57185,HB,JAX,1,18,4,1,33.8,26,0,77,0,1,4,60,72.5,1,4,15,0,10,77.3,73.3,79.3,,68.8,60.3,74.5,73.0,26,0,27,5,29,25,0,0,5,23,1,77,60,3.33,4.3,0.93,8
1,Nick Chubb,45783,HB,CLV,1,18,3,1,16.0,17,0,106,0,0,3,63,47.7,5,7,8,0,9,77.5,76.6,75.9,,58.9,68.8,74.6,60.0,17,0,21,4,12,20,0,0,4,22,0,106,63,3.5,5.9,1.75,9
1,Jamaal Williams,11889,HB,NO,1,18,3,0,0.0,0,0,45,0,0,3,45,37.5,1,1,20,1,9,25.3,46.3,75.5,,71.3,56.7,43.3,68.7,11,0,7,2,24,24,0,0,2,20,0,45,45,2.5,2.5,0.29,9
1,Rachaad White,131633,HB,TB,1,17,1,0,0.0,0,0,39,0,0,1,33,10.2,0,1,30,0,7,76.6,69.9,78.5,,74.7,56.7,71.2,60.0,6,0,10,2,21,23,0,0,2,19,0,39,33,1.94,2.3,0.48,10
