Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Julius Peppers,1010,ED,CAR,1,0,,,5.9,,,0,0,0,,5,60.0,70.2,78.1,63.6,67.6,71.7,0,,,0,0,0,0.0,0,1,17,0,0,0,0,0,0,0.0,
1,Terrell Suggs,1326,ED,BLT,1,0,,,10.0,,,0,0,1,,3,70.9,55.6,76.9,53.0,50.6,35.4,0,,100.0,1,0,0,0.0,0,2,20,1,0,0,0,0,0,0.0,
1,Mike Adams,1972,S,CAR,1,0,0.7,100.0,95.5,13.0,13.0,0,0,0,0.0,5,70.3,69.4,0.0,69.1,65.9,79.5,0,17,0.0,0,0,1,91.7,3,42,44,2,2,3,0,18,16,0.5,6.0
1,Adam Jones,2223,CB,DEN,1,1,15.5,50.0,100.0,26.0,13.0,0,0,0,0.0,10,75.2,77.4,77.2,,73.9,45.9,1,6,33.3,1,0,0,16.7,1,27,27,0,1,2,0,6,1,0.2,6.0
1,Derrick Johnson,2232,LB,OAK,1,0,7.5,100.0,95.7,10.0,10.0,0,0,0,0.0,23,70.7,66.7,74.7,58.9,55.0,79.5,0,11,0.0,0,0,0,104.2,2,22,23,1,3,2,0,18,3,0.9,9.0
1,Lorenzo Alexander,2476,LB,BUF,1,0,4.0,75.0,47.8,3.7,2.8,0,0,1,25.0,4,90.7,86.5,76.8,62.2,67.4,79.3,0,6,0.0,0,1,0,78.1,3,11,23,1,2,4,0,13,9,1.2,4.3
1,Johnathan Joseph,2969,CB,HST,1,0,5.5,75.0,100.0,6.5,4.9,0,0,1,12.5,13,70.4,71.7,77.8,,69.1,81.0,0,12,0.0,0,1,1,85.4,6,41,41,3,7,8,0,40,13,1.0,6.7
1,Antoine Bethea,3152,S,ARZ,1,0,-3.0,100.0,87.2,16.0,16.0,0,0,0,0.0,1,55.3,60.2,0.0,69.1,72.0,65.2,0,18,50.0,1,0,1,118.8,2,34,39,0,1,2,0,29,35,0.9,14.5
1,Tramon Williams,3558,S,GB,1,0,4.3,75.0,100.0,14.3,10.8,0,0,0,0.0,12,69.2,68.1,78.3,,59.2,63.0,0,12,0.0,0,0,0,78.1,3,46,46,2,4,4,0,13,7,0.3,4.3
1,Leon Hall,3634,CB,OAK,1,0,10.0,80.0,91.4,7.5,6.0,0,0,1,20.0,23,61.1,68.4,76.8,54.4,82.3,79.9,0,17,0.0,0,1,0,106.7,4,32,35,0,1,5,0,48,12,1.6,12.0
1,Reggie Nelson,3637,S,OAK,1,0,6.0,100.0,97.2,33.0,33.0,0,0,0,0.0,23,62.8,48.4,74.6,60.0,29.3,49.3,0,8,0.0,0,0,0,139.6,1,35,36,0,2,1,1,8,2,0.2,8.0
1,Eric Weddle,3653,S,BLT,1,0,,,96.8,,,0,0,0,,3,64.8,69.6,77.4,65.3,63.8,75.2,0,,,0,0,0,0.0,0,30,31,0,0,0,0,0,0,0.0,
1,Brandon Mebane,3701,DI,LAC,1,0,,,8.3,,,0,0,0,,27,60.0,54.3,76.4,64.0,50.4,,0,,,0,0,0,0.0,0,1,12,0,0,0,0,0,0,0.0,
1,Corey Graham,3784,S,PHI,1,0,-1.0,100.0,100.0,16.5,16.5,0,0,0,0.0,24,60.0,60.8,74.2,,61.1,76.2,0,6,0.0,0,0,0,79.2,2,36,36,1,2,2,0,-1,1,0.0,-0.5
1,Dominique Rodgers-Cromartie,4330,CB,OAK,1,0,4.0,0.0,100.0,,10.0,0,0,1,100.0,23,63.9,66.8,74.7,,68.4,75.4,0,,,0,1,1,39.6,0,11,11,0,0,1,0,0,0,0.0,
1,Aqib Talib,4334,CB,LA,1,0,6.0,50.0,100.0,42.0,21.0,1,0,0,0.0,26,63.4,66.1,77.4,,72.3,80.3,0,12,0.0,0,0,1,68.8,1,47,47,1,6,2,0,12,6,0.3,12.0
1,Brandon Carr,4454,CB,BLT,1,0,15.6,28.6,100.0,15.0,4.3,0,0,2,28.6,3,83.2,82.2,77.9,,66.1,76.7,1,14,0.0,0,1,1,1.8,2,31,31,0,2,7,0,24,2,0.8,12.0
1,Orlando Scandrick,4457,CB,KC,1,0,17.0,42.9,100.0,16.3,7.0,0,0,1,14.3,16,55.1,56.2,78.0,,62.4,27.0,0,20,50.0,1,1,0,95.8,3,54,54,1,1,7,2,31,4,0.6,10.3
1,Wesley Woodyard,4583,LB,TEN,1,0,0.5,100.0,84.8,12.5,12.5,0,0,0,0.0,31,71.2,70.5,77.7,52.9,65.1,64.3,0,4,0.0,0,0,0,83.3,2,28,33,2,3,2,0,8,7,0.3,4.0
1,Brian Orakpo,4936,ED,TEN,1,0,4.0,0.0,15.4,,2.0,0,0,0,0.0,31,44.1,53.9,78.2,58.6,59.3,72.4,0,,,0,0,0,39.6,0,4,26,0,0,1,0,0,0,0.0,
1,Malcolm Jenkins,4937,S,PHI,1,0,6.5,100.0,98.1,24.0,24.0,0,0,0,0.0,24,65.9,67.6,76.4,58.9,66.1,77.8,0,10,0.0,0,0,0,102.1,2,51,52,0,2,2,0,17,4,0.4,8.5
1,Clay Matthews,4949,ED,GB,1,0,,,21.4,,,0,0,0,,12,76.1,29.8,0.0,47.1,26.6,25.3,0,,0.0,0,0,1,0.0,0,9,42,1,1,0,0,0,0,0.0,
1,Patrick Chung,4957,S,NE,1,0,14.5,25.0,100.0,41.0,10.3,0,0,0,0.0,19,68.3,68.3,75.4,,62.4,77.7,0,27,0.0,0,0,0,55.2,1,44,44,0,2,4,0,27,6,0.7,27.0
1,Connor Barwin,4969,ED,NYG,1,0,4.0,0.0,3.8,,1.0,0,0,0,0.0,21,60.0,61.9,80.3,56.9,63.8,69.2,0,,,0,0,0,39.6,0,1,26,0,0,1,0,0,0,0.0,
1,Glover Quin,5035,S,DET,1,0,12.0,100.0,100.0,18.0,18.0,0,0,0,0.0,11,57.3,44.3,75.4,,36.2,79.3,0,15,0.0,0,0,0,118.8,1,19,19,0,1,1,0,15,3,0.8,15.0
1,Jason McCourty,5127,CB,NE,1,0,47.0,0.0,100.0,,5.0,0,0,1,100.0,19,76.7,77.0,69.8,,,,0,,,0,1,0,39.6,0,6,6,0,0,1,0,0,0,0.0,
1,Captain Munnerlyn,5140,CB,CAR,1,0,5.6,60.0,91.4,9.7,5.8,0,0,0,0.0,5,46.1,50.2,77.1,68.4,61.4,75.6,0,13,0.0,0,0,1,81.3,3,32,35,0,2,5,0,35,8,1.2,11.7
1,Michael Bennett,5273,ED,PHI,1,0,,,2.7,,,0,0,0,,24,60.0,63.9,79.9,55.9,71.4,27.8,0,,100.0,1,0,0,0.0,0,1,37,0,0,0,0,0,0,0.0,
