Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Marc Bulger,684,QB,SL,1,63.2,38,42,7.2,2.57,1,1,2.3,52.4,22,0,12,8.3,45,2,10,26,80.2,59.3,58.8,59.6,1,0,47,0,8.3,70.2,2.2,1,2,0,2,1,0,0.0,167,4.0
1,Brett Favre,14,QB,GB,1,65.9,41,42,8.9,2.74,0,2,4.7,54.8,23,0,17,14.8,46,4,9,12,80.1,65.5,67.5,56.8,1,1,47,1,23.5,58.2,8.7,4,0,0,0,0,2,4.3,206,4.9
1,Drew Brees,802,QB,NO,1,86.8,38,41,4.8,2.59,1,0,0.0,68.3,28,0,10,15.2,43,5,9,20,79.5,37.6,39.5,55.3,2,2,44,0,10.0,58.2,2.3,1,1,0,0,0,4,9.1,192,4.7
1,Eli Manning,1722,QB,NYG,1,75.0,40,41,9.5,2.25,0,4,9.8,68.3,28,0,12,6.7,42,2,16,21,79.5,92.4,91.3,62.4,1,1,43,0,8.3,113.1,2.4,1,0,0,0,4,0,0.0,312,7.6
1,Josh McCown,1085,QB,OAK,1,87.2,39,40,5.0,2.58,0,2,4.8,75.0,30,0,16,11.8,44,4,16,23,79.9,67.2,70.3,46.2,0,2,46,0,18.8,93.0,6.8,3,1,0,1,2,2,4.3,313,7.8
1,Jay Cutler,2956,QB,DEN,1,70.3,37,39,8.0,2.32,0,5,12.2,59.0,23,0,10,11.5,41,3,17,10,29.9,65.5,68.2,47.2,1,1,43,0,10.0,81.6,2.4,1,1,1,0,1,3,7.0,304,7.8
1,Trent Green,58,QB,MIA,1,77.1,35,38,7.0,2.6,2,2,5.0,63.2,24,0,13,11.1,40,3,12,17,79.3,63.4,64.6,,0,0,42,1,15.4,87.5,5.0,2,0,0,1,1,1,2.4,219,5.8
1,Jon Kitna,217,QB,DET,1,82.9,35,36,7.6,2.78,1,1,2.6,75.0,27,0,8,6.9,40,2,17,11,79.7,79.3,78.2,61.7,0,2,43,0,25.0,102.7,5.0,2,2,0,0,3,1,2.3,289,8.0
1,Steve McNair,114,QB,BLT,1,67.7,31,34,9.2,2.48,2,0,0.0,58.8,20,0,12,4.8,36,1,10,3,20.9,44.2,51.2,40.2,0,1,37,0,16.7,63.7,5.6,2,0,1,0,0,2,5.4,203,6.0
1,Donovan McNabb,438,QB,PHI,1,65.5,29,33,10.7,3.32,3,2,5.9,45.5,15,0,13,21.1,38,4,8,24,79.2,56.9,56.6,58.4,0,1,41,1,7.7,60.7,2.6,1,4,0,1,1,2,4.9,184,5.6
1,Damon Huard,215,QB,KC,1,75.0,32,33,5.6,2.31,0,0,0.0,66.7,22,0,8,8.3,36,2,8,16,78.8,71.1,71.0,57.8,0,2,37,0,37.5,53.6,8.3,3,0,0,1,0,0,0.0,168,5.1
1,Carson Palmer,1317,QB,CIN,1,65.6,32,32,7.2,2.07,0,1,2.9,62.5,20,0,8,4.8,33,1,9,7,79.1,69.1,72.4,46.4,0,0,36,0,12.5,100.3,3.0,1,0,0,0,2,0,0.0,194,6.1
1,Joey Harrington,1011,QB,ATL,1,80.6,31,32,6.5,2.73,1,0,0.0,71.9,23,0,15,8.0,39,2,12,2,79.2,65.8,67.1,52.3,0,2,41,0,40.0,61.8,15.4,6,1,0,0,0,1,2.4,199,6.2
1,Philip Rivers,1725,QB,SD,1,80.6,31,31,6.1,2.54,0,0,0.0,71.0,22,0,14,12.0,34,3,8,27,79.3,73.2,74.5,55.8,0,1,36,0,21.4,73.3,8.8,3,0,0,0,0,2,5.6,190,6.1
1,Alex Smith,2218,QB,SF,1,74.1,27,31,7.5,2.95,0,2,6.1,48.4,15,0,13,25.0,36,5,9,28,78.8,63.8,58.4,76.2,1,0,38,0,23.1,59.3,8.3,3,2,0,3,0,2,5.3,126,4.1
1,David Garrard,1109,QB,JAX,1,70.4,27,30,12.0,3.05,1,1,3.2,56.7,17,0,16,10.5,34,2,8,15,78.9,69.4,65.9,70.0,1,0,35,0,18.8,88.7,8.8,3,1,0,1,1,1,2.9,204,6.8
1,Peyton Manning,327,QB,IND,1,67.9,28,30,13.0,2.94,0,6,20.0,60.0,18,0,11,5.3,30,1,12,14,77.4,95.4,94.4,,1,0,30,1,0.0,126.0,0.0,0,0,0,1,3,0,0.0,292,9.7
1,Derek Anderson,2430,QB,CLV,1,51.9,27,28,10.1,2.45,0,1,3.4,46.4,13,0,8,7.1,29,1,10,8,77.4,36.4,40.7,56.7,0,1,30,1,12.5,65.2,3.4,1,0,0,1,1,3,10.0,184,6.6
