Week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
1,Ndamukong Suh,5527,DI,LA,1,0,0,26,55.9,1,0,33,100.0,6.1,2,0,1.5,0,38,38,1,0,60.7,1,0,15,100.0,13.3,2,3.3,0,18,18,1
1,Gerald McCoy,5528,DI,TB,1,0,0,30,66.0,2,2,42,100.0,16.7,7,1,4.8,0,44,44,4,0,70.2,2,2,24,100.0,25.0,6,8.3,0,25,25,4
1,Tyson Alualu,5535,DI,PIT,1,0,0,25,48.9,0,0,13,100.0,0.0,0,0,0.0,0,15,15,0,0,49.4,0,0,8,100.0,0.0,0,0.0,0,9,9,0
1,Brandon Graham,5538,ED,PHI,1,0,0,24,74.5,0,5,31,94.4,19.4,6,0,8.1,0,36,34,5,0,77.4,0,3,13,100.0,30.8,4,11.5,0,14,14,3
1,Earl Thomas III,5539,S,SEA,1,0,0,29,58.4,0,1,1,2.9,0.0,0,0,50.0,0,35,1,1,0,58.4,0,1,1,8.3,0.0,0,50.0,0,12,1,1
1,Jason Pierre-Paul,5540,ED,TB,1,0,1,30,59.9,0,2,33,97.2,6.1,2,1,3.0,0,36,35,2,0,53.4,0,1,21,100.0,4.8,1,2.4,0,22,22,1
1,Derrick Morgan,5541,ED,TEN,1,0,0,31,50.8,0,0,9,100.0,0.0,0,0,0.0,0,11,11,0,0,54.4,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Kareem Jackson,5545,CB,HST,1,0,0,13,58.8,0,0,1,2.3,0.0,0,0,0.0,0,43,1,0,0,,0,0,0,0.0,,0,,0,14,0,0
1,Jerry Hughes,5556,ED,BUF,1,0,0,4,64.6,1,2,24,96.6,12.5,3,0,6.3,0,29,28,3,0,55.7,1,0,10,92.3,10.0,1,5.0,0,13,12,1
1,Patrick Robinson,5557,CB,NO,1,0,1,20,59.1,0,0,1,3.0,0.0,0,1,0.0,0,33,1,0,0,59.1,0,0,1,9.1,0.0,0,0.0,0,11,1,0
1,Linval Joseph,5571,DI,MIN,1,0,0,18,62.1,1,1,27,100.0,11.1,3,0,3.7,0,30,30,2,0,66.3,1,1,16,100.0,18.8,3,6.3,0,19,19,2
1,Carlos Dunlap,5579,ED,CIN,1,1,0,7,67.6,0,3,44,100.0,11.4,5,2,5.7,1,48,48,4,0,62.5,0,3,30,100.0,10.0,3,5.0,0,33,33,3
1,Sean Lee,5580,LB,DAL,1,0,0,9,67.0,1,0,3,9.4,0.0,0,0,16.7,0,32,3,1,0,67.0,1,0,3,21.4,0.0,0,16.7,0,14,3,1
1,Morgan Burnett,5596,S,PIT,1,0,0,25,63.5,0,1,1,3.2,100.0,1,0,50.0,0,31,1,1,0,63.5,0,1,1,5.9,100.0,1,50.0,0,17,1,1
1,Earl Mitchell,5605,DI,SF,1,0,0,28,61.5,0,2,16,100.0,6.3,1,0,6.3,0,16,16,2,0,67.6,0,1,4,100.0,25.0,1,12.5,0,4,4,1
1,Corey Peters,5607,DI,ARZ,1,0,0,1,49.6,0,0,30,100.0,0.0,0,0,0.0,0,33,33,0,0,51.4,0,0,11,100.0,0.0,0,0.0,0,13,13,0
1,Everson Griffen,5624,ED,MIN,1,1,0,18,70.2,2,2,26,93.5,15.4,4,1,11.5,1,31,29,5,0,70.8,2,2,16,100.0,25.0,4,18.8,1,19,19,5
1,Geno Atkins,5643,DI,CIN,1,0,0,7,63.1,2,0,40,100.0,7.5,3,0,5.0,1,43,43,3,0,68.4,2,0,24,100.0,12.5,3,8.3,1,27,27,3
1,Al Woods,5646,DI,IND,1,0,0,14,62.8,0,1,16,100.0,6.3,1,0,3.1,0,16,16,1,0,56.3,0,0,4,100.0,0.0,0,0.0,0,4,4,0
1,Kurt Coleman,5767,S,NO,1,0,0,20,57.3,0,0,1,10.5,0.0,0,0,0.0,0,19,2,0,0,58.4,0,0,1,20.0,0.0,0,0.0,0,5,1,0
1,Kyle Love,5806,DI,CAR,1,0,0,5,55.1,0,0,17,100.0,0.0,0,0,0.0,0,20,20,0,0,51.2,0,0,10,100.0,0.0,0,0.0,0,12,12,0
1,Darian Stewart,5820,S,DEN,1,0,0,10,73.0,0,0,2,4.8,0.0,0,1,50.0,1,42,2,1,0,,0,0,0,0.0,,0,,0,24,0,0
1,Barry Church,5924,S,JAX,1,0,0,15,60.0,0,0,1,2.2,0.0,0,1,0.0,0,46,1,0,0,,0,0,0,0.0,,0,,0,19,0,0
1,Anthony Levine,6013,S,BLT,1,0,0,3,56.3,0,0,2,28.6,0.0,0,0,0.0,0,7,2,0,0,58.5,0,0,1,20.0,0.0,0,0.0,0,5,1,0
1,Von Miller,6154,ED,DEN,1,0,0,10,61.9,1,1,35,100.0,5.7,2,0,11.4,3,37,37,5,0,62.5,1,1,20,100.0,5.0,1,15.0,2,21,21,4
1,Marcell Dareus,6155,DI,JAX,1,0,0,15,55.8,0,1,24,100.0,0.0,0,0,2.1,0,28,28,1,0,62.0,0,1,8,100.0,0.0,0,6.3,0,9,9,1
1,J.J. Watt,6163,ED,HST,1,0,0,13,82.5,2,1,38,100.0,21.1,8,0,6.6,1,40,40,4,0,70.3,1,1,12,100.0,16.7,2,8.3,0,14,14,2
1,Robert Quinn,6166,ED,MIA,1,0,0,17,61.9,0,1,22,100.0,9.1,2,1,2.3,0,23,23,1,0,55.6,0,0,12,100.0,0.0,0,0.0,0,13,13,0
1,Ryan Kerrigan,6168,ED,WAS,1,0,0,32,64.3,1,4,24,96.2,16.7,4,0,10.4,0,26,25,5,0,68.6,0,3,12,92.3,25.0,3,12.5,0,13,12,3
1,Adrian Clayborn,6172,ED,NE,1,0,0,19,66.2,1,3,18,100.0,16.7,3,0,11.1,0,20,20,4,0,61.6,1,2,12,100.0,16.7,2,12.5,0,13,13,3
1,Cameron Jordan,6176,ED,NO,1,1,0,20,58.9,0,1,28,91.4,7.1,2,0,1.8,0,35,32,1,0,56.2,0,1,9,91.7,11.1,1,5.6,0,12,11,1
1,Muhammad Wilkerson,6182,DI,GB,1,0,0,12,59.9,0,1,23,100.0,4.3,1,1,2.2,0,26,26,1,0,53.0,0,0,6,100.0,0.0,0,0.0,0,7,7,0
1,Cameron Heyward,6183,DI,PIT,1,0,0,25,57.5,0,2,47,100.0,8.5,4,0,4.3,1,51,51,3,0,57.4,0,0,22,100.0,4.5,1,4.5,1,24,24,1
1,Jabaal Sheard,6189,ED,IND,1,1,0,14,76.9,0,3,22,92.3,18.2,4,0,6.8,0,26,24,3,1,82.3,0,3,9,100.0,33.3,3,16.7,0,11,11,3
1,Jarvis Jenkins,6193,DI,KC,1,0,0,16,52.0,0,0,10,100.0,0.0,0,0,0.0,0,12,12,0,0,56.4,0,0,2,100.0,0.0,0,0.0,0,3,3,0
1,Brooks Reed,6194,ED,ATL,1,0,0,2,50.0,0,0,16,100.0,0.0,0,1,0.0,0,17,17,0,0,50.4,0,0,10,100.0,0.0,0,0.0,0,10,10,0
1,Terrell McClain,6217,DI,ATL,1,0,0,2,52.3,0,0,18,100.0,0.0,0,0,0.0,0,19,19,0,0,52.9,0,0,7,100.0,0.0,0,0.0,0,8,8,0
1,Justin Houston,6222,ED,KC,1,0,0,16,66.4,0,2,29,70.2,17.2,5,0,3.4,0,47,33,2,0,66.0,0,1,12,86.7,33.3,4,4.2,0,15,13,1
1,Jurrell Casey,6229,DI,TEN,1,0,0,31,70.2,1,1,26,100.0,11.5,3,1,3.8,0,29,29,2,0,55.3,0,0,4,100.0,0.0,0,0.0,0,4,4,0
1,Mason Foster,6236,LB,WAS,1,0,0,32,55.3,0,1,2,8.0,0.0,0,0,25.0,0,25,2,1,0,55.3,0,1,2,14.3,0.0,0,25.0,0,14,2,1
1,Allen Bailey,6238,DI,KC,1,0,0,16,53.2,0,1,39,100.0,5.1,2,0,1.3,0,45,45,1,0,61.9,0,1,16,100.0,12.5,2,3.1,0,17,17,1
1,Chris Conte,6245,S,TB,1,0,0,30,60.0,0,0,0,2.0,,0,0,,0,49,1,0,0,,0,0,0,0.0,,0,,0,28,0,0
1,Sam Acho,6255,ED,CHI,1,0,0,6,63.6,0,1,5,83.3,20.0,1,0,10.0,0,6,5,1,0,68.5,0,1,2,100.0,50.0,1,25.0,0,2,2,1
1,Buster Skrine,6289,CB,NYJ,1,0,0,22,58.0,0,0,2,4.2,0.0,0,0,0.0,0,48,2,0,0,,0,0,0,0.0,,0,,0,16,0,0
1,Pernell McPhee,6317,ED,WAS,1,0,0,32,81.6,2,2,10,100.0,40.0,4,0,20.0,0,11,11,4,0,82.1,1,2,6,100.0,50.0,3,25.0,0,6,6,3
1,Colin Jones,6342,S,CAR,1,0,0,5,59.2,0,0,1,5.9,0.0,0,0,0.0,0,17,1,0,0,59.2,0,0,1,6.7,0.0,0,0.0,0,15,1,0
1,Lawrence Guy Sr.,6385,DI,NE,1,0,0,19,65.3,1,1,14,100.0,14.3,2,0,7.1,0,14,14,2,0,62.5,0,1,7,100.0,14.3,1,7.1,0,7,7,1
1,Chris Harris Jr.,6457,CB,DEN,1,0,0,10,68.6,0,0,2,4.8,0.0,0,0,50.0,1,42,2,1,0,68.6,0,0,2,8.3,0.0,0,50.0,1,24,2,1
1,Mario Addison,6558,ED,CAR,1,0,0,5,61.4,0,1,23,96.2,4.3,1,0,10.9,2,26,25,3,0,66.6,0,1,15,100.0,6.7,1,16.7,2,15,15,3
1,Luke Kuechly,7015,LB,CAR,1,0,0,5,40.4,0,1,1,4.7,0.0,0,0,50.0,0,43,2,1,0,41.2,0,1,1,3.8,0.0,0,50.0,0,26,1,1
1,Dontari Poe,7017,DI,CAR,1,0,0,5,54.2,0,1,22,96.2,4.5,1,0,2.3,0,26,25,1,0,56.1,0,1,14,100.0,7.1,1,3.6,0,15,15,1
1,Fletcher Cox,7018,DI,PHI,1,0,0,24,92.0,3,3,46,100.0,28.3,13,0,8.7,1,48,48,7,0,91.0,2,1,18,100.0,38.9,7,13.9,1,19,19,4
1,Michael Brockers,7020,DI,LA,1,0,0,26,70.6,0,1,21,100.0,9.5,2,1,7.1,1,24,24,2,0,73.5,0,0,5,100.0,20.0,1,20.0,1,7,7,1
