Week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
1,Lee Evans,1734,WR,BUF,1,19.1,0,50.0,,0,0,0,20.0,1,4,4,0,41.6,67.0,73.0,,70.8,0.0,0,0,41,0.0,0,31,0,4,100.0,31,35.5,11,95.8,8,0,64.5,20,102,31,7.8,25.5,3.29
1,Braylon Edwards,2220,WR,CLV,1,12.5,1,25.0,,0,0,1,60.0,3,0,8,0,25.9,64.0,33.4,,42.7,0.0,0,0,12,0.0,0,29,2,2,93.1,27,17.2,5,39.6,8,0,82.8,24,14,6,3.0,7.0,0.52
1,Dante Rosario,3771,TE,CAR,1,12.1,0,87.5,,0,0,0,0.0,0,5,5,0,75.6,69.5,79.3,70.0,88.3,40.0,12,0,24,6.7,2,30,2,7,86.7,26,50.0,15,156.3,8,1,3.3,1,96,34,4.9,13.7,3.69
1,Anthony Gonzalez,3648,WR,IND,1,7.3,1,62.5,,0,0,0,28.6,2,4,14,0,29.2,68.0,64.3,,62.7,0.0,0,0,20,0.0,0,46,0,5,95.7,44,6.5,3,79.2,8,0,93.5,43,48,22,4.4,9.6,1.09
1,T.J. Houshmandzadeh,921,WR,CIN,1,7.6,2,42.9,,0,0,0,0.0,0,2,7,0,70.5,65.8,59.5,,59.2,0.0,0,0,24,0.0,0,30,0,3,93.3,28,66.7,20,64.0,7,0,33.3,10,44,9,3.0,14.7,1.57
1,Nate Burleson,1386,WR,SEA,1,11.4,0,71.4,,0,0,0,16.7,1,4,29,0,45.8,68.0,73.0,,72.1,0.0,0,0,20,0.0,0,32,0,5,93.8,30,46.9,15,136.9,7,1,53.1,17,60,6,1.2,12.0,2.0
1,Bernard Berrian,1799,WR,MIN,1,24.0,1,42.9,,0,0,0,0.0,0,1,18,0,70.5,65.8,56.8,,55.0,0.0,0,0,24,0.0,0,48,0,3,91.7,44,16.7,8,60.4,7,0,83.3,40,38,17,5.7,12.7,0.86
1,Randy Moss,342,WR,NE,1,16.9,0,85.7,,0,0,0,0.0,0,3,19,1,74.6,17.2,77.1,,74.3,0.0,0,0,51,0.0,0,33,0,6,100.0,33,30.3,10,158.3,7,1,69.7,23,116,30,5.0,19.3,3.52
1,Visanthe Shiancoe,1406,TE,MIN,1,12.6,0,42.9,,0,0,0,25.0,1,0,18,0,36.2,65.8,52.7,,35.1,75.0,27,0,9,0.0,0,36,0,3,88.9,32,22.2,8,50.3,7,0,2.8,1,21,1,0.3,7.0,0.66
1,Greg Lewis,1650,WR,PHI,1,15.0,2,71.4,,0,0,0,0.0,0,4,24,0,73.4,68.0,74.5,,72.1,0.0,0,0,52,0.0,0,27,0,5,92.6,25,11.1,3,113.7,7,0,88.9,24,104,28,5.6,20.8,4.16
