Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Charles Woodson,330,S,OAK,1,0,0,0.0,0,0,23,0,0,80.3,90.2,79.9,66.6,74.2,70.8,0,0,0,1,,14.3,1,0,0,0.0,0,0,0,7,0,37,70,0,0,0,0,0,61,70,1,32,2,2,6,0,2,0,0,0,0,
1,John Abraham,591,ED,ARZ,1,0,0,,0,0,1,0,0,60.4,54.4,70.5,47.9,66.5,69.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,26,0,3,36,10,0,0,10,0,0,26,20,13,0,1,1,1,0,0,0,0,0,
1,Justin Smith,776,DI,SF,1,2,1,,0,0,28,0,0,,79.5,77.3,68.0,75.7,73.3,0,1,0,0,,0.0,0,0,0,0.0,0,2,0,1,0,0,45,44,0,0,9,35,0,1,28,17,0,2,2,0,0,3,0,0,0,
1,Julius Peppers,1010,ED,GB,1,0,0,,0,0,12,0,0,56.2,51.9,0.0,60.7,59.3,32.6,1,0,0,0,,40.0,2,0,1,0.0,0,0,0,9,0,0,59,50,0,0,48,2,0,9,31,28,0,0,3,0,0,1,0,0,0,
1,Dwight Freeney,1019,ED,SD,1,0,0,,0,0,27,1,0,60.0,78.0,79.1,73.4,66.0,,0,6,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,1,44,43,0,0,26,17,0,1,34,9,0,0,0,0,0,6,0,0,0,
1,Larry Foote,1126,LB,ARZ,1,0,0,80.0,0,0,1,0,0,52.6,68.7,75.2,55.1,86.7,33.8,0,0,0,0,9,22.2,2,0,0,90.0,4,0,0,58,0,26,61,3,0,0,3,0,0,58,12,23,0,3,7,1,5,0,0,28,19,7.0
1,Brett Keisel,1204,DI,PIT,1,0,0,,0,0,25,0,0,60.0,52.3,75.8,56.4,51.6,69.9,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,41,38,0,1,3,34,0,3,27,14,0,1,2,0,0,2,0,0,0,
1,Ryan Clark,1229,S,WAS,1,1,0,33.3,0,0,32,0,0,67.4,44.5,78.9,55.4,28.5,27.4,0,0,0,0,11,38.5,5,1,0,45.1,1,0,0,15,1,24,60,0,0,0,0,0,34,60,2,34,10,4,7,0,3,0,0,11,16,11.0
1,Terence Newman,1321,CB,CIN,1,0,0,70.0,0,0,7,0,0,46.6,49.8,78.7,,73.2,37.5,0,0,0,0,15,28.6,2,0,1,86.3,7,0,0,5,81,68,88,0,0,0,0,0,1,88,0,20,1,1,5,0,10,0,0,62,16,8.9
1,Kevin Williams,1325,DI,SEA,1,0,1,,0,0,29,0,0,60.1,61.8,75.3,61.7,59.5,67.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,24,24,1,21,0,2,0,0,13,10,0,0,1,0,0,0,0,0,0,
