Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Deon Grant,624,S,NYG,1,0,7.8,25.0,93.1,26.0,6.5,0,0,1,25.0,21,71.2,72.0,76.5,52.9,60.0,76.7,1,10,0.0,0,1,0,0.0,1,27,29,0,1,4,0,10,6,0.4,10.0
1,Na'il Diggs,652,LB,SL,1,0,2.0,0.0,80.0,,7.0,0,0,0,0.0,26,63.6,42.9,66.4,57.7,40.0,29.8,0,,,0,0,0,39.6,0,8,10,0,0,1,0,0,0,0.0,
1,Clark Haggans,670,ED,ARZ,1,0,0.0,100.0,29.8,8.5,8.5,1,0,0,0.0,1,75.5,44.3,0.0,50.5,44.2,77.5,0,5,0.0,0,0,2,81.3,2,17,57,1,3,2,0,7,7,0.4,3.5
1,Dhani Jones,687,LB,CIN,1,1,4.5,75.0,94.4,11.0,8.3,0,0,0,0.0,7,51.9,48.2,72.6,68.8,46.4,61.7,0,12,0.0,0,0,0,122.9,3,34,36,0,4,4,1,18,9,0.5,6.0
1,James Hall,733,ED,SL,1,0,,,11.6,,,0,0,0,,26,62.1,48.8,76.2,61.9,37.1,69.9,0,,,0,0,1,0.0,0,5,43,0,0,0,0,0,0,0.0,
1,Paris Lenon,751,LB,ARZ,1,0,3.3,100.0,75.0,14.0,14.0,0,0,0,0.0,1,75.7,71.9,78.3,63.2,53.7,58.6,0,15,0.0,0,0,0,91.7,3,42,56,3,4,3,0,18,8,0.4,6.0
1,Andre Carter,779,ED,WAS,1,2,4.0,100.0,26.9,4.7,4.7,0,0,0,0.0,32,47.5,50.1,80.0,59.5,47.8,75.5,0,12,0.0,0,0,0,104.2,3,14,52,0,2,3,0,27,15,1.9,9.0
1,Nate Clements,791,CB,SF,1,0,11.4,80.0,93.1,6.0,4.8,1,0,0,0.0,28,41.5,44.7,77.3,52.3,67.1,77.6,1,35,0.0,0,0,2,79.2,4,27,29,1,3,5,0,71,30,3.0,17.8
1,Kyle Vanden Bosch,804,ED,DET,1,0,,,2.0,,,0,0,0,,11,61.4,88.6,76.6,74.6,82.2,74.3,0,,0.0,0,0,0,0.0,0,1,49,1,4,0,0,0,0,0.0,
1,Jamie Winborn,817,LB,TEN,1,0,2.0,0.0,90.0,,8.0,0,0,0,0.0,31,63.9,63.8,67.3,59.5,61.3,73.3,0,,,0,0,0,39.6,0,9,10,0,0,1,0,0,0,0.0,
