Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Junior Seau,10,LB,NE,1,0,0,100.0,0,0,19,0,0,56.5,66.2,72.7,51.2,80.6,78.3,0,0,0,0,3,0.0,0,0,0,79.2,1,0,0,27,0,17,28,1,0,1,0,0,0,27,5,6,0,4,4,0,1,0,0,3,0,3.0
1,Ted Washington,13,DI,CLV,1,0,0,,0,0,8,0,0,,73.1,75.1,54.3,74.0,71.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,24,7,0,0,0,0,11,20,0,3,3,0,0,0,0,0,0,
1,Keith Traylor,15,DI,MIA,1,1,0,,0,0,17,0,0,,45.6,76.6,53.8,47.8,71.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,37,37,6,31,0,0,0,0,10,27,0,3,4,0,0,0,0,0,0,
1,Michael Strahan,40,ED,NYG,1,1,0,,0,0,21,0,0,60.2,55.3,76.1,46.9,64.4,71.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,36,36,0,0,1,35,0,0,19,15,0,3,3,1,0,0,0,0,0,
1,John Lynch,46,S,DEN,1,1,0,,0,0,10,0,0,56.6,64.5,74.5,75.1,65.8,42.1,0,0,0,0,,33.3,1,0,0,0.0,0,1,0,14,0,16,42,0,0,0,0,0,28,42,3,23,0,1,1,0,0,1,0,0,0,
1,Jeff Zgonina,55,DI,HST,1,0,0,,0,0,13,0,0,,62.9,72.4,54.6,62.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,
1,Bryant Young,73,DI,SF,1,0,0,,0,0,28,0,0,,71.9,5.1,64.2,78.2,70.2,0,4,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,56,56,0,13,0,43,0,0,33,23,0,2,2,0,0,5,0,0,0,
1,Sam Adams,74,DI,DEN,1,1,0,,0,0,10,0,0,,62.3,75.5,67.2,58.7,71.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,22,22,4,18,0,0,0,0,5,17,0,3,3,0,0,1,0,0,0,
1,Kimo von Oelhoffen,90,DI,PHI,1,0,0,,0,0,24,0,0,,58.6,68.4,58.4,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
1,Kevin Carter,116,ED,TB,1,0,0,,0,1,30,0,0,60.1,65.6,77.0,61.0,64.1,69.2,1,1,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,2,47,47,0,4,0,43,0,0,21,24,0,2,2,2,0,2,0,0,0,
