Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Grayson McCall,98002,QB,NC STATE,1,75.0,40,40,9.5,2.78,0,1,2.4,65.0,26,0,9,13.3,44,4,19,248,69.8,81.9,83.6,61.4,0,1,46,1,11.1,104.0,2.3,1,3,0,0,3,1,2.2,318,8.0
1,Eli Holstein,172381,QB,PITTSBURGH,1,83.8,37,40,8.2,2.12,1,3,7.3,75.0,30,0,11,3.2,46,1,21,268,69.9,80.3,77.8,67.4,1,1,47,0,27.3,114.0,6.5,3,2,0,1,3,3,6.4,334,8.4
1,Kyle McCord,145053,QB,SYRACUSE,1,73.7,38,40,12.6,2.75,0,4,9.8,67.5,27,0,11,3.6,44,1,20,304,69.8,74.2,74.8,58.4,1,1,45,0,18.2,118.1,4.5,2,2,1,0,4,3,6.7,354,8.9
1,Maalik Murphy,157302,QB,DUKE,1,67.5,40,40,12.5,2.07,0,3,7.1,65.0,26,0,6,3.7,40,1,16,154,69.6,75.7,74.8,60.0,0,1,42,0,0.0,92.7,0.0,0,0,0,0,2,2,4.8,290,7.3
1,Garrett Nussmeier,146757,QB,LSU,1,78.9,38,39,7.2,2.22,0,1,2.6,76.9,30,0,6,0.0,39,0,17,211,68.9,81.1,80.2,,0,1,39,1,0.0,105.5,0.0,0,0,0,1,2,0,0.0,308,7.9
1,Grant Wilson,143041,QB,DOMINION,1,66.7,36,39,7.5,2.66,0,1,2.5,59.0,23,0,21,4.2,47,1,14,263,13.4,42.7,41.4,57.8,0,2,48,0,28.6,60.5,12.8,6,2,0,3,1,5,10.4,207,5.3
1,Brett Gabbert,97404,QB,MIAMI OH,1,73.5,34,38,10.1,2.56,1,0,0.0,57.9,22,0,13,12.0,42,3,15,221,69.6,60.9,61.2,57.0,0,2,42,1,23.1,53.3,7.1,3,1,0,3,0,2,4.8,227,6.0
1,Ethan Garbers,131896,QB,UCLA,1,57.1,35,38,11.7,3.31,0,1,2.3,50.0,19,0,14,5.0,44,1,13,324,69.9,49.8,49.7,57.1,0,2,49,0,7.1,60.4,2.3,1,5,0,3,1,3,6.1,272,7.2
1,Miller Moss,70727,QB,USC,1,84.4,32,37,7.4,2.35,3,5,12.5,73.0,27,0,15,0.0,39,0,16,326,34.7,91.8,91.5,60.0,0,0,42,0,13.3,114.5,5.1,2,0,1,1,1,1,2.4,378,10.2
1,Owen McCown,157688,QB,UTSA,1,80.6,36,37,6.7,2.44,0,1,2.5,73.0,27,0,14,6.9,47,2,15,331,70.8,83.1,79.8,70.5,0,0,50,0,35.7,127.8,10.6,5,4,0,1,3,0,0.0,336,9.1
1,Tyler Van Dyke,122225,QB,WISCONSIN,1,70.6,34,36,6.4,2.79,0,1,2.6,58.3,21,0,12,12.5,39,3,13,349,31.1,67.8,71.3,56.0,0,0,41,1,16.7,72.9,5.1,2,1,0,2,0,1,2.4,192,5.3
1,Joey Aguilar,174978,QB,APP STATE,1,72.2,36,36,9.4,2.33,0,1,2.6,61.1,22,0,9,15.4,38,4,11,108,70.7,74.7,74.5,61.8,0,0,40,0,0.0,109.3,0.0,0,2,0,0,2,1,2.5,326,9.1
1,Jake Garcia,143941,QB,E CAROLINA,1,72.7,33,36,9.1,2.33,1,3,8.1,63.9,23,0,10,4.2,40,1,18,156,70.4,69.5,62.2,75.1,0,3,41,0,10.0,93.3,2.5,1,3,0,2,4,3,7.3,308,8.6
1,Mikey Keene,70961,QB,FRESNO ST,1,76.5,34,36,7.8,2.12,1,1,2.7,61.1,22,0,11,15.4,39,4,13,169,69.0,71.8,71.1,,0,2,40,0,27.3,66.3,7.7,3,0,0,1,1,1,2.5,235,6.5
