Week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
1,Jason Brown,2341,C,BLT,1,0,3,,,0,0.0,0,62.5,0,100.0,46,46,,,0,0.0,0
1,Marshal Yanda,3702,G,BLT,1,0,3,,,0,0.0,0,76.3,0,100.0,46,46,,,0,0.0,0
1,Ben Grubbs,3645,G,BLT,1,0,3,,,0,0.0,0,48.5,0,100.0,46,46,,,0,0.0,0
1,Adam Terry,2281,T,BLT,1,0,3,,,0,0.0,0,69.7,0,100.0,46,46,,,0,0.0,0
1,Jared Gaither,4279,T,BLT,1,0,3,,,0,0.0,0,71.9,0,100.0,46,46,,,0,0.0,0
1,Todd Heap,801,TE,BLT,1,0,3,,,0,0.0,0,81.7,0,100.0,44,44,,,0,0.0,0
1,Derrick Mason,271,WR,BLT,1,0,3,,,0,0.0,0,74.4,0,100.0,43,43,,,0,0.0,0
1,Joe Flacco,4332,QB,BLT,1,0,3,,,0,0.0,0,60.0,0,91.3,42,46,,,0,0.0,0
1,Todd McClure,536,C,ATL,1,0,2,,,0,0.0,0,70.1,0,100.0,41,41,,,0,0.0,0
1,Justin Blalock,3655,G,ATL,1,0,2,,,0,0.0,0,81.8,1,100.0,41,41,,,0,0.0,0
1,Harvey Dahl,2553,G,ATL,1,0,2,,,0,0.0,0,77.3,0,100.0,41,41,,,0,0.0,0
1,Sam Baker,4335,T,ATL,1,0,2,,,0,0.0,0,71.9,0,100.0,41,41,,,0,0.0,0
1,Ben Hartsock,1789,TE,ATL,1,0,2,,,0,0.0,0,87.3,0,100.0,40,40,,,0,0.0,0
1,Kyle Orton,2323,QB,CHI,1,0,6,,,0,0.0,0,60.0,0,100.0,39,39,,,0,0.0,0
1,Levi Brown,3621,T,ARZ,1,0,1,,,0,0.0,0,88.4,0,100.0,39,39,,,0,0.0,0
1,Reggie Wells,1482,G,ARZ,1,0,1,,,0,0.0,0,76.0,1,100.0,39,39,,,0,0.0,0
1,John St. Clair,649,T,CHI,1,0,6,,,0,0.0,0,48.3,0,100.0,39,39,,,0,0.0,0
1,John Tait,448,T,CHI,1,0,6,,,0,0.0,0,79.6,0,100.0,39,39,,,0,0.0,0
1,Deuce Lutui,2986,G,ARZ,1,0,1,,,0,0.0,0,39.8,0,100.0,39,39,,,0,0.0,0
1,Olin Kreutz,369,C,CHI,1,0,6,,,0,0.0,0,81.5,2,100.0,39,39,,,0,0.0,0
1,Mike Gandy,834,T,ARZ,1,0,1,,,0,0.0,0,62.8,0,100.0,39,39,,,0,0.0,0
1,Lyle Sendlein,4062,C,ARZ,1,0,1,,,0,0.0,0,52.7,0,100.0,39,39,,,0,0.0,0
1,Josh Beekman,3746,G,CHI,1,0,6,,,0,0.0,0,78.6,0,100.0,39,39,,,0,0.0,0
1,Roberto Garza,856,G,CHI,1,0,6,,,0,0.0,0,80.5,0,100.0,39,39,,,0,0.0,0
1,Heath Miller,2247,TE,PIT,1,0,25,,,0,0.0,0,85.0,0,100.0,38,38,,,0,0.0,0
1,Chris Kemoeatu,2421,G,PIT,1,0,25,,,0,0.0,0,70.7,0,100.0,38,38,,,0,0.0,0
1,Willie Colon,3076,T,PIT,1,0,25,,,0,0.0,0,66.2,0,100.0,38,38,,,0,0.0,0
1,Matt Ryan,4317,QB,ATL,1,0,2,,,0,0.0,0,60.0,0,90.2,37,41,,,0,0.0,0
1,Marvel Smith,609,T,PIT,1,0,25,,,0,0.0,0,80.0,0,100.0,36,36,,,0,0.0,0
1,Kendall Simmons,1037,G,PIT,1,0,25,,,0,0.0,0,51.3,0,100.0,36,36,,,0,0.0,0
1,Justin Hartwig,1170,C,PIT,1,0,25,,,0,0.0,0,71.0,0,100.0,36,36,,,0,0.0,0
1,Leonard Pope,3017,TE,ARZ,1,0,1,,,0,0.0,0,66.6,0,100.0,35,35,,,0,0.0,0
1,Kurt Warner,112,QB,ARZ,1,0,1,,,0,0.0,0,60.0,0,87.2,34,39,,,0,0.0,0
1,Anquan Boldin,1369,WR,ARZ,1,0,1,,,0,0.0,0,59.4,0,100.0,34,34,,,0,0.0,0
1,Marc Colombo,1036,T,DAL,1,0,9,,,0,0.0,0,62.0,0,100.0,33,33,,,0,0.0,0
1,Flozell Adams,354,T,DAL,1,0,9,,,0,0.0,0,67.4,0,100.0,33,33,,,0,0.0,0
1,Leonard Davis,774,G,DAL,1,0,9,,,0,0.0,0,73.7,1,100.0,33,33,,,0,0.0,0
1,Jason Witten,1384,TE,DAL,1,0,9,,,0,0.0,0,79.9,0,100.0,33,33,,,0,0.0,0
1,Andre Gurode,1044,C,DAL,1,0,9,,,0,0.0,0,71.0,0,100.0,33,33,,,0,0.0,0
1,Cory Procter,2748,G,DAL,1,0,9,,,0,0.0,0,77.6,0,100.0,33,33,,,0,0.0,0
1,Ben Hamilton,864,G,DEN,1,0,10,,,0,0.0,0,67.9,0,100.0,32,32,,,0,0.0,0
1,Kevin Mawae,81,C,TEN,1,0,31,,,0,0.0,0,82.8,0,100.0,32,32,,,0,0.0,0
1,Michael Roos,2258,T,TEN,1,0,31,,,0,0.0,0,64.7,0,100.0,32,32,,,0,0.0,0
1,Casey Wiegmann,227,C,DEN,1,0,10,,,0,0.0,0,60.3,0,100.0,32,32,,,0,0.0,0
1,Ryan Clady,4326,T,DEN,1,0,10,,,0,0.0,0,67.3,0,100.0,32,32,,,0,0.0,0
1,Chris Kuper,3106,G,DEN,1,0,10,,,0,0.0,0,65.6,0,100.0,32,32,,,0,0.0,0
1,Eugene Amano,1953,G,TEN,1,0,31,,,0,0.0,0,57.3,1,100.0,32,32,,,0,0.0,0
1,Jake Scott,1862,G,TEN,1,0,31,,,0,0.0,0,84.5,0,100.0,32,32,,,0,0.0,0
1,Ryan Harris,3686,T,DEN,1,0,10,,,0,0.0,0,82.3,0,100.0,32,32,,,0,0.0,0
1,Tony Romo,1693,QB,DAL,1,0,9,,,0,0.0,0,60.0,0,97.0,32,33,,,0,0.0,0
