Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Derek Smith,266,LB,SD,1,0,0,,0,0,27,0,0,68.2,31.0,77.9,66.3,27.3,26.6,1,0,0,0,,60.0,3,0,0,0.0,0,0,0,46,0,14,46,0,0,0,0,0,0,46,4,28,0,1,2,0,0,1,0,0,0,
1,Bertrand Berry,267,ED,ARZ,1,0,0,,0,1,1,0,0,,82.7,72.6,76.5,66.1,68.1,0,2,0,0,,,0,0,0,0.0,0,1,0,1,0,0,18,17,1,1,4,11,0,1,13,5,0,1,0,0,0,3,0,0,0,
1,Mike Vrabel,268,ED,NE,1,0,1,,0,0,19,0,0,64.9,74.1,76.9,81.6,53.1,73.3,1,4,0,0,,0.0,0,0,0,0.0,0,2,0,18,1,8,61,42,0,0,41,1,0,19,27,26,0,3,1,0,0,7,0,0,0,
1,N.D. Kalu,279,ED,HST,1,0,0,100.0,0,0,13,0,0,57.1,28.1,73.0,61.8,31.2,,1,0,0,0,11,,0,0,0,112.5,1,0,0,0,0,1,16,16,0,3,0,13,0,0,7,8,0,0,0,0,1,1,0,11,6,11.0
1,Al Harris,282,CB,GB,1,0,0,0.0,0,0,12,0,0,64.2,61.7,79.6,,49.3,29.6,0,0,0,0,,33.3,1,1,1,39.6,0,0,0,1,68,48,76,0,0,0,0,0,0,76,0,28,7,0,2,0,4,0,0,0,0,
1,Grady Jackson,288,DI,ATL,1,1,1,,0,0,2,0,0,,93.3,76.2,68.0,93.5,70.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,29,29,1,28,0,0,0,0,15,14,0,3,3,2,0,1,0,0,0,
1,Jason Ferguson,293,DI,MIA,1,0,0,,0,0,17,0,0,,55.7,75.3,73.8,48.4,68.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,36,36,34,2,0,0,0,0,13,23,0,1,1,1,0,1,0,0,0,
1,Terry Cousin,302,CB,CLV,1,0,0,100.0,0,0,8,0,0,47.6,46.9,73.0,52.2,60.0,,0,0,0,0,25,,0,0,0,118.8,1,0,0,0,0,10,16,0,0,0,0,0,0,16,2,4,16,0,0,0,1,0,0,25,5,25.0
1,Travis Kirschke,310,DI,PIT,1,0,0,,0,0,25,0,0,,50.6,72.8,51.9,56.6,71.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,21,21,0,0,0,21,0,0,15,6,0,1,3,0,0,0,0,0,0,
1,Sammy Knight,311,S,NYG,1,0,0,,0,0,21,0,0,60.2,60.3,64.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
1,Bryan Robinson,321,DI,ARZ,1,0,0,,0,0,1,0,0,60.0,62.6,73.9,72.5,53.7,70.7,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,19,4,0,0,0,0,11,12,0,0,2,0,0,2,0,0,0,
1,Pat Williams,326,DI,MIN,1,1,0,,0,0,18,0,0,,40.2,0.0,53.7,48.7,68.4,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,46,46,0,46,0,0,0,0,21,25,0,1,1,0,0,0,0,0,0,
1,Jamal Williams,328,DI,SD,1,0,0,,0,0,27,0,0,,71.8,75.4,54.6,73.5,68.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,39,39,39,0,0,0,0,0,16,23,0,1,1,1,0,0,0,0,0,
1,Charles Woodson,330,CB,GB,1,0,0,25.0,0,0,12,0,0,82.3,68.3,78.3,,26.6,21.3,0,0,0,0,24,33.3,1,2,0,39.6,2,0,0,0,28,48,76,0,0,0,0,0,5,76,0,28,43,0,2,0,8,0,0,24,15,12.0
1,Greg Ellis,332,ED,DAL,1,0,0,100.0,0,0,9,0,0,65.6,52.5,78.7,50.9,48.2,25.4,0,0,0,0,14,66.7,2,0,0,118.8,1,0,0,0,8,11,45,37,0,0,32,5,0,8,18,16,0,1,1,0,1,0,0,14,17,14.0
1,Keith Brooking,336,LB,ATL,1,1,0,100.0,0,0,2,0,0,32.2,29.7,72.6,56.9,44.8,25.4,0,0,0,0,38,50.0,2,0,0,118.8,8,0,0,62,0,40,62,0,0,0,0,0,0,62,2,20,0,1,1,0,8,0,0,109,72,13.6
1,Takeo Spikes,337,LB,SF,1,0,0,0.0,0,0,28,0,0,63.6,80.9,70.9,57.9,79.3,79.9,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,33,0,7,34,1,0,0,1,0,0,33,2,25,0,2,3,1,1,0,0,0,0,
