week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Mike McGlinchey,46275,T,DEN,1,100,0,10,67.6,71.5,60,0,3,51,100,100,97.1,0,3,0,69,0,0,0,69,51,51,0,69,18,0
1,Quinn Meinerz,112915,G,DEN,1,100,0,10,43.1,54.3,38.5,3,0,51,100,100,97.1,0,3,0,69,0,0,0,69,51,51,69,0,18,0
1,Zach Frazier,123419,C,PIT,1,100,0,25,70.1,83.3,66,0,0,29,100,100,100,0,0,0,69,69,0,0,69,31,31,0,0,38,0
1,Ben Powers,41482,G,DEN,1,100,0,10,58.6,61.5,55.2,1,3,51,100,100,96.1,0,4,0,69,0,69,0,69,51,51,0,0,18,0
1,Spencer Anderson,81719,G,PIT,1,100,0,25,52.3,55.7,57.7,2,0,29,100,100,96.6,1,2,0,69,0,69,0,69,31,31,0,0,38,0
1,Dan Moore Jr.,60120,T,PIT,1,100,0,25,75.4,88.7,67,0,0,29,100,100,100,0,0,0,69,0,0,69,69,31,31,0,0,38,0
1,Luke Wattenberg,41024,C,DEN,1,100,0,10,56.5,63.4,60,1,1,51,100,100,98,1,2,0,69,69,0,0,69,51,51,0,0,18,0
1,Broderick Jones,124025,T,PIT,1,100,1,25,50.8,63.1,50.5,0,0,29,100,100,93.1,1,2,2,69,0,0,0,69,31,31,0,69,38,0
1,Laken Tomlinson,9461,G,SEA,1,100,0,29,71.1,55.8,72,1,0,28,100,100,98.2,0,1,0,67,0,67,0,67,35,35,0,0,32,0
1,Charles Cross,98401,T,SEA,1,100,0,29,94.8,79.5,96.1,0,0,28,100,100,100,0,0,0,67,0,0,67,67,35,35,0,0,32,0
1,Elgton Jenkins,46298,G,GB,1,100,0,12,78.4,78.9,74.1,0,0,38,100,100,100,0,0,0,67,2,65,0,67,43,43,0,0,24,0
1,Connor Williams,46216,C,SEA,1,100,0,29,68.4,66.2,67.6,1,0,28,100,100,98.2,0,1,0,67,67,0,0,67,35,35,0,0,32,0
1,Zach Tom,55443,T,GB,1,100,0,12,92,85,93.2,0,0,38,100,100,100,0,0,0,67,0,0,0,67,43,43,0,67,24,0
1,Rasheed Walker,81798,T,GB,1,100,0,12,60.9,66,53.8,0,3,38,100,100,93.4,2,4,1,67,0,0,67,67,43,43,0,0,24,0
