week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Amani Hooker,51378,S,TEN,1,0,6.8,33.3,97.1,16,5.3,0,0,1,16.7,31,82,87.9,74.9,66.7,64.4,86,0,8,0,0,1,0,42.4,2,34,35,1,2,6,0,9,16,0.3,4.5
1,Marcus Epps,51391,S,LV,1,0,7.4,80,96.7,7,5.6,0,0,0,0,23,51.3,51.4,76.5,60,60.5,46.6,0,11,40,2,0,0,92.5,4,29,30,1,3,5,0,31,9,1.1,7.8
1,Jaylinn Hawkins,51423,S,NE,1,0,13,100,94.1,14,14,0,0,0,0,19,56.8,52.5,73.6,60,60,71.6,0,12,0,0,0,0,116.7,1,16,17,0,1,1,0,12,-1,0.9,12
1,Kaden Elliss,51485,LB,ATL,1,2,0.3,100,93.5,9.3,9.3,0,0,0,0,2,68.2,67,77.7,56,62.3,57.7,0,10,0,0,0,0,93.1,3,29,31,0,1,3,0,19,18,0.7,6.3
1,J.T. Gray,51495,S,NO,1,0,,,85.7,,,0,0,0,,20,61.6,61.4,72.1,60,,,0,,,0,0,0,0,0,6,7,0,0,0,0,0,0,0,
1,Kenny Moore II,51596,CB,IND,1,0,1.5,100,95,18,18,0,0,0,0,14,90.9,80.3,75.8,57.8,39.2,42.9,0,11,0,0,0,0,147.9,2,38,40,3,4,2,1,20,17,0.6,10
1,Paulson Adebo,52280,CB,NO,1,0,7.1,50,100,7.6,3.8,0,0,3,30,20,71.6,73.3,77.5,,72.7,78.9,0,11,0,0,1,1,58.8,5,41,41,1,4,10,0,36,4,0.9,7.2
1,Ivan Pace Jr.,53587,LB,MIN,1,1,-7,100,74.1,19,19,0,0,0,0,18,64.6,82.2,71.6,69.1,86,51.5,0,12,25,1,0,0,116.7,1,20,27,2,2,1,0,12,19,0.6,12
1,Carrington Valentine,53750,CB,GB,1,0,,,100,,,0,0,0,,12,62.2,63.5,68,,60,,0,,,0,0,0,0,0,4,4,0,0,0,0,0,0,0,
1,Coby Bryant,55088,S,SEA,1,0,,,100,,,0,0,0,,29,60,60,62.9,,,,0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
