Week,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
1,A.J. Green,6156,WR,CIN,1,9,0,7,15.5,0,50.0,0.0,0,1,0.0,0,1,0,64.7,62.4,0,14,0.0,0,13,1,100.0,13,72.9,2,15.4,0,14,2,2.0,14.0,1.08,0,14.0,2,50.0,50.0,1,2,0.0,0,3,0,70.5,78.6,2,27,0.0,0,19,3,89.5,17,41.7,6,35.3,0,54,14,4.7,18.0,3.18
1,Keenan Allen,7857,WR,LAC,1,9,0,27,8.5,0,75.0,,0,0,0.0,0,2,0,70.5,71.5,1,9,0.0,0,14,3,100.0,14,52.1,4,28.6,0,26,6,2.0,8.7,1.86,0,4.5,0,25.0,50.0,1,2,66.7,2,0,0,26.5,39.1,0,4,0.0,0,19,1,89.5,17,39.6,4,23.5,0,4,0,0.0,4.0,0.24
1,Jermaine Kearse,7428,WR,NYJ,1,9,0,22,7.5,0,50.0,50.0,1,2,0.0,0,1,0,64.7,64.6,0,12,0.0,0,10,1,100.0,10,68.8,2,20.0,0,12,3,3.0,12.0,1.2,0,8.4,0,85.7,50.0,1,2,0.0,0,3,0,74.6,64.8,1,18,0.0,0,29,6,96.6,28,55.1,7,25.0,0,47,8,1.3,7.8,1.68
1,Rishard Matthews,7211,WR,TEN,1,8,0,31,9.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,69.8,0,9,0.0,0,5,1,100.0,5,104.2,1,20.0,0,9,0,0.0,9.0,1.8,0,13.1,1,57.1,100.0,1,1,0.0,0,3,0,72.1,69.9,0,24,0.0,0,34,4,97.1,33,86.6,7,21.2,0,62,14,3.5,15.5,1.88
1,Tyreek Hill,10799,WR,KC,1,8,0,16,5.8,0,75.0,0.0,0,1,25.0,1,1,0,36.8,54.4,0,14,4.8,1,21,3,95.2,20,92.7,4,20.0,0,27,20,6.7,9.0,1.35,0,17.8,0,100.0,,0,0,0.0,0,4,0,72.1,92.8,0,75,0.0,0,12,4,100.0,12,158.3,4,33.3,1,106,35,8.8,26.5,8.83
1,Charles Clay,6326,TE,BUF,1,8,0,4,3.0,0,50.0,0.0,0,2,0.0,0,1,0,68.3,48.5,0,4,0.0,0,14,2,92.9,13,95.8,4,30.8,1,5,3,1.5,2.5,0.38,0,11.3,0,66.7,,0,0,0.0,0,2,0,68.3,80.5,0,35,11.8,2,17,2,88.2,15,109.7,3,20.0,0,48,19,9.5,24.0,3.2
1,Sterling Shepard,10674,WR,NYG,1,8,0,21,4.5,0,100.0,,0,0,0.0,0,1,0,68.3,76.0,0,9,0.0,0,2,2,100.0,2,89.6,2,100.0,0,11,2,1.0,5.5,5.5,0,4.0,1,83.3,100.0,1,1,0.0,0,2,1,73.4,53.0,0,12,0.0,0,40,5,92.5,37,89.6,6,16.2,0,33,15,3.0,6.6,0.89
1,Jordan Reed,7866,TE,WAS,1,8,0,32,5.5,0,50.0,50.0,1,2,50.0,1,1,0,28.9,55.7,0,9,12.5,1,8,1,75.0,6,62.5,2,33.3,0,9,5,5.0,9.0,1.5,0,6.0,1,80.0,,0,0,0.0,0,0,0,72.1,49.6,0,9,26.5,9,34,4,73.5,25,89.2,5,20.0,0,27,11,2.8,6.8,1.08
1,John Brown,8726,WR,ARZ,1,8,0,1,9.0,0,100.0,,0,0,0.0,0,1,0,64.7,68.0,0,9,0.0,0,7,1,71.4,5,104.2,1,20.0,0,9,0,0.0,9.0,1.8,0,13.3,0,42.9,100.0,1,1,0.0,0,2,0,72.1,69.7,1,12,0.0,0,38,3,89.5,34,11.9,7,20.6,0,23,0,0.0,7.7,0.68
1,Jordy Nelson,4350,WR,GB,1,8,0,12,4.0,0,100.0,,0,0,0.0,0,1,0,64.7,60.6,0,5,0.0,0,19,1,89.5,17,87.5,1,5.9,0,5,1,1.0,5.0,0.29,0,12.9,0,85.7,0.0,0,1,0.0,0,4,0,74.6,77.5,0,32,0.0,0,36,6,83.3,30,150.3,7,23.3,1,74,3,0.5,12.3,2.47
