Week,player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
1,Charlie Frye,2284,QB,CLV,1,22.37,0,37,8,73.1,26,27,9.5,3.49,0,0,0.0,59.3,16,17,15.8,37,100.0,3,9,,28.9,60.4,78.6,57.2,,67.7,0,2,42,29.4,53.3,13.5,5,5,0,1,1,1,2.4,132,4.9,68.4,19,19,11.1,3.02,0,0,0.0,52.6,10,9,23.1,25,67.6,3,4,,26.1,49.1,77.7,52.8,,47.1,0,2,29,44.4,25.4,16.0,4,2,0,0,0,1,3.4,87,4.6,85.7,7,8,5.3,4.47,0,0,0.0,75.0,6,8,0.0,12,32.4,0,5,,72.8,81.0,73.2,67.4,,83.0,0,0,13,12.5,127.6,8.3,1,3,0,1,1,0,0.0,45,5.6,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.05
1,Byron Leftwich,1323,QB,JAX,1,13.78,0,37,15,73.3,30,32,8.7,2.59,2,1,3.1,68.8,22,10,0.0,35,94.6,0,14,,38.3,60.8,79.0,61.8,,54.6,0,1,35,10.0,86.5,2.9,1,1,0,0,1,2,5.7,228,7.1,66.7,24,25,8.3,2.26,1,1,4.0,64.0,16,5,0.0,28,75.7,0,10,,31.3,65.4,78.6,66.8,,54.6,0,0,28,20.0,98.6,3.6,1,1,0,0,1,1,3.6,179,7.2,87.5,8,9,7.5,3.51,1,0,0.0,77.8,7,6,0.0,9,24.3,0,4,,70.9,46.2,71.9,47.2,,,0,1,9,0.0,53.9,0.0,0,0,0,0,0,1,11.1,58,6.4,0,50.0,2,2,-1.0,2.15,0,0,0.0,50.0,1,1,0.0,2,5.4,0,0,,63.6,53.5,66.9,54.2,,,0,0,2,0.0,62.5,0.0,0,0,0,0,0,0,0.0,9,4.5,-0.72
1,Drew Bledsoe,36,QB,DAL,1,-18.52,0,36,9,56.7,30,32,11.0,2.86,1,1,2.8,50.0,16,19,5.9,35,97.2,1,10,,79.1,51.6,78.8,51.2,,60.2,0,3,39,10.5,47.1,5.7,2,1,0,1,1,4,10.3,246,7.7,60.0,25,27,12.2,2.77,1,1,3.2,51.9,14,14,6.7,29,80.6,1,9,,78.2,60.8,78.5,60.1,,60.2,0,2,33,7.1,61.2,3.4,1,1,0,1,1,3,9.1,223,8.3,40.0,5,6,4.8,3.23,0,0,0.0,33.3,2,5,0.0,7,19.4,0,1,,69.6,27.3,71.1,28.3,,,0,1,7,20.0,6.3,14.3,1,0,0,1,0,1,14.3,23,3.8,0,,0,1,,2.8,0,0,0.0,0.0,0,0,,1,2.8,0,0,,60.4,60.0,64.6,60.0,,,0,0,1,,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,-4.43
1,Chad Pennington,596,QB,NYJ,1,30.0,0,36,22,83.3,30,32,11.1,2.37,0,3,8.6,75.0,24,14,4.0,35,97.2,1,16,,78.8,91.6,79.5,91.8,,52.3,2,0,38,14.3,127.0,5.7,2,1,0,0,2,0,0.0,319,10.0,82.1,28,30,9.3,2.22,0,2,6.1,70.0,21,11,8.7,32,88.9,2,13,,78.3,83.9,79.4,84.9,,52.3,2,0,35,9.1,116.1,3.1,1,1,0,0,2,0,0.0,241,8.0,100.0,3,3,24.0,3.2,0,1,33.3,100.0,3,3,0.0,4,11.1,0,3,,66.9,95.7,69.2,94.3,,,0,0,4,33.3,118.8,25.0,1,0,0,0,0,0,0.0,78,26.0,0,100.0,1,1,0.0,0.8,0,0,0.0,0.0,0,0,100.0,1,2.8,1,0,,60.4,56.1,64.6,57.2,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,17.97
1,David Carr,1009,QB,HST,1,-19.57,0,35,13,90.0,20,25,7.2,3.01,2,1,3.7,68.0,17,18,5.6,33,94.3,1,10,,78.5,69.7,78.3,72.1,,53.1,0,0,35,27.8,107.6,15.2,5,3,0,3,1,0,0.0,213,8.5,85.0,20,23,5.1,2.86,2,1,4.2,69.6,16,14,5.9,29,82.9,1,8,,77.6,68.4,77.9,71.3,,53.1,0,0,30,21.4,89.2,10.3,3,3,0,1,0,0,0.0,161,7.0,100.0,2,4,16.0,3.48,0,0,0.0,50.0,2,4,0.0,6,17.1,0,2,,69.6,67.8,71.1,67.1,,,0,0,7,50.0,132.3,33.3,2,0,0,2,1,0,0.0,47,11.8,0,50.0,2,2,-5.5,2.2,0,0,0.0,50.0,1,0,0.0,2,5.7,0,0,,63.6,62.2,66.9,61.9,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,-5,-2.5,4.75
1,Eli Manning,1722,QB,NYG,1,-38.33,0,34,21,65.6,32,32,9.7,2.48,0,1,3.0,56.3,18,11,14.3,32,94.1,3,12,,27.3,52.8,0.0,60.4,,55.7,0,1,33,0.0,85.0,0.0,0,0,0,0,2,3,9.1,217,6.8,73.3,30,30,9.1,2.45,0,1,3.2,63.3,19,10,13.6,30,88.2,3,14,,26.8,57.1,0.0,65.1,,55.7,0,1,31,0.0,96.7,0.0,0,0,0,0,2,3,9.7,241,8.0,25.0,4,4,7.0,2.53,0,0,0.0,25.0,1,1,0.0,4,11.8,0,0,,66.9,43.5,69.2,44.9,,,0,0,4,0.0,39.6,0.0,0,0,0,0,0,0,0.0,6,1.5,0,100.0,2,2,-4.0,2.0,0,0,0.0,100.0,2,0,0.0,2,5.9,0,2,,63.6,62.0,66.9,61.8,,,0,0,2,,118.8,0.0,0,0,0,0,0,0,0.0,30,15.0,-6.53
1,Chris Simms,1411,QB,TB,1,19.0,0,32,30,74.1,27,29,4.9,2.63,2,0,0.0,58.6,17,14,15.0,32,100.0,3,6,,77.7,45.4,77.7,46.2,,58.3,0,3,32,14.3,30.5,6.3,2,1,0,0,0,2,6.3,133,4.6,69.6,23,25,5.3,2.44,2,0,0.0,56.0,14,12,12.5,27,84.4,2,6,,76.8,43.8,77.3,44.2,,,0,3,27,16.7,28.3,7.4,2,0,0,0,0,2,7.4,115,4.6,100.0,4,4,2.3,3.62,0,0,0.0,75.0,3,2,25.0,5,15.6,1,0,,68.0,60.2,69.9,63.4,,58.3,0,0,5,0.0,83.3,0.0,0,1,0,0,0,0,0.0,18,4.5,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-0.1
1,Brett Favre,14,QB,GB,1,-1.85,0,32,12,58.3,24,26,13.4,2.5,1,1,3.7,50.0,13,8,7.1,29,90.6,1,8,,77.8,42.5,78.3,42.9,,59.4,0,2,31,37.5,37.8,10.3,3,0,0,1,0,3,9.7,163,6.3,60.0,25,27,12.0,2.45,1,1,3.6,51.9,14,7,6.7,29,90.6,1,7,,77.8,40.7,78.3,41.2,,59.4,0,2,31,28.6,36.8,6.9,2,0,0,1,0,3,9.7,145,5.4,50.0,2,2,8.0,2.17,0,0,0.0,50.0,1,1,0.0,3,9.4,0,1,,65.5,62.1,68.2,61.9,,,0,0,3,100.0,95.8,33.3,1,0,0,0,0,0,0.0,25,12.5,0,66.7,3,3,-1.3,1.67,0,0,0.0,66.7,2,0,0.0,3,9.4,0,0,,65.5,54.8,68.2,55.2,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,7,2.3,7.13
1,Brad Johnson,31,QB,MIN,1,-21.59,0,31,18,76.0,25,28,14.7,2.64,0,3,9.1,53.6,15,6,21.1,29,93.5,4,10,,78.2,76.6,79.3,76.6,,56.7,1,0,34,16.7,91.4,3.4,1,0,0,2,1,2,5.9,220,7.9,84.2,19,22,13.3,2.36,1,3,11.5,59.1,13,4,18.8,22,71.0,3,9,,76.9,89.1,78.8,89.2,,56.7,1,0,26,0.0,105.7,0.0,0,0,0,1,1,0,0.0,207,9.4,57.1,7,8,16.1,3.28,0,0,0.0,37.5,3,2,25.0,9,29.0,1,1,,70.9,38.2,72.3,39.8,,,0,0,10,50.0,45.8,11.1,1,0,0,1,0,2,20.0,20,2.5,0,100.0,1,2,-3.0,2.35,1,0,0.0,50.0,1,0,0.0,2,6.5,0,0,,63.6,58.5,66.9,58.6,,,0,0,2,,58.3,0.0,0,0,0,0,0,0,0.0,7,3.5,-6.91
1,Charlie Batch,367,QB,PIT,1,0.0,0,30,25,65.0,20,22,11.5,3.27,0,1,4.0,59.1,13,16,0.0,27,90.0,0,10,,36.3,57.4,79.0,65.4,,40.0,1,0,30,18.8,127.8,11.1,3,2,0,1,3,1,3.3,195,8.9,72.2,18,20,8.2,2.94,0,1,4.3,60.0,12,13,7.7,24,80.0,1,10,,33.3,54.2,78.8,62.5,,40.0,1,0,27,15.4,106.5,8.3,2,2,0,1,2,1,3.7,101,5.1,60.0,5,5,14.2,3.87,0,0,0.0,60.0,3,5,0.0,6,20.0,0,2,,68.9,70.7,70.6,69.7,,,0,0,6,20.0,143.8,16.7,1,0,0,0,1,0,0.0,108,21.6,0,100.0,3,3,-4.0,1.8,0,0,0.0,66.7,2,2,33.3,3,10.0,1,2,,65.5,62.2,68.2,61.9,,,0,0,3,0.0,77.1,0.0,0,0,0,0,0,0,0.0,14,4.7,16.55
