Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Charles Woodson,330,S,OAK,1,0,22.0,0.0,97.4,,34.0,0,0,0,0.0,23,57.0,45.6,74.2,60.0,34.8,52.1,0,,0.0,0,0,0,39.6,0,37,38,1,4,1,0,0,0,0.0,
1,Julius Peppers,1010,ED,GB,1,0,,,3.1,,,0,0,0,,12,60.0,86.7,79.4,76.6,76.8,76.6,0,,,0,0,0,0.0,0,1,32,2,0,0,0,0,0,0.0,
1,James Harrison,1251,ED,PIT,1,0,7.0,100.0,5.3,1.0,1.0,0,0,0,0.0,25,49.2,48.0,76.8,55.6,56.2,75.0,0,12,0.0,0,0,0,116.7,1,1,19,0,1,1,0,12,5,12.0,12.0
1,Terence Newman,1321,CB,MIN,1,1,4.5,75.0,100.0,10.0,7.5,0,0,0,0.0,18,48.6,59.6,75.5,,81.6,61.9,0,9,20.0,1,0,1,85.4,3,31,31,1,3,4,0,20,21,0.7,6.7
1,Terrell Suggs,1326,ED,BLT,1,0,,,20.6,,,0,0,0,,3,75.1,62.5,77.6,64.3,44.8,,0,,,0,0,0,0.0,0,7,34,0,0,0,0,0,0,0.0,
1,Calvin Pace,1334,ED,NYJ,1,0,,,20.7,,,0,0,0,,22,63.8,51.7,79.6,47.7,55.6,24.8,0,,,0,0,0,0.0,0,6,29,0,0,0,0,0,0,0.0,
1,Charles Tillman,1351,CB,CAR,1,0,23.3,33.3,97.3,35.0,11.7,0,0,0,0.0,5,62.8,64.1,78.5,59.0,67.4,78.1,0,27,0.0,0,0,0,67.4,1,36,37,0,3,3,0,27,2,0.8,27.0
1,Rashean Mathis,1355,CB,DET,1,0,7.3,80.0,100.0,5.4,4.3,0,0,1,10.0,11,53.6,57.5,78.8,,72.0,59.6,0,20,20.0,2,0,0,101.7,8,43,43,2,8,10,0,84,32,2.0,10.5
1,Cullen Jenkins,1637,DI,NYG,1,0,,,2.9,,,0,0,0,,21,60.0,42.0,0.0,49.5,55.6,69.2,0,,,0,0,1,0.0,0,1,35,0,0,0,0,0,0,0.0,
1,DeAngelo Hall,1729,CB,WAS,1,1,6.3,50.0,100.0,14.5,7.3,0,0,1,25.0,32,68.6,69.8,76.9,,67.9,81.0,0,15,0.0,0,1,0,68.8,2,30,30,1,5,4,0,24,2,0.8,12.0
1,Karlos Dansby,1754,LB,CLV,1,0,,,91.7,,,0,0,0,,8,76.4,74.2,78.7,56.2,63.8,32.1,0,,,0,0,0,0.0,0,22,24,0,0,0,0,0,0,0.0,
1,Daryl Smith,1760,LB,BLT,1,0,5.1,71.4,82.2,7.4,5.3,0,1,2,28.6,3,80.9,72.9,79.9,50.6,54.9,58.0,0,15,33.3,1,2,0,83.0,5,37,45,1,2,7,0,36,21,1.0,7.2
1,Will Allen,1832,S,PIT,1,0,5.4,60.0,93.9,9.7,5.8,0,0,0,0.0,25,61.9,65.7,75.6,76.3,61.7,57.6,0,7,0.0,0,0,0,107.5,3,31,33,1,3,5,1,19,16,0.7,6.3
1,Jared Allen,1847,ED,CHI,1,0,1.0,100.0,8.3,2.0,2.0,0,0,0,0.0,6,62.3,54.2,0.0,53.7,66.5,70.5,0,9,0.0,0,0,1,104.2,1,2,24,0,1,1,0,9,8,4.5,9.0
1,Mike Adams,1972,S,IND,1,0,-2.0,100.0,95.8,11.0,11.0,0,0,0,0.0,14,59.2,53.2,76.8,59.1,47.4,27.6,0,22,33.3,1,0,0,118.8,2,23,24,1,2,2,0,26,30,1.2,13.0
1,Adam Jones,2223,CB,CIN,1,0,3.7,71.4,100.0,6.6,4.7,1,0,1,14.3,7,79.3,84.2,0.0,,92.0,82.6,0,24,0.0,0,1,1,86.6,5,34,34,4,6,7,0,42,25,1.3,8.4
1,Antrel Rolle,2225,S,CHI,1,0,0.3,100.0,100.0,7.3,7.3,0,0,0,0.0,6,60.6,66.3,73.8,,73.3,58.4,0,9,25.0,1,0,0,91.7,4,34,34,1,3,4,0,24,23,0.8,6.0
