Week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Jason Brown,2341,C,SL,1,100.0,0,26,57.3,65.6,52.2,0,1,57,100.0,100.0,97.4,0,2,1,82,82,0,0,82,58,58,0,0,24,0
1,Jason Smith,4925,T,SL,1,100.0,0,26,74.2,78.8,65.2,1,0,57,100.0,100.0,99.1,0,1,0,82,0,0,0,82,58,58,0,82,24,0
1,Ben Grubbs,3645,G,BLT,1,100.0,0,3,63.3,85.7,53.6,0,0,40,100.0,100.0,100.0,0,0,0,82,0,82,0,82,46,46,0,0,36,0
1,Chris Chester,3001,G,BLT,1,100.0,0,3,65.7,66.3,62.8,1,0,40,100.0,100.0,98.7,1,1,0,82,0,0,0,82,46,46,82,0,36,0
1,Jacob Bell,1859,G,SL,1,100.0,0,26,81.7,76.6,80.8,0,3,57,100.0,100.0,97.4,0,3,0,82,0,82,0,82,58,58,0,0,24,0
1,Michael Oher,4946,T,BLT,1,100.0,0,3,67.7,81.9,53.9,0,1,40,100.0,100.0,98.7,0,1,0,82,0,0,81,82,46,46,0,0,36,1
1,Adam Goldberg,1612,G,SL,1,100.0,0,26,63.7,78.3,61.4,1,0,57,100.0,100.0,99.1,1,1,0,82,0,0,0,82,58,58,82,0,24,0
1,Matt Birk,404,C,BLT,1,100.0,0,3,59.1,72.7,54.4,0,1,40,100.0,100.0,98.7,0,1,0,82,82,0,0,82,46,46,0,0,36,0
1,Rodger Saffold,5558,T,SL,1,100.0,0,26,59.9,76.9,53.7,3,0,57,100.0,100.0,97.4,0,3,0,82,0,0,81,82,58,58,0,0,24,1
1,Marshal Yanda,3702,T,BLT,1,96.3,1,3,60.4,74.1,57.4,0,2,37,92.5,93.5,97.3,1,2,0,79,0,0,0,82,43,46,0,74,36,8
1,Bobbie Williams,628,G,CIN,1,100.0,0,7,74.9,67.9,74.6,0,2,52,100.0,100.0,98.1,0,2,0,78,0,0,0,78,53,53,78,0,25,0
