Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Everson Griffen,5624,ED,MIN,1,0,,,4.3,,,0,0,0,,18,60.2,60.1,17.7,70.6,47.7,26.6,0,,,0,0,1,0.0,0,2,46,1,0,0,0,0,0,0.0,
1,Sherrick McManis,5667,CB,CHI,1,0,,,100.0,,,0,0,0,,6,61.5,62.1,66.5,,,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
1,Reshad Jones,5686,S,MIA,1,0,6.0,100.0,72.7,7.0,7.0,0,0,0,0.0,17,67.9,70.9,76.2,58.2,69.1,77.0,0,6,0.0,0,0,0,91.7,1,8,11,1,1,1,0,6,0,0.9,6.0
1,Darian Stewart,5820,S,TB,1,0,7.0,50.0,100.0,25.0,12.5,0,0,0,0.0,30,51.9,44.2,0.0,,54.5,27.2,0,19,50.0,1,0,1,83.3,1,31,31,0,1,2,0,19,15,0.8,19.0
1,Tramaine Brock Sr.,5903,CB,ARZ,1,0,14.6,37.5,97.9,15.0,5.6,0,1,2,25.0,1,59.7,61.3,78.0,59.1,67.0,81.0,0,47,0.0,0,2,0,115.6,3,47,48,1,2,8,1,82,41,1.8,27.3
1,Anthony Levine,6013,S,BLT,1,0,,,58.3,,,0,0,0,,3,62.0,63.1,74.5,72.5,60.0,,0,,,0,0,0,0.0,0,7,12,0,0,0,0,0,0,0.0,
1,Andrew Sendejo,6118,S,PHI,1,0,4.0,100.0,100.0,15.5,15.5,0,0,0,0.0,24,61.3,62.0,79.1,,60.0,40.6,0,48,25.0,1,0,0,158.3,2,35,35,0,3,2,1,55,47,1.8,27.5
1,Von Miller,6154,ED,DEN,1,0,,,15.4,,,0,0,0,,10,65.2,76.0,79.3,64.8,73.6,43.3,0,,0.0,0,0,0,0.0,0,4,26,1,1,0,0,0,0,0.0,
1,Ryan Kerrigan,6168,ED,WAS,1,0,,,6.9,,,0,0,0,,32,60.8,63.4,80.4,67.5,54.5,69.6,0,,,0,0,0,0.0,0,2,29,0,0,0,0,0,0,0.0,
1,Prince Amukamara,6171,CB,CHI,1,0,24.0,50.0,97.5,17.5,8.8,0,0,1,25.0,6,65.8,67.3,79.6,60.0,68.0,77.0,0,47,0.0,0,1,0,95.8,2,39,40,0,2,4,0,58,9,1.7,29.0
1,Cameron Jordan,6176,ED,NO,1,0,,,7.5,,,0,0,0,,20,61.1,71.1,14.6,65.4,76.8,28.5,0,,,0,0,1,0.0,0,3,40,1,0,0,0,0,0,0.0,
1,Jimmy Smith,6179,CB,BLT,1,0,,,100.0,,,0,0,0,,3,64.7,65.0,70.5,,60.0,,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
1,Brooks Reed,6194,ED,ARZ,1,0,,,12.5,,,0,0,0,,1,61.5,56.4,73.2,52.8,59.9,69.9,0,,0.0,0,0,0,0.0,0,1,8,1,1,0,0,0,0,0.0,
1,Justin Houston,6222,ED,IND,1,0,,,11.8,,,0,0,0,,14,62.7,78.1,4.6,86.8,58.8,75.1,0,,0.0,0,0,1,0.0,0,4,34,1,1,0,0,0,0,0.0,
