Abbr,League,Full Name,Divison,Conf
KEISER,NCAA,,,
KENNESAW,NCAA,,,
KENT STATE,NCAA,,,
KENTUCKY,NCAA,,,
KY STATE,NCAA,,,
KYCRST,NCAA,,,
LA LAFAYET,NCAA,,,
LA MONROE,NCAA,,,
LA TECH,NCAA,,,
LAFAYETTE,NCAA,,,
LAMAR,NCAA,,,
LANECOL,NCAA,,,
LEHIGH,NCAA,,,
LENOIR,NCAA,,,
LIBERTY,NCAA,,,
LIMEST,NCAA,,,
LINC BL TG,NCAA,,,
LINCOK,NCAA,,,
LINCOLN,NCAA,,,
LIUSHAR,NCAA,,,
LNDNWD,NCAA,,,
LOUCHR,NCAA,,,
LOUCOL,NCAA,,,
LOUISVILLE,NCAA,,,
LSU,NCAA,,,
LVLEOP,NCAA,,,
MAINE,NCAA,,,
MARIST,NCAA,,,
MARS HILL,NCAA,,,
MARSHALL,NCAA,,,
MARYLAND,NCAA,,,
MCNEESE,NCAA,,,
MEMPHIS,NCAA,,,
MERCER,NCAA,,,
MERCYHURST,NCAA,,,
MERRIMACK,NCAA,,,
MHMRTI,NCAA,,,
MIAMI FL,NCAA,,,
MIAMI OH,NCAA,,,
MICH STATE,NCAA,,,
MICHIGAN,NCAA,,,
MIDDLE TN,NCAA,,,
MILES,NCAA,,,
MINNESOTA,NCAA,,,
MISS COL,NCAA,,,
MISS STATE,NCAA,,,
MISSOURI,NCAA,,,
MITECH,NCAA,,,
MO STATE,NCAA,,,
MO WE ST,NCAA,,,
MONMOUTH,NCAA,,,
MONTANA,NCAA,,,
MONTANA ST,NCAA,,,
MOREHEAD,NCAA,,,
MORGAN ST,NCAA,,,
MS VLY ST,NCAA,,,
MURRAY ST,NCAA,,,
MWSTATE,NCAA,,,
N ALABAMA,NCAA,,,
N ARIZONA,NCAA,,,
N CAROLINA,NCAA,,,
N COLORADO,NCAA,,,
N DAK ST,NCAA,,,
N DAKOTA,NCAA,,,
N GREENVLE,NCAA,,,
N ILLINOIS,NCAA,,,
N IOWA,NCAA,,,
N MEX HIGH,NCAA,,,
N TEXAS,NCAA,,,
NAUSTA,NCAA,,,
NAVY,NCAA,,,
NC A&T,NCAA,,,
NC CENT,NCAA,,,
NC STATE,NCAA,,,
NEBRASKA,NCAA,,,
NEVADA,NCAA,,,
NEW HAMP,NCAA,,,
NEW MEX ST,NCAA,,,
NEW MEXICO,NCAA,,,
NEWBER,NCAA,,,
NEWHVN,NCAA,,,
NICHOLLS,NCAA,,,
NMiU,NCAA,,,
NORFOLK,NCAA,,,
NORTHEA ST,NCAA,,,
NOTRE DAME,NCAA,,,
NWESTERN,NCAA,,,
NWREDR,NCAA,,,
NWSTATE,NCAA,,,
OHIO,NCAA,,,
OHIO STATE,NCAA,,,
OKLA STATE,NCAA,,,
OKLAHOMA,NCAA,,,
OLE MISS,NCAA,,,
OREGON,NCAA,,,
OREGON ST,NCAA,,,
PACENY,NCAA,,,
PENN,NCAA,,,
PENN STATE,NCAA,,,
PITT GOR,NCAA,,,
PITTSBURGH,NCAA,,,
POINTVILLE,NCAA,,,
PORTLAND,NCAA,,,
PRESBYTERN,NCAA,,,
PRINCETON,NCAA,,,
PRVIEW A&M,NCAA,,,
PSTEAG,NCAA,,,
PURDUE,NCAA,,,
RHODE ISLD,NCAA,,,
RICE,NCAA,,,
RICHMOND,NCAA,,,
RNHEAG,NCAA,,,
ROB MORRIS,NCAA,,,
ROSEHU,NCAA,,,
RU,NCAA,,,
RUTGERS,NCAA,,,
S ALABAMA,NCAA,,,
S CAROLINA,NCAA,,,
S DAK ST,NCAA,,,
S DAKOTA,NCAA,,,
S DIEGO ST,NCAA,,,
S ILLINOIS,NCAA,,,
S JOSE ST,NCAA,,,
SACR HEART,NCAA,,,
SACRAMENTO,NCAA,,,
SAMFORD,NCAA,,,
SAN DIEGO,NCAA,,,
SCAR STATE,NCAA,,,
SE LA,NCAA,,,
SE MO ST,NCAA,,,
SHAWBE,NCAA,,,
SHORTER,NCAA,,,
SHPHRD,NCAA,,,
SIMONFRA,NCAA,,,
SM HOUSTON,NCAA,,,
SMU,NCAA,,,
SO MISS,NCAA,,,
SO UTAH,NCAA,,,
SOCTOW,NCAA,,,
SOUTHERN U,NCAA,,,
SRSU,NCAA,,,
ST ANSELM,NCAA,,,
ST AUGSTNE,NCAA,,,
ST FRANCIS,NCAA,,,
STANFORD,NCAA,,,
STANKN,NCAA,,,
STETSON,NCAA,,,
STF AUSTIN,NCAA,,,
STHLSK,NCAA,,,
STJOHN,NCAA,,,
STNY BROOK,NCAA,,,
STOLAF,NCAA,,,
STTHOM,NCAA,,,
STTMFL,NCAA,,,
SVANNAH ST,NCAA,,,
SVSU,NCAA,,,
SW BAPTIST,NCAA,,,
SWMINN,NCAA,,,
SYRACUSE,NCAA,,,
TARLETON,NCAA,,,
TAYLOR,NCAA,,,
TCU,NCAA,,,
TEMPLE,NCAA,,,
TENN MARTN,NCAA,,,
TENN STATE,NCAA,,,
TENN TECH,NCAA,,,
TENNESSEE,NCAA,,,
TEXAS,NCAA,,,
TEXAS A&M,NCAA,,,
TEXAS ST,NCAA,,,
TEXAS STHN,NCAA,,,
TEXAS TECH,NCAA,,,
THMORE,NCAA,,,
TOLEDO,NCAA,,,
TOWSON,NCAA,,,
TROY,NCAA,,,
TRSU,NCAA,,,
TULANE,NCAA,,,
TULSA,NCAA,,,
TUSCUL,NCAA,,,
TUSKEGEE,NCAA,,,
TXAMCO,NCAA,,,
TXPERB,NCAA,,,
TXRG,NCAA,,,
TXWSLY,NCAA,,,
UAB,NCAA,,,
UC DAVIS,NCAA,,,
UCF,NCAA,,,
UCLA,NCAA,,,
UCONN,NCAA,,,
UFTLEA,NCAA,,,
UMASS,NCAA,,,
UNCPEM,NCAA,,,
UNLV,NCAA,,,
USC,NCAA,,,
USF,NCAA,,,
UTAH,NCAA,,,
UTAH ST,NCAA,,,
UTAHTC,NCAA,,,
UTEP,NCAA,,,
UTSA,NCAA,,,
UVAWIS,NCAA,,,
VA LYNCHBU,NCAA,,,
VA MILT IN,NCAA,,,
VA TECH,NCAA,,,
VALPO,NCAA,,,
VANDERBILT,NCAA,,,
VILLANOVA,NCAA,,,
VIRGINIA,NCAA,,,
VIRSTA,NCAA,,,
VIRUNI,NCAA,,,
W CAROLINA,NCAA,,,
W GEORGIA,NCAA,,,
W ILLINOIS,NCAA,,,
W KENTUCKY,NCAA,,,
W MICHIGAN,NCAA,,,
W OREGON,NCAA,,,
W VIRGINIA,NCAA,,,
WABASH,NCAA,,,
WAGNER,NCAA,,,
WAKE,NCAA,,,
WARNER,NCAA,,,
WASH STATE,NCAA,,,
WASHINGTON,NCAA,,,
WCST,NCAA,,,
WCU,NCAA,,,
WE COLO ST,NCAA,,,
WE TEX AM,NCAA,,,
WEBER ST,NCAA,,,
WESTFL,NCAA,,,
WHEATN,NCAA,,,
WINGAT,NCAA,,,
WISCONSIN,NCAA,,,
WISCSP,NCAA,,,
WISSTT,NCAA,,,
WISWHT,NCAA,,,
WJWLL,NCAA,,,
WLU,NCAA,,,
WM & MARY,NCAA,,,
WOFFORD,NCAA,,,
WSRAMS,NCAA,,,
WV WESLEY,NCAA,,,
WYOMING,NCAA,,,
YALE,NCAA,,,
YNGTOWN ST,NCAA,,,
